AdminStrata,Adamawa,Central,East,Far-North,Littoral,North,North-West,South,South-West,West
Indicator,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG
2019-10-19,4.92316,4.12182,5.6646100000000015,11.15892,5.8364699999999985,9.921120000000002,48.39011,9.87873,40.35143,8.099219999999999
2019-10-20,4.93344,4.12182,4.8615,11.19102,5.8364699999999985,9.98473,49.24284,9.08005,37.91087,8.11359
2019-10-21,4.99603,4.17109,4.90028,11.22979,5.06501,9.93015,49.30908,9.17874,33.8371,8.213549999999998
2019-10-22,5.029270000000001,4.165559999999998,3.2183900000000003,11.2623,4.706829999999999,9.93921,48.90211,9.17044,33.544819999999994,8.213549999999998
2019-10-23,5.00662,4.16225,3.23512,12.04369,4.70051,9.97559,47.68815,9.17044,34.71157,8.31601
2019-10-24,5.0266,3.84615,3.27581,12.095840000000004,4.73485,10.03683,46.51994000000001,8.70482,34.99666,8.387939999999999
2019-10-25,5.067019999999999,3.85331,2.92227,12.07841,4.73485,10.14583,46.76834,8.76023,34.71102,8.409989999999999
2019-10-26,5.10397,3.8822,2.93513,11.60896,4.73101,10.073939999999999,46.14708000000001,8.73904,33.45902,8.48356
2019-10-27,5.13866,3.89785,2.95858,12.22644,4.738690000000001,10.043,44.70518,8.6865,30.4923,7.72509
2019-10-28,5.1247300000000005,3.901,2.98329,12.155500000000002,4.74641,10.06464,43.21781,8.85417,30.309590000000004,7.77688
2019-10-29,5.13866,2.6976,2.10907,11.96256,4.778809999999999,10.26365,42.87218,8.92251,28.190860000000008,7.77688
2019-10-30,5.20948,2.72702,2.1225,12.1401,4.7749,10.24757,39.17985,8.917,26.109940000000005,7.829369999999999
2019-10-31,5.22388,2.7495199999999995,2.12443,12.064900000000002,3.1820699999999995,10.88115,38.80807,8.917,26.19048,7.8505699999999985
2019-11-01,5.22388,2.76702,2.1225,12.07915,3.1820699999999995,9.94666,36.97982,8.969579999999997,25.19559000000001,7.88258
2019-11-02,5.1738300000000015,2.7465,2.11993,10.84515,3.1645600000000003,9.03368,34.008750000000006,9.01154,21.63774,6.49918
2019-11-03,4.756700000000001,2.77162,2.11672,10.98145,3.18913,9.140130000000001,29.644530000000003,9.03972,17.56557,6.580040000000001
2019-11-04,4.8360199999999995,2.77701,2.14461,11.14824,3.19978,9.4191,29.19305,9.02279,18.25995,6.687269999999999
2019-11-05,5.64159,2.7870700000000004,3.0469200000000005,11.121210000000001,3.22309,10.0491,29.2424,9.03972,21.217300000000005,6.676019999999999
2019-11-06,5.6338,2.7894,3.03674,11.08426,2.39437,9.60599,33.19295,9.03125,24.46366,6.676019999999999
2019-11-07,5.6291400000000005,2.8058400000000003,3.0120500000000003,10.44866,2.39639,9.64367,35.55038999999999,9.06809,27.560860000000005,6.339409999999999
2019-11-08,5.71589,2.8145200000000004,3.0731400000000004,10.43295,2.38295,9.70714,39.55053,9.02561,26.853510000000004,6.33231
2019-11-09,5.37514,2.8433300000000004,3.0902300000000005,9.82277,2.4258,9.61852,37.44466,7.518089999999999,25.428989999999995,6.49239
