AdminStrata,Adamawa,Central,East,Far-North,Littoral,North,North-West,South,South-West,West
Indicator,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange
2019-09-27,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-09-28,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-09-29,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-09-30,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-01,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-02,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-03,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-04,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-05,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-06,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-07,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-08,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-09,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-10,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-11,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-12,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-13,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-14,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-15,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-16,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-17,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-18,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-19,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-20,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-21,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-22,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-23,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-24,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-25,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-26,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-27,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-28,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-29,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-30,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-10-31,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-01,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-02,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-03,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-04,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
