"SvyDate","Date","Dmgrph","DmgrphCode","Mean_crrnt","Pop","PopNmbr"
"2019-5-1_2019-5-31",2019-05-31,Yobe South,,37.09746672391583,1751777,649864
"2019-5-2_2019-6-1",2019-06-01,Adamawa Central,,30.516637478108578,1652420,504263
"2019-5-2_2019-6-1",2019-06-01,Adamawa North,,30.868924889543422,687112,212104
"2019-5-2_2019-6-1",2019-06-01,Adamawa South,,14.30927835051546,1245780,178262
"2019-5-2_2019-6-1",2019-06-01,Borno Central,,35.53173948887058,2555073,907861
"2019-5-2_2019-6-1",2019-06-01,Borno North,,26.851145038167935,1307417,351056
"2019-5-2_2019-6-1",2019-06-01,Borno South,,44.133786255552636,1741798,768721
"2019-5-2_2019-6-1",2019-06-01,Yobe East,,35.89947089947088,1295611,465117
"2019-5-2_2019-6-1",2019-06-01,Yobe North,,26.164874551971316,1019027,266627
"2019-5-2_2019-6-1",2019-06-01,Yobe South,,34.00862068965516,1751777,595755
"2019-5-3_2019-6-2",2019-06-02,Adamawa Central,,29.85675917636526,1652420,493359
"2019-5-3_2019-6-2",2019-06-02,Adamawa North,,30.28901734104044,687112,208119
"2019-5-3_2019-6-2",2019-06-02,Adamawa South,,14.088509947218837,1245780,175511
"2019-5-3_2019-6-2",2019-06-02,Borno Central,,35.353535353535364,2555073,903308
"2019-5-3_2019-6-2",2019-06-02,Borno North,,22.704280155642017,1307417,296839
"2019-5-3_2019-6-2",2019-06-02,Borno South,,44.48248617329469,1741798,774795
"2019-5-3_2019-6-2",2019-06-02,Yobe East,,32.79891304347824,1295611,424946
"2019-5-3_2019-6-2",2019-06-02,Yobe North,,24.911452184179446,1019027,253854
"2019-5-3_2019-6-2",2019-06-02,Yobe South,,32.7155172413793,1751777,573102
"2019-5-4_2019-6-3",2019-06-03,Adamawa Central,,31.276266312762655,1652420,516815
"2019-5-4_2019-6-3",2019-06-03,Adamawa North,,30.4597701149425,687112,209292
"2019-5-4_2019-6-3",2019-06-03,Adamawa South,,15.2138821630347,1245780,189531
"2019-5-4_2019-6-3",2019-06-03,Borno Central,,34.9366265843354,2555073,892656
"2019-5-4_2019-6-3",2019-06-03,Borno North,,24.97094149554436,1307417,326474
"2019-5-4_2019-6-3",2019-06-03,Borno South,,42.40906694781232,1741798,738680
"2019-5-4_2019-6-3",2019-06-03,Yobe East,,33.52150537634407,1295611,434308
"2019-5-4_2019-6-3",2019-06-03,Yobe North,,25.36786344908769,1019027,258505
"2019-5-4_2019-6-3",2019-06-03,Yobe South,,32.77563277563277,1751777,574155
"2019-5-5_2019-6-4",2019-06-04,Adamawa Central,,28.334454158260474,1652420,468204
"2019-5-5_2019-6-4",2019-06-04,Adamawa North,,30.019824412347752,687112,206269
"2019-5-5_2019-6-4",2019-06-04,Adamawa South,,15.031897926634766,1245780,187264
"2019-5-5_2019-6-4",2019-06-04,Borno Central,,31.86353395558417,2555073,814136
"2019-5-5_2019-6-4",2019-06-04,Borno North,,24.041471048513294,1307417,314322
"2019-5-5_2019-6-4",2019-06-04,Borno South,,40.74560252034653,1741798,709706
"2019-5-5_2019-6-4",2019-06-04,Yobe East,,34.05913978494622,1295611,441273
"2019-5-5_2019-6-4",2019-06-04,Yobe North,,24.388137057299154,1019027,248521
"2019-5-5_2019-6-4",2019-06-04,Yobe South,,29.25229558373414,1751777,512434
"2019-5-6_2019-6-5",2019-06-05,Adamawa Central,,28.283732378608185,1652420,467366
"2019-5-6_2019-6-5",2019-06-05,Adamawa North,,30.20227209753392,687112,207523
"2019-5-6_2019-6-5",2019-06-05,Adamawa South,,14.912974683544299,1245780,185782
"2019-5-6_2019-6-5",2019-06-05,Borno Central,,30.640219319464606,2555073,782879
"2019-5-6_2019-6-5",2019-06-05,Borno North,,24.447980903123128,1307417,319637
"2019-5-6_2019-6-5",2019-06-05,Borno South,,38.00738007380072,1741798,662011
"2019-5-6_2019-6-5",2019-06-05,Yobe East,,31.402116402116384,1295611,406849
"2019-5-6_2019-6-5",2019-06-05,Yobe North,,24.715494601692427,1019027,251857
"2019-5-6_2019-6-5",2019-06-05,Yobe South,,26.930826057756875,1751777,471768
"2019-5-7_2019-6-6",2019-06-06,Adamawa Central,,28.707699295934585,1652420,474371
"2019-5-7_2019-6-6",2019-06-06,Adamawa North,,28.859624544690362,687112,198297
"2019-5-7_2019-6-6",2019-06-06,Adamawa South,,15.037893897088146,1245780,187339
"2019-5-7_2019-6-6",2019-06-06,Borno Central,,32.35341108803324,2555073,826653
"2019-5-7_2019-6-6",2019-06-06,Borno North,,23.4644720995584,1307417,306778
"2019-5-7_2019-6-6",2019-06-06,Borno South,,36.08903020667724,1741798,628598
"2019-5-7_2019-6-6",2019-06-06,Yobe East,,31.114023591087793,1295611,403116
"2019-5-7_2019-6-6",2019-06-06,Yobe North,,22.657886860221478,1019027,230889
"2019-5-7_2019-6-6",2019-06-06,Yobe South,,27.421928424891718,1751777,480371
"2019-5-8_2019-6-7",2019-06-07,Adamawa Central,,29.491367242183852,1652420,487321
"2019-5-8_2019-6-7",2019-06-07,Adamawa North,,29.479107040641072,687112,202554
"2019-5-8_2019-6-7",2019-06-07,Adamawa South,,15.438165438165434,1245780,192325
"2019-5-8_2019-6-7",2019-06-07,Borno Central,,33.15867037825447,2555073,847228
"2019-5-8_2019-6-7",2019-06-07,Borno North,,24.652045550400665,1307417,322305
"2019-5-8_2019-6-7",2019-06-07,Borno South,,35.63218390804596,1741798,620640
"2019-5-8_2019-6-7",2019-06-07,Yobe East,,31.928864569083427,1295611,413673
"2019-5-8_2019-6-7",2019-06-07,Yobe North,,23.171104989286793,1019027,236119
"2019-5-8_2019-6-7",2019-06-07,Yobe South,,28.061581525542323,1751777,491576
"2019-5-9_2019-6-8",2019-06-08,Adamawa Central,,29.850024189646827,1652420,493247
"2019-5-9_2019-6-8",2019-06-08,Adamawa North,,28.68398015757219,687112,197091
"2019-5-9_2019-6-8",2019-06-08,Adamawa South,,13.593481989708401,1245780,169344
"2019-5-9_2019-6-8",2019-06-08,Borno Central,,33.16053511705686,2555073,847275
"2019-5-9_2019-6-8",2019-06-08,Borno North,,23.662280701754376,1307417,309364
"2019-5-9_2019-6-8",2019-06-08,Borno South,,35.979871400615025,1741798,626696
"2019-5-9_2019-6-8",2019-06-08,Yobe East,,31.156768927666747,1295611,403670
"2019-5-9_2019-6-8",2019-06-08,Yobe North,,22.89763779527558,1019027,233333
"2019-5-9_2019-6-8",2019-06-08,Yobe South,,28.39094159713945,1751777,497345
"2019-5-10_2019-6-9",2019-06-09,Adamawa Central,,29.319027808189183,1652420,484473
"2019-5-10_2019-6-9",2019-06-09,Adamawa North,,29.832739237729612,687112,204984
"2019-5-10_2019-6-9",2019-06-09,Adamawa South,,12.0176848874598,1245780,149713
"2019-5-10_2019-6-9",2019-06-09,Borno Central,,30.452481603256615,2555073,778083
"2019-5-10_2019-6-9",2019-06-09,Borno North,,27.01241489787745,1307417,353164
"2019-5-10_2019-6-9",2019-06-09,Borno South,,35.41448058761803,1741798,616848
"2019-5-10_2019-6-9",2019-06-09,Yobe East,,33.170103092783485,1295611,429755
"2019-5-10_2019-6-9",2019-06-09,Yobe North,,21.632653061224477,1019027,220442
"2019-5-10_2019-6-9",2019-06-09,Yobe South,,32.86573146292584,1751777,575734
"2019-5-11_2019-6-10",2019-06-10,Adamawa Central,,29.338299737072738,1652420,484791
"2019-5-11_2019-6-10",2019-06-10,Adamawa North,,26.171874999999968,687112,179830
"2019-5-11_2019-6-10",2019-06-10,Adamawa South,,12.406163571710778,1245780,154553
"2019-5-11_2019-6-10",2019-06-10,Borno Central,,32.1257160551169,2555073,820835
"2019-5-11_2019-6-10",2019-06-10,Borno North,,26.95358984529948,1307417,352395
"2019-5-11_2019-6-10",2019-06-10,Borno South,,33.576262363352406,1741798,584830
"2019-5-11_2019-6-10",2019-06-10,Yobe East,,33.24801638085486,1295611,430764
"2019-5-11_2019-6-10",2019-06-10,Yobe North,,22.471264367816083,1019027,228988
"2019-5-11_2019-6-10",2019-06-10,Yobe South,,32.18000904568067,1751777,563721
"2019-5-12_2019-6-11",2019-06-11,Adamawa Central,,31.354075372480278,1652420,518101
"2019-5-12_2019-6-11",2019-06-11,Adamawa North,,26.504662333992624,687112,182116
"2019-5-12_2019-6-11",2019-06-11,Adamawa South,,13.244766505636065,1245780,165000
"2019-5-12_2019-6-11",2019-06-11,Borno Central,,33.83107792813812,2555073,864408
"2019-5-12_2019-6-11",2019-06-11,Borno North,,27.114924181963282,1307417,354505
"2019-5-12_2019-6-11",2019-06-11,Borno South,,33.92951078379798,1741798,590983
"2019-5-12_2019-6-11",2019-06-11,Yobe East,,35.27638190954772,1295611,457044
"2019-5-12_2019-6-11",2019-06-11,Yobe North,,24.046242774566462,1019027,245037
"2019-5-12_2019-6-11",2019-06-11,Yobe South,,30.302341441236635,1751777,530829
"2019-5-13_2019-6-12",2019-06-12,Adamawa Central,,33.240462923274755,1652420,549272
"2019-5-13_2019-6-12",2019-06-12,Adamawa North,,26.769406392694034,687112,183935
"2019-5-13_2019-6-12",2019-06-12,Adamawa South,,12.85658460336068,1245780,160164
"2019-5-13_2019-6-12",2019-06-12,Borno Central,,34.56885856079405,2555073,883259
"2019-5-13_2019-6-12",2019-06-12,Borno North,,27.894633379201885,1307417,364699
"2019-5-13_2019-6-12",2019-06-12,Borno South,,34.85608661209399,1741798,607122
"2019-5-13_2019-6-12",2019-06-12,Yobe East,,34.70951792336216,1295611,449700
"2019-5-13_2019-6-12",2019-06-12,Yobe North,,23.309557774607693,1019027,237530
"2019-5-13_2019-6-12",2019-06-12,Yobe South,,30.734154126766974,1751777,538393
"2019-5-14_2019-6-13",2019-06-13,Adamawa Central,,33.47722857759551,1652420,553184
"2019-5-14_2019-6-13",2019-06-13,Adamawa North,,26.01123595505615,687112,178726
"2019-5-14_2019-6-13",2019-06-13,Adamawa South,,12.67334360554699,1245780,157881
"2019-5-14_2019-6-13",2019-06-13,Borno Central,,36.29355534998459,2555073,927326
"2019-5-14_2019-6-13",2019-06-13,Borno North,,26.07660250049613,1307417,340929
"2019-5-14_2019-6-13",2019-06-13,Borno South,,36.91539674198633,1741798,642991
"2019-5-14_2019-6-13",2019-06-13,Yobe East,,36.425169215342166,1295611,471928
"2019-5-14_2019-6-13",2019-06-13,Yobe North,,25.591216216216196,1019027,260781
"2019-5-14_2019-6-13",2019-06-13,Yobe South,,30.028959679215845,1751777,526040
"2019-5-15_2019-6-14",2019-06-14,Adamawa Central,,31.20874117914864,1652420,515699
"2019-5-15_2019-6-14",2019-06-14,Adamawa North,,27.55952380952379,687112,189364
"2019-5-15_2019-6-14",2019-06-14,Adamawa South,,13.024544734758507,1245780,162257
"2019-5-15_2019-6-14",2019-06-14,Borno Central,,36.69225847728727,2555073,937513
"2019-5-15_2019-6-14",2019-06-14,Borno North,,24.57987446851589,1307417,321361
"2019-5-15_2019-6-14",2019-06-14,Borno South,,34.88052732765722,1741798,607548
"2019-5-15_2019-6-14",2019-06-14,Yobe East,,34.95768145678377,1295611,452915
"2019-5-15_2019-6-14",2019-06-14,Yobe North,,26.641266119577946,1019027,271481
"2019-5-15_2019-6-14",2019-06-14,Yobe South,,30.889092575618683,1751777,541108
"2019-5-16_2019-6-15",2019-06-15,Borno North,,21.859642225280126,1307417,285796
"2019-5-16_2019-6-15",2019-06-15,Borno South,,34.00105429625723,1741798,592229
"2019-5-16_2019-6-15",2019-06-15,Yobe East,,32.88110508140107,1295611,426011
"2019-5-16_2019-6-15",2019-06-15,Yobe North,,25.02886836027712,1019027,255050
"2019-5-16_2019-6-15",2019-06-15,Yobe South,,26.472579553148258,1751777,463740
"2019-5-16_2019-6-15",2019-06-15,Adamawa Central,,29.346826126954916,1652420,484932
"2019-5-16_2019-6-15",2019-06-15,Adamawa North,,25.38243626062321,687112,174405
"2019-5-16_2019-6-15",2019-06-15,Adamawa South,,10.674603174603169,1245780,132982
"2019-5-16_2019-6-15",2019-06-15,Borno Central,,37.59550912209575,2555073,960592
"2019-5-17_2019-6-16",2019-06-16,Adamawa Central,,28.607078039927394,1652420,472709
"2019-5-17_2019-6-16",2019-06-16,Adamawa North,,24.720357941834433,687112,169856
"2019-5-17_2019-6-16",2019-06-16,Adamawa South,,10.76430572228891,1245780,134099
"2019-5-17_2019-6-16",2019-06-16,Borno Central,,38.29820452771272,2555073,978547
"2019-5-17_2019-6-16",2019-06-16,Borno North,,19.053398058252426,1307417,249107
"2019-5-17_2019-6-16",2019-06-16,Borno South,,31.249999999999982,1741798,544311
"2019-5-17_2019-6-16",2019-06-16,Yobe East,,32.203803022915636,1295611,417236
"2019-5-17_2019-6-16",2019-06-16,Yobe North,,22.667429879793914,1019027,230987
"2019-5-17_2019-6-16",2019-06-16,Yobe South,,24.726027397260253,1751777,433144
"2019-5-18_2019-6-17",2019-06-17,Adamawa Central,,28.034682080924846,1652420,463250
"2019-5-18_2019-6-17",2019-06-17,Adamawa North,,24.528301886792434,687112,168536
"2019-5-18_2019-6-17",2019-06-17,Adamawa South,,12.122400941545699,1245780,151018
"2019-5-18_2019-6-17",2019-06-17,Borno Central,,37.38069159755907,2555073,955103
"2019-5-18_2019-6-17",2019-06-17,Borno North,,19.014937424303596,1307417,248604
"2019-5-18_2019-6-17",2019-06-17,Borno South,,28.716036228023427,1741798,500175
"2019-5-18_2019-6-17",2019-06-17,Yobe East,,30.62909885839202,1295611,396833
"2019-5-18_2019-6-17",2019-06-17,Yobe North,,25.595913734392717,1019027,260829
"2019-5-18_2019-6-17",2019-06-17,Yobe South,,22.521699406121503,1751777,394529
"2019-5-19_2019-6-18",2019-06-18,Adamawa Central,,25.58086560364464,1652420,422703
"2019-5-19_2019-6-18",2019-06-18,Adamawa North,,24.95858641634454,687112,171493
"2019-5-19_2019-6-18",2019-06-18,Adamawa South,,13.22152886115444,1245780,164711
"2019-5-19_2019-6-18",2019-06-18,Borno Central,,34.87582909147001,2555073,891102
"2019-5-19_2019-6-18",2019-06-18,Borno North,,20.17774187032923,1307417,263807
"2019-5-19_2019-6-18",2019-06-18,Borno South,,24.83940042826551,1741798,432652
"2019-5-19_2019-6-18",2019-06-18,Yobe East,,30.87659157688539,1295611,400040
"2019-5-19_2019-6-18",2019-06-18,Yobe North,,23.92112032009144,1019027,243762
"2019-5-19_2019-6-18",2019-06-18,Yobe South,,25.199645075421458,1751777,441441
"2019-5-20_2019-6-19",2019-06-19,Adamawa Central,,22.76958002270147,1652420,376249
"2019-5-20_2019-6-19",2019-06-19,Adamawa North,,25.111111111111093,687112,172541
"2019-5-20_2019-6-19",2019-06-19,Adamawa South,,13.093858632676703,1245780,163120
"2019-5-20_2019-6-19",2019-06-19,Borno Central,,32.94833775557984,2555073,841854
"2019-5-20_2019-6-19",2019-06-19,Borno North,,20.95485417499001,1307417,273967
"2019-5-20_2019-6-19",2019-06-19,Borno South,,22.788203753351194,1741798,396924
"2019-5-20_2019-6-19",2019-06-19,Yobe East,,30.6142267540665,1295611,396641
"2019-5-20_2019-6-19",2019-06-19,Yobe North,,22.56612267867191,1019027,229954
"2019-5-20_2019-6-19",2019-06-19,Yobe South,,25.188470066518832,1751777,441245
"2019-5-21_2019-6-20",2019-06-20,Adamawa Central,,23.533471359558312,1652420,388871
"2019-5-21_2019-6-20",2019-06-20,Adamawa North,,24.473975636766312,687112,168163
"2019-5-21_2019-6-20",2019-06-20,Adamawa South,,13.646877409406315,1245780,170010
"2019-5-21_2019-6-20",2019-06-20,Borno Central,,32.25806451612904,2555073,824217
"2019-5-21_2019-6-20",2019-06-20,Borno North,,20.89225253933479,1307417,273148
"2019-5-21_2019-6-20",2019-06-20,Borno South,,22.064343163538865,1741798,384316
"2019-5-21_2019-6-20",2019-06-20,Yobe East,,27.84371909000987,1295611,360746
"2019-5-21_2019-6-20",2019-06-20,Yobe North,,24.132138857782742,1019027,245913
"2019-5-21_2019-6-20",2019-06-20,Yobe South,,24.82603815937147,1751777,434896
"2019-5-22_2019-6-21",2019-06-21,Adamawa Central,,24.28774928774928,1652420,401335
"2019-5-22_2019-6-21",2019-06-21,Adamawa North,,23.134114955676274,687112,158957
"2019-5-22_2019-6-21",2019-06-21,Adamawa South,,14.036478984932586,1245780,174863
"2019-5-22_2019-6-21",2019-06-21,Borno Central,,31.409307679657957,2555073,802530
"2019-5-22_2019-6-21",2019-06-21,Borno North,,21.758971167807502,1307417,284480
"2019-5-22_2019-6-21",2019-06-21,Borno South,,19.805555555555546,1741798,344972
"2019-5-22_2019-6-21",2019-06-21,Yobe East,,25.447112927950926,1295611,329695
"2019-5-22_2019-6-21",2019-06-21,Yobe North,,25.11655011655011,1019027,255944
"2019-5-22_2019-6-21",2019-06-21,Yobe South,,23.600464576074323,1751777,413427
