"SvyDate","Date","Dmgrph","DmgrphCode","Mean_crrnt","Pop","PopNmbr"
"2020-4-3_2020-5-3",2020-05-03,Sana'a,3423,23.952099999999998,1469960,352086
"2020-4-3_2020-5-3",2020-05-03,Shabwah,3424,46.42447,665881,309131
"2020-4-3_2020-5-3",2020-05-03,Socotra,900101,31.79595,68247,21699
"2020-4-3_2020-5-3",2020-05-03,Taizz,3425,38.19771,3065034,1170772
"2020-4-4_2020-5-4",2020-05-04,Abyan,3407,36.70862,615154,225814
"2020-4-4_2020-5-4",2020-05-04,Aden,3409,28.821800000000003,997308,287442
"2020-4-4_2020-5-4",2020-05-04,Al Bayda,3410,52.99134999999999,775404,410897
"2020-4-4_2020-5-4",2020-05-04,Al Dhale'e,3408,51.54381,779656,401864
"2020-4-4_2020-5-4",2020-05-04,Al Hudaydah,3411,24.85983,2985122,742096
"2020-4-4_2020-5-4",2020-05-04,Al Jawf,3412,51.06988,603816,308368
"2020-4-4_2020-5-4",2020-05-04,Al Maharah,3413,26.398880000000002,169327,44700
"2020-4-4_2020-5-4",2020-05-04,Al Mahwit,3414,35.73802,774511,276794
"2020-4-4_2020-5-4",2020-05-04,Amanat Al Asimah,144969,28.521340000000002,3406643,971620
"2020-4-4_2020-5-4",2020-05-04,Amran,3415,53.29378,1205960,642701
"2020-4-4_2020-5-4",2020-05-04,Dhamar,3416,43.45357,2176229,945649
"2020-4-4_2020-5-4",2020-05-04,Hadramaut,900100,30.296730000000004,1510895,457751
"2020-4-4_2020-5-4",2020-05-04,Hajjah,3418,29.614179999999994,2510327,743412
"2020-4-4_2020-5-4",2020-05-04,Ibb,3419,46.7284,3080130,1439295
"2020-4-4_2020-5-4",2020-05-04,Lahj,3420,51.64274999999999,1058219,546493
"2020-4-4_2020-5-4",2020-05-04,Marib,3421,35.5939,495634,176415
"2020-4-4_2020-5-4",2020-05-04,Raymah,144971,56.5141,646854,365563
"2020-4-4_2020-5-4",2020-05-04,Sa'ada,3422,31.324880000000004,981401,307422
"2020-4-4_2020-5-4",2020-05-04,Sana'a,3423,24.57972,1469960,361312
"2020-4-4_2020-5-4",2020-05-04,Shabwah,3424,45.262190000000004,665881,301392
"2020-4-4_2020-5-4",2020-05-04,Socotra,900101,30.29673,68247,20676
"2020-4-4_2020-5-4",2020-05-04,Taizz,3425,37.86434,3065034,1160554
"2020-4-5_2020-5-5",2020-05-05,Abyan,3407,38.49336,615154,236793
"2020-4-5_2020-5-5",2020-05-05,Aden,3409,27.60609,997308,275317
"2020-4-5_2020-5-5",2020-05-05,Al Bayda,3410,51.99817999999999,775404,403195
"2020-4-5_2020-5-5",2020-05-05,Al Dhale'e,3408,50.27269,779656,391954
"2020-4-5_2020-5-5",2020-05-05,Al Hudaydah,3411,26.355389999999996,2985122,786740
"2020-4-5_2020-5-5",2020-05-05,Al Jawf,3412,49.92079999999999,603816,301429
"2020-4-5_2020-5-5",2020-05-05,Al Maharah,3413,25.824360000000002,169327,43727
"2020-4-5_2020-5-5",2020-05-05,Al Mahwit,3414,37.03293,774511,286824
"2020-4-5_2020-5-5",2020-05-05,Amanat Al Asimah,144969,29.43598,3406643,1002778
"2020-4-5_2020-5-5",2020-05-05,Amran,3415,53.72663,1205960,647921
"2020-4-5_2020-5-5",2020-05-05,Dhamar,3416,42.42678999999999,2176229,923304
"2020-4-5_2020-5-5",2020-05-05,Hadramaut,900100,28.969359999999998,1510895,437696
"2020-4-5_2020-5-5",2020-05-05,Hajjah,3418,30.61697,2510327,768586
"2020-4-5_2020-5-5",2020-05-05,Ibb,3419,45.90881,3080130,1414051
"2020-4-5_2020-5-5",2020-05-05,Lahj,3420,49.82416,1058219,527248
"2020-4-5_2020-5-5",2020-05-05,Marib,3421,34.70777,495634,172023
"2020-4-5_2020-5-5",2020-05-05,Raymah,144971,55.98821999999999,646854,362162
"2020-4-5_2020-5-5",2020-05-05,Sa'ada,3422,29.61791,981401,290670
"2020-4-5_2020-5-5",2020-05-05,Sana'a,3423,23.37992,1469960,343675
"2020-4-5_2020-5-5",2020-05-05,Shabwah,3424,45.28067,665881,301515
"2020-4-5_2020-5-5",2020-05-05,Socotra,900101,28.969360000000005,68247,19770
"2020-4-5_2020-5-5",2020-05-05,Taizz,3425,36.47952,3065034,1118109
"2020-4-6_2020-5-6",2020-05-06,Abyan,3407,38.62129,615154,237580
"2020-4-6_2020-5-6",2020-05-06,Aden,3409,26.873270000000005,997308,268009
"2020-4-6_2020-5-6",2020-05-06,Al Bayda,3410,51.19845999999999,775404,396994
"2020-4-6_2020-5-6",2020-05-06,Al Dhale'e,3408,49.60895,779656,386779
"2020-4-6_2020-5-6",2020-05-06,Al Hudaydah,3411,27.50055,2985122,820924
"2020-4-6_2020-5-6",2020-05-06,Al Jawf,3412,50.01688999999999,603816,302009
"2020-4-6_2020-5-6",2020-05-06,Al Maharah,3413,24.942,169327,42233
"2020-4-6_2020-5-6",2020-05-06,Al Mahwit,3414,36.1315,774511,279842
"2020-4-6_2020-5-6",2020-05-06,Amanat Al Asimah,144969,29.6861,3406643,1011299
"2020-4-6_2020-5-6",2020-05-06,Amran,3415,54.00813,1205960,651316
"2020-4-6_2020-5-6",2020-05-06,Dhamar,3416,42.60567,2176229,927196
"2020-4-6_2020-5-6",2020-05-06,Hadramaut,900100,30.564050000000005,1510895,461790
"2020-4-6_2020-5-6",2020-05-06,Hajjah,3418,30.848330000000008,2510327,774393
"2020-4-6_2020-5-6",2020-05-06,Ibb,3419,45.93573,3080130,1414880
"2020-4-6_2020-5-6",2020-05-06,Lahj,3420,49.20190999999999,1058219,520663
"2020-4-6_2020-5-6",2020-05-06,Marib,3421,33.8775,495634,167908
"2020-4-6_2020-5-6",2020-05-06,Raymah,144971,58.43545999999999,646854,377992
"2020-4-6_2020-5-6",2020-05-06,Sa'ada,3422,29.006470000000007,981401,284669
"2020-4-6_2020-5-6",2020-05-06,Sana'a,3423,23.18471,1469960,340805
"2020-4-6_2020-5-6",2020-05-06,Shabwah,3424,43.68527999999999,665881,290891
"2020-4-6_2020-5-6",2020-05-06,Socotra,900101,30.564050000000005,68247,20859
"2020-4-6_2020-5-6",2020-05-06,Taizz,3425,36.63793,3065034,1122965
"2020-4-7_2020-5-7",2020-05-07,Abyan,3407,37.71365,615154,231997
"2020-4-7_2020-5-7",2020-05-07,Aden,3409,27.824649999999995,997308,277497
"2020-4-7_2020-5-7",2020-05-07,Al Bayda,3410,49.57216,775404,384384
"2020-4-7_2020-5-7",2020-05-07,Al Dhale'e,3408,48.84102,779656,380791
"2020-4-7_2020-5-7",2020-05-07,Al Hudaydah,3411,28.134319999999995,2985122,839843
"2020-4-7_2020-5-7",2020-05-07,Al Jawf,3412,49.42992,603816,298465
"2020-4-7_2020-5-7",2020-05-07,Al Maharah,3413,24.4069,169327,41327
"2020-4-7_2020-5-7",2020-05-07,Al Mahwit,3414,34.54602,774511,267562
"2020-4-7_2020-5-7",2020-05-07,Amanat Al Asimah,144969,28.414799999999996,3406643,967990
"2020-4-7_2020-5-7",2020-05-07,Amran,3415,52.40142,1205960,631940
"2020-4-7_2020-5-7",2020-05-07,Dhamar,3416,40.87335,2176229,889497
"2020-4-7_2020-5-7",2020-05-07,Hadramaut,900100,30.677119999999995,1510895,463499
"2020-4-7_2020-5-7",2020-05-07,Hajjah,3418,31.37004,2510327,787490
"2020-4-7_2020-5-7",2020-05-07,Ibb,3419,42.13908,3080130,1297938
"2020-4-7_2020-5-7",2020-05-07,Lahj,3420,47.94819,1058219,507396
"2020-4-7_2020-5-7",2020-05-07,Marib,3421,32.66802,495634,161913
"2020-4-7_2020-5-7",2020-05-07,Raymah,144971,60.15010000000001,646854,389083
"2020-4-7_2020-5-7",2020-05-07,Sa'ada,3422,28.231819999999995,981401,277067
"2020-4-7_2020-5-7",2020-05-07,Sana'a,3423,24.141359999999995,1469960,354868
"2020-4-7_2020-5-7",2020-05-07,Shabwah,3424,44.69697,665881,297628
"2020-4-7_2020-5-7",2020-05-07,Socotra,900101,30.677119999999995,68247,20936
"2020-4-7_2020-5-7",2020-05-07,Taizz,3425,36.180629999999994,3065034,1108948
"2020-4-8_2020-5-8",2020-05-08,Abyan,3407,38.896620000000006,615154,239274
"2020-4-8_2020-5-8",2020-05-08,Aden,3409,28.174490000000002,997308,280986
