1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,Lat,Lon,NDVI Anomaly,Population,Rainfall (mm),Ramadan,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,subsample,h,r2,val_loss,train_loss
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,14,0.997997148318189,20.390999,0.2095762
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,15,0.9978329289876168,20.421848,0.2266479
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,16,0.9978270122455047,22.072235,0.22722673
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,17,0.9978006631443249,23.48689,0.22999635
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,18,0.9977247517625131,25.936636,0.23800263
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,19,0.9978091129904542,25.656345,0.22928908
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,20,0.997557865283597,27.308826,0.25577027
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,21,0.9976381587130915,28.33227,0.24758312
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,22,0.997826822343676,31.136372,0.22805612
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,23,0.9977627310908311,32.21881,0.23508868
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,24,0.9978169918516225,33.57537,0.22969465
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,25,0.9975622081633596,35.064796,0.25682575
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,26,0.9976569729240606,33.705658,0.24711195
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,27,0.9975987941915238,36.277237,0.25345254
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,28,0.9971531661230046,38.15983,0.30061522
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,29,0.9972536819332535,39.62614,0.28997156
41,71,81,81,41,51,0,0,81,0,31,91,0.35000000000000003,0.09,0.09,28,6.0,55,71,0.67,30,0.9969655848768212,42.134224,0.32028538
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,1,0.999764391679722,0.15142074,0.029075075
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,2,0.9996659254084697,0.5906436,0.041208412
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,3,0.9995851153092706,1.5109155,0.0511393
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,4,0.9995338642279926,2.8440123,0.05739797
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,5,0.9993553476998164,4.644172,0.07927163
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,6,0.9993461742880427,6.998249,0.08026763
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,7,0.9992995501077804,8.803763,0.08582957
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,8,0.9991952446312654,10.790134,0.098407395
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,9,0.9992034307379858,12.611881,0.09719834
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,10,0.9992284345823603,15.02895,0.093946375
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,11,0.9992237298822467,16.217701,0.0943142
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,12,0.9992256838688763,18.003464,0.09386293
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,13,0.9992621538492094,19.104124,0.08923102
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,14,0.9991990171896645,19.480963,0.096628405
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,15,0.9992468301070412,20.619217,0.09062479
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,16,0.9992767758104913,21.40773,0.0867841
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,17,0.9993076915549449,24.552046,0.08283645
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,18,0.9992377026709949,25.937258,0.090943374
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,19,0.9993140922101209,26.508806,0.0815836
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,20,0.9993230524579533,25.208498,0.08027816
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,21,0.9991519743341742,27.160746,0.100283064
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,22,0.9993062173795508,29.764994,0.081821464
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,23,0.999322792559601,31.455168,0.079659715
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,24,0.9993529715480901,30.239765,0.07591149
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,25,0.9993906550794496,32.758926,0.071298756
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,26,0.9993896446277823,35.484776,0.07121416
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,27,0.999328386194759,36.60822,0.078125834
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,28,0.9992954696316778,37.901905,0.08169857
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,29,0.9994082412867427,37.50655,0.068395324
41,21,11,71,21,11,0,0,61,0,51,41,0.93,0.35000000000000003,0.31,8,2.0,80,11,0.75,30,0.9994512310773225,40.34643,0.06320325
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,1,0.999630473993933,0.31407738,0.039646104
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,2,0.9994498058540425,0.93643326,0.05889684
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,3,0.999139359139544,2.2117746,0.091943756
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,4,0.9990394585382919,3.7357934,0.102419175
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,5,0.9989530279264766,5.453256,0.11142774
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,6,0.998739839028216,6.687204,0.13385159
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,7,0.9987593898008572,8.212776,0.13150373
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,8,0.9988403055124605,9.837482,0.12265454
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,9,0.9987639194134599,10.654659,0.13043432
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,10,0.9987054637608771,11.419598,0.13628551
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,11,0.9988833466287421,12.809997,0.11731886
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,12,0.9989252038932702,14.3820505,0.112724766
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,13,0.9988635567400824,14.855247,0.11902798
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,14,0.9989275728239397,15.551339,0.11221759
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,15,0.9987063861192224,17.864815,0.13529547
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,16,0.998968494921048,17.66127,0.10786326
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,17,0.9987627798557531,20.66054,0.1293827
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,18,0.9986851115085461,20.097075,0.13754408
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,19,0.9989728791140035,20.480967,0.10749418
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,20,0.9989167601399322,22.425629,0.11345014
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,21,0.9989722110639705,22.83461,0.10773933
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,22,0.9989855967613944,23.876616,0.10645281
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,23,0.9990578722749751,25.011345,0.098997295
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,24,0.9990781984401069,26.955576,0.09699134
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,25,0.9991138016304832,26.710686,0.09336259
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,26,0.9990473344471064,29.638674,0.10047474
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,27,0.9992102472936449,29.604883,0.083360136
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,28,0.9991080486254883,28.08917,0.09418679
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,29,0.9991361403276919,28.319975,0.09121111
31,41,21,31,91,1,0,0,51,0,61,31,0.81,0.49,0.12,7,3.0,85,31,0.5,30,0.9992270504349118,31.005941,0.081585556
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,1,0.9999481643709542,0.2269459,0.0057374504
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,2,0.9999421377906389,0.843044,0.006382341
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,3,0.9999417141540734,1.7683035,0.0064072534
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,4,0.9999362982512957,3.5664942,0.0069791353
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,5,0.9999316228187427,5.870589,0.007466535
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,6,0.9999337509342241,7.078009,0.0072105164
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,7,0.9999333116504353,9.42275,0.0072352965
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,8,0.9999376702624252,10.161418,0.006741842
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,9,0.9999232795960307,12.719948,0.00827385
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,10,0.9999261007780239,12.6550865,0.007948059
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,11,0.999913310815076,14.9588175,0.009300803
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,12,0.9999233882376328,17.994278,0.008201088
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,13,0.9999303840111112,16.639128,0.0074371966
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,14,0.9999250595792771,19.313553,0.007990635
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,15,0.9999170083584256,19.967756,0.008832681
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,16,0.9999266280232555,21.61685,0.0077934125
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,17,0.9999140093402955,21.332775,0.009114943
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,18,0.9999222806652467,23.058268,0.008219949
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,19,0.9999251603742679,27.465559,0.007897264
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,20,0.9999251553800682,28.454111,0.007879454
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,21,0.9999285650427435,25.82707,0.0075051654
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,22,0.9999292975442551,29.085556,0.007415284
