Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4
Info,training points,features,training points,features,training points,features,training points,features
1,1641,18,1734,23,1824,17,1917,16
2,1638,17,1731,18,1821,17,1914,16
3,1635,17,1728,16,1818,17,1911,17
4,1632,22,1725,16,1815,18,1908,17
5,1629,16,1722,23,1812,18,1905,17
6,1626,22,1719,23,1809,23,1902,16
7,1623,17,1716,23,1806,18,1899,17
8,1620,23,1713,23,1803,18,1896,17
9,1617,23,1710,23,1800,22,1893,17
10,1614,23,1707,23,1797,23,1890,17
11,1611,22,1704,23,1794,22,1887,17
12,1608,22,1701,23,1791,23,1884,16
13,1605,23,1698,23,1788,23,1881,17
14,1602,23,1695,23,1785,23,1878,16
15,1599,16,1692,23,1782,18,1875,17
16,1596,16,1689,16,1779,16,1872,16
17,1593,16,1686,23,1776,16,1869,16
18,1590,16,1683,16,1773,16,1866,16
19,1587,16,1680,16,1770,16,1863,16
20,1584,16,1677,16,1767,16,1860,16
21,1581,16,1674,16,1764,16,1857,16
22,1578,16,1671,16,1761,16,1854,16
23,1575,16,1668,16,1758,16,1851,16
24,1572,16,1665,16,1755,16,1848,16
25,1569,16,1662,16,1752,16,1845,16
26,1566,16,1659,16,1749,16,1842,16
27,1563,16,1656,16,1746,16,1839,16
28,1560,16,1653,16,1743,16,1836,16
29,1557,16,1650,23,1740,16,1833,16
30,1554,22,1647,23,1737,16,1830,16
