Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4
Info,training points,features,training points,features,training points,features,training points,features
1,1641,20,1734,21,1824,20,1917,16
2,1638,17,1731,18,1821,17,1914,19
3,1635,25,1728,24,1818,22,1911,24
4,1632,22,1725,20,1815,19,1908,19
5,1629,17,1722,22,1812,23,1905,20
6,1626,22,1719,21,1809,19,1902,20
7,1623,22,1716,21,1806,20,1899,23
8,1620,23,1713,22,1803,23,1896,19
9,1617,21,1710,23,1800,17,1893,19
10,1614,20,1707,22,1797,22,1890,16
11,1611,24,1704,17,1794,17,1887,16
12,1608,20,1701,20,1791,18,1884,16
13,1605,21,1698,16,1788,22,1881,16
14,1602,20,1695,17,1785,21,1878,16
15,1599,19,1692,24,1782,19,1875,16
16,1596,23,1689,21,1779,17,1872,16
17,1593,17,1686,19,1776,23,1869,16
18,1590,20,1683,24,1773,16,1866,16
19,1587,17,1680,20,1770,21,1863,16
20,1584,16,1677,18,1767,16,1860,16
21,1581,22,1674,25,1764,19,1857,16
22,1578,16,1671,19,1761,16,1854,16
23,1575,16,1668,16,1758,19,1851,16
24,1572,16,1665,16,1755,16,1848,16
25,1569,16,1662,16,1752,21,1845,16
26,1566,16,1659,16,1749,16,1842,16
27,1563,16,1656,16,1746,19,1839,16
28,1560,16,1653,16,1743,23,1836,16
29,1557,16,1650,16,1740,20,1833,16
30,1554,16,1647,16,1737,20,1830,16
