Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,2121,21,2331,21,2548,18
2,2114,26,2324,19,2541,19
3,2107,21,2317,19,2534,19
4,2100,26,2310,27,2527,19
5,2093,25,2303,21,2520,20
6,2086,25,2296,18,2513,19
7,2079,25,2289,21,2506,19
8,2072,25,2282,19,2499,26
9,2065,25,2275,21,2492,20
10,2058,25,2268,18,2485,26
11,2051,26,2261,18,2478,20
12,2044,25,2254,26,2471,18
13,2037,25,2247,20,2464,18
14,2030,26,2240,25,2457,18
15,2023,26,2233,18,2450,18
16,2016,26,2226,18,2443,18
17,2009,26,2219,18,2436,18
18,2002,26,2212,18,2429,18
19,1995,20,2205,18,2422,18
20,1988,26,2198,18,2415,18
21,1981,26,2191,18,2408,18
22,1974,25,2184,18,2401,18
23,1967,26,2177,18,2394,18
24,1960,26,2170,18,2387,18
25,1953,26,2163,18,2380,18
26,1946,26,2156,18,2373,18
27,1939,26,2149,18,2366,18
28,1932,20,2142,18,2359,18
29,1925,19,2135,18,2352,18
30,1918,21,2128,18,2345,18
