AdminStrata,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe
Food Group,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers
Commodity,Bread (Unit),"Cassava meal (gari, yellow) (KG)",Gari (white) (KG),Maize (white) (KG),Maize (yellow) (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (brown) (KG),Sorghum (white) (KG),Bread (Unit),"Cassava meal (gari, yellow) (KG)",Gari (white) (KG),Maize (white) (KG),Maize (yellow) (KG),Maize flour (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),"Rice (milled, local) (KG)",Sorghum (KG),Sorghum (brown) (KG),Sorghum (white) (KG),Bread (Unit),"Cassava meal (gari, yellow) (KG)",Gari (white) (KG),Maize (white) (KG),Maize (yellow) (KG),Maize flour (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (brown) (KG),Sorghum (white) (KG)
2018-10-31,0.9031,0.867965,0.631466,0.261353,0.2021,0.313565,0.771632,0.5615,0.390054,0.37791600000000003,0.3902,0.2777195,0.2603125,0.24587066666666668,0.224746,0.6136538461538462,0.3408916714285714,1.0341616285714286,0.7546687714285715,1.254262,0.24556250000000002,0.2644355,0.264532,0.48665,0.503342,0.44939549999999995,0.21964000000000003,0.218825,0.320020979020979,0.22576587912087914,0.8251447692307695,0.617463208791209,0.24379020979020982,0.2023005,0.210007
2018-11-30,0.9031,0.86098,0.628576,0.225059,0.239509,0.293095,0.7485120000000001,0.4975,0.355832,0.35017200000000004,0.3902,0.257349,0.23105000000000003,0.20588933333333334,0.18773,0.6252307692307693,0.3265414,0.9802476857142859,0.7492862571428572,1.225844,0.27093750000000005,0.24778750000000002,0.247818,0.47114999999999996,0.4967195,0.451563,0.1947745,0.1944335,0.2956013986013986,0.2217159010989011,0.8286563076923078,0.6008893736263737,0.22734965034965035,0.16346549999999999,0.1720155
2018-12-31,,0.841112,0.617738,0.17400200000000002,0.195075,0.263592,0.7249099999999999,0.4337,0.304414,0.303571,0.3637,0.254772,0.2175025,0.20444166666666666,0.184298,0.5444423076923077,0.33287688571428575,1.0650222,0.7570023,1.199352,0.3737232142857143,0.1966405,0.194112,0.48419999999999996,0.49370899999999995,0.445542,0.184238,0.169147,0.2863216783216784,0.21418513186813187,0.7832478461538462,0.6115644065934066,0.21134965034965034,0.1640675,0.1809865
2019-01-31,,,,,,,,,,,0.3902,0.521624,0.33827466666666667,0.17566366666666666,0.161748,0.5231346153846154,0.29146648051948054,0.950988025974026,0.7243199571428572,1.193572,0.24386607142857145,0.189703,0.18875733333333333,0.6533,0.6013755000000001,0.5571835,0.18937700000000002,0.1679445,0.2871538461538462,0.2071971868131868,0.7886216263736264,0.5823967802197803,0.18776923076923077,0.14091399999999998,0.1543795
2019-02-28,0.9031,0.633784,0.517813,0.161467,0.1614,0.240817,0.705642,0.4646,0.22360950000000002,0.2205585,0.3902,0.47068275,0.43439325,0.19347825000000002,0.188012,0.47473076923076923,0.2613930119047619,0.9548999047619048,0.6357270238095238,1.237886,0.23761607142857144,0.1969735,0.19648649999999998,0.6533,0.6757044999999999,0.611421,0.1867205,0.16627475,0.29937762237762244,0.20776641904761908,0.7813652190476191,0.5959174571428572,0.20503496503496504,0.14623575,0.15744325
2019-03-31,0.9031,0.620538,0.5166085,0.1786825,0.1723,0.254092,0.704197,0.4829,0.234647,0.23459249999999998,0.3902,0.4706975,0.43592325000000004,0.20270975000000002,0.2033745,0.4631442307692308,0.2934689880952381,0.9636289047619048,0.6376052380952381,1.266786,0.23869642857142853,0.19786725,0.1974475,0.6533,0.6637440000000001,0.611521,0.19995274999999998,0.19060850000000001,0.2842167832167832,0.20347853333333335,0.7864115047619049,0.6059868285714285,0.1936643356643357,0.157747,0.1662375
2019-04-30,0.9031,0.6097005,0.5021585,0.1691,0.1715,0.24707849999999998,0.6990190000000001,0.4691,0.226975,0.2345815,0.3902,0.47470475,0.43534575,0.20010050000000001,0.20753225,0.4631442307692308,0.29667173809523806,0.9676169047619049,0.6482478214285715,1.269194,0.23869642857142853,0.197458,0.19732775,0.6794,0.6507607500000001,0.611421,0.19545174999999998,0.18139550000000002,0.27882307692307695,0.2003785612244898,0.7688607959183675,0.6111175204081633,0.19080769230769232,0.14958125,0.15299325
2019-05-31,,,,,,,,,,,,0.777,0.8032,0.1695,,0.3879038461538462,0.24814444444444447,1.0039063492063491,0.6432190476190478,,0.25158035714285715,0.1641,0.1638,,0.5122,0.5603,0.2316,0.2103,0.24884615384615386,0.2002761904761905,0.7673988095238098,0.5996059523809524,0.1945104895104895,0.1468,0.1389
