"SvyDate","Date","Dmgrph","DmgrphCode","Mean_crrnt","Pop","PopNmbr"
"2018-8-7_2018-9-6","2018-09-06",Hama,900225,18.9742,1538162,291853
"2018-8-7_2018-9-6","2018-09-06",Aleppo,900219,21.5619,2852310,615012
"2018-8-7_2018-9-6","2018-09-06",Homs,900226,17.8484,884578,157883
"2018-8-7_2018-9-6","2018-09-06",As-Sweida,900221,27.8335,363882,101281
"2018-8-7_2018-9-6","2018-09-06",Lattakia,900228,33.5634,1163263,390430
"2018-8-7_2018-9-6","2018-09-06",Damascus,900222,31.1191,1812164,563928
"2018-8-8_2018-9-7","2018-09-07",Lattakia,900228,33.8843,1163263,394163
"2018-8-8_2018-9-7","2018-09-07",Damascus,900222,30.7017,1812164,556366
"2018-8-8_2018-9-7","2018-09-07",Rural Damascus,900230,28.4193,3177441,903005
"2018-8-8_2018-9-7","2018-09-07",Dar'a,900223,46.09,984057,453551
"2018-8-8_2018-9-7","2018-09-07",Al-Hasakeh,900218,38.81,1010783,392284
"2018-8-8_2018-9-7","2018-09-07",Tartous,900231,27.4074,813169,222868
"2018-8-8_2018-9-7","2018-09-07",Hama,900225,17.8577,1538162,274679
"2018-8-8_2018-9-7","2018-09-07",Aleppo,900219,21.8346,2852310,622791
"2018-8-8_2018-9-7","2018-09-07",Homs,900226,16.0207,884578,141715
"2018-8-8_2018-9-7","2018-09-07",As-Sweida,900221,28.2587,363882,102828
"2018-8-9_2018-9-8","2018-09-08",Aleppo,900219,22.4038,2852310,639025
"2018-8-9_2018-9-8","2018-09-08",Homs,900226,20.8828,884578,184724
"2018-8-9_2018-9-8","2018-09-08",As-Sweida,900221,25.1316,363882,91449
"2018-8-9_2018-9-8","2018-09-08",Lattakia,900228,30.2385,1163263,351753
"2018-8-9_2018-9-8","2018-09-08",Damascus,900222,31.1938,1812164,565282
"2018-8-9_2018-9-8","2018-09-08",Rural Damascus,900230,27.8624,3177441,885310
"2018-8-9_2018-9-8","2018-09-08",Dar'a,900223,43.5112,984057,428175
"2018-8-9_2018-9-8","2018-09-08",Al-Hasakeh,900218,37.0404,1010783,374398
"2018-8-9_2018-9-8","2018-09-08",Tartous,900231,27.2259,813169,221392
"2018-8-9_2018-9-8","2018-09-08",Hama,900225,21.6599,1538162,333164
"2018-8-10_2018-9-9","2018-09-09",Al-Hasakeh,900218,37.6894,1010783,380957
"2018-8-10_2018-9-9","2018-09-09",Tartous,900231,27.6253,813169,224640
"2018-8-10_2018-9-9","2018-09-09",Hama,900225,22.863,1538162,351669
"2018-8-10_2018-9-9","2018-09-09",Aleppo,900219,19.8844,2852310,567163
"2018-8-10_2018-9-9","2018-09-09",Homs,900226,23.6386,884578,209102
"2018-8-10_2018-9-9","2018-09-09",As-Sweida,900221,24.8431,363882,90399
"2018-8-10_2018-9-9","2018-09-09",Lattakia,900228,29.6392,1163263,344781
"2018-8-10_2018-9-9","2018-09-09",Damascus,900222,32.3068,1812164,585451
"2018-8-10_2018-9-9","2018-09-09",Rural Damascus,900230,26.5672,3177441,844157
"2018-8-10_2018-9-9","2018-09-09",Dar'a,900223,44.1996,984057,434949
"2018-8-11_2018-9-10","2018-09-10",Damascus,900222,32.1754,1812164,583071
"2018-8-11_2018-9-10","2018-09-10",Rural Damascus,900230,27.0072,3177441,858138
"2018-8-11_2018-9-10","2018-09-10",Dar'a,900223,44.2425,984057,435371
"2018-8-11_2018-9-10","2018-09-10",Al-Hasakeh,900218,37.9118,1010783,383206
"2018-8-11_2018-9-10","2018-09-10",Tartous,900231,28.1665,813169,229041
"2018-8-11_2018-9-10","2018-09-10",Hama,900225,23.2788,1538162,358065
"2018-8-11_2018-9-10","2018-09-10",Aleppo,900219,19.5389,2852310,557309
"2018-8-11_2018-9-10","2018-09-10",Homs,900226,23.7722,884578,210284
"2018-8-11_2018-9-10","2018-09-10",As-Sweida,900221,27.1657,363882,98851
"2018-8-11_2018-9-10","2018-09-10",Lattakia,900228,29.9672,1163263,348596
"2018-8-12_2018-9-11","2018-09-11",Homs,900226,29.2043,884578,258335
"2018-8-12_2018-9-11","2018-09-11",As-Sweida,900221,26.0027,363882,94619
"2018-8-12_2018-9-11","2018-09-11",Lattakia,900228,32.2781,1163263,375479
"2018-8-12_2018-9-11","2018-09-11",Damascus,900222,31.2945,1812164,567106
"2018-8-12_2018-9-11","2018-09-11",Rural Damascus,900230,28.3878,3177441,902004
