AdminStrata,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Cascades,Cascades,Centre,Centre,Centre-Est,Centre-Est,Centre-Nord,Centre-Nord,Centre-Ouest,Centre-Ouest,Centre-Sud,Centre-Sud,Est,Est,Hauts-Bassins,Hauts-Bassins,Nord,Nord,Plateau-Central,Plateau-Central,Sahel,Sahel,Sud-Ouest,Sud-Ouest
Food Group,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers
2019-09-08,0.7961548077784485,0.07783342513588279,0.7961548077784485,0.3244109053292773,0.7961548077784485,0.5467915520098907,0.7961548077784485,0.2250191703743561,0.7961548077784485,0.38999779739029633,0.7961548077784485,0.22725275157913222,0.7961548077784485,0.2581239064781519,0.7961548077784485,0.2606963590974383,0.7961548077784485,0.09680055728753487,0.7961548077784485,0.3334301472435787,0.7961548077784485,0.2636855065714286,0.7961548077784485,0.6293816013196933,0.7961548077784485,0.29537174433894553
2019-09-09,0.7992533990806276,0.07805850961979006,0.7992533990806276,0.3251071010477669,0.7992533990806276,0.5449882846798858,0.7992533990806276,0.22427770627627056,0.7992533990806276,0.3890038474877868,0.7992533990806276,0.22664618811920295,0.7992533990806276,0.2583435312917726,0.7992533990806276,0.2595332594723791,0.7992533990806276,0.09719306418343891,0.7992533990806276,0.33304717590207095,0.7992533990806276,0.2635356375252084,0.7992533990806276,0.6279272344185892,0.7992533990806276,0.2940130395322699
2019-09-10,0.8023519903828068,0.07828359410369733,0.8023519903828068,0.3258032967662565,0.8023519903828068,0.543185017349881,0.8023519903828068,0.22353624217818502,0.8023519903828068,0.3880098975852773,0.8023519903828068,0.22603962465927366,0.8023519903828068,0.2585631561053932,0.8023519903828068,0.25837015984732,0.8023519903828068,0.09758557107934299,0.8023519903828068,0.3326642045605633,0.8023519903828068,0.2633857684789883,0.8023519903828068,0.6264728675174851,0.8023519903828068,0.29265433472559427
2019-09-11,0.805450581684986,0.07850867858760457,0.805450581684986,0.32649949248474613,0.805450581684986,0.5413817500198761,0.805450581684986,0.22279477808009945,0.805450581684986,0.3870159476827677,0.805450581684986,0.22543306119934434,0.805450581684986,0.25878278091901386,0.805450581684986,0.25720706022226075,0.805450581684986,0.09797807797524705,0.805450581684986,0.33228123321905556,0.805450581684986,0.2632358994327682,0.805450581684986,0.6250185006163809,0.805450581684986,0.29129562991891866
2019-09-12,0.8085491729871651,0.07873376307151182,0.8085491729871651,0.3271956882032358,0.8085491729871651,0.5395784826898713,0.8085491729871651,0.22205331398201394,0.8085491729871651,0.3860219977802582,0.8085491729871651,0.22482649773941507,0.8085491729871651,0.25900240573263444,0.8085491729871651,0.25604396059720164,0.8085491729871651,0.0983705848711511,0.8085491729871651,0.33189826187754784,0.8085491729871651,0.26308603038654804,0.8085491729871651,0.6235641337152765,0.8085491729871651,0.2899369251122431
2019-09-13,0.8116477642893443,0.07895884755541908,0.8116477642893443,0.32789188392172536,0.8116477642893443,0.5377752153598665,0.8116477642893443,0.2213118498839284,0.8116477642893443,0.38502804787774864,0.8116477642893443,0.2242199342794858,0.8116477642893443,0.2592220305462551,0.8116477642893443,0.2548808609721424,0.8116477642893443,0.09876309176705515,0.8116477642893443,0.3315152905360401,0.8116477642893443,0.26293616134032793,0.8116477642893443,0.6221097668141723,0.8116477642893443,0.28857822030556746
2019-09-14,0.8147463555915234,0.07918393203932636,0.8147463555915234,0.3285880796402149,0.8147463555915234,0.5359719480298616,0.8147463555915234,0.2205703857858429,0.8147463555915234,0.38403409797523913,0.8147463555915234,0.22361337081955648,0.8147463555915234,0.2594416553598757,0.8147463555915234,0.25371776134708324,0.8147463555915234,0.09915559866295923,0.8147463555915234,0.33113231919453234,0.8147463555915234,0.2627862922941078,0.8147463555915234,0.6206553999130682,0.8147463555915234,0.2872195154988919
2019-09-15,0.8178449468937025,0.07940901652323361,0.8178449468937025,0.3292842753587046,0.8178449468937025,0.5341686806998568,0.8178449468937025,0.21982892168775736,0.8178449468937025,0.38304014807272957,0.8178449468937025,0.22300680735962722,0.8178449468937025,0.2596612801734963,0.8178449468937025,0.25255466172202407,0.8178449468937025,0.0995481055588633,0.8178449468937025,0.3307493478530246,0.8178449468937025,0.26263642324788766,0.8178449468937025,0.619201033011964,0.8178449468937025,0.2858608106922163
2019-09-16,0.8209435381958816,0.07963410100714086,0.8209435381958816,0.3299804710771942,0.8209435381958816,0.5323654133698519,0.8209435381958816,0.21908745758967182,0.8209435381958816,0.38204619817022,0.8209435381958816,0.22240024389969795,0.8209435381958816,0.25988090498711697,0.8209435381958816,0.2513915620969649,0.8209435381958816,0.09994061245476736,0.8209435381958816,0.3303663765115169,0.8209435381958816,0.26248655420166755,0.8209435381958816,0.6177466661108598,0.8209435381958816,0.28450210588554065
