AdminStrata,Adamawa,Central,East,Far-North,Littoral,North,North-West,South-West,West
Food Group,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers
2020-01-31,,0.10413114754098361,,,0.08271038251366121,0.018448043715847004,0.059759562841530056,,0.06229508196721312
2020-02-01,,0.11702732240437158,,,0.07866666666666666,0.01759560655737706,0.05971584699453552,,0.06786885245901639
2020-02-02,,0.12132604735883423,,,0.07731876138433515,0.01731146083788708,0.05970127504553734,,0.06972677595628414
2020-02-03,,0.12347540983606556,,,0.0766448087431694,0.01716938797814209,0.05969398907103825,,0.07065573770491802
2020-02-04,,0.12476502732240435,,,0.07624043715846994,0.017084144262295094,0.059689617486338796,,0.07121311475409835
2020-02-05,,0.12562477231329688,,,0.07597085610200364,0.0170273151183971,0.059686703096539166,,0.0715846994535519
2020-02-06,,0.1262388758782201,,,0.07577829820452771,0.016986722872755673,0.05968462138953943,,0.07185011709601873
2020-02-07,,0.12669945355191253,,,0.07563387978142075,0.016956278688524604,0.059683060109289615,,0.07204918032786886
2020-02-08,,0.1270576806314511,,,0.07552155434122645,0.016932599878567108,0.05968184578020644,,0.07220400728597451
2020-02-09,,0.12734426229508194,,,0.07543169398907101,0.016913656830601108,0.05968087431693989,,0.07232786885245904
2020-02-10,,0.12757873820168902,,,0.07535817188276202,0.016898157973174385,0.05968007948335818,,0.07242921013412819
2020-02-11,,0.12777413479052824,,,0.07529690346083785,0.016885242258652112,0.05967941712204008,,0.07251366120218582
2020-02-12,,0.1279394703656999,,,0.07524506094997895,0.016874313577133267,0.059678856662463226,,0.07258511979823458
2020-02-13,,0.12808118657298986,,,0.07520062451209988,0.0168649461358314,0.05967837626854021,,0.07264637002341923
2020-02-14,,0.12820400728597453,,,0.0751621129326047,0.016856827686703116,0.05967795992714026,,0.07269945355191258
2020-02-15,,0.12831147540983603,,,0.07512841530054643,0.01684972404371586,0.0596775956284153,,0.07274590163934427
2020-02-16,,0.128406300225008,,,0.07509868209578911,0.016843456123432993,0.05967727418836386,,0.07278688524590164
2020-02-17,,0.12849058894960533,,,0.07507225258044928,0.016837884638737113,0.059676988463873704,,0.07282331511839708
2020-02-18,,0.1285660051768766,,,0.07504860511935574,0.01683289962611448,0.059676732815645665,,0.07285591026747196
2020-02-19,,0.12863387978142077,,,0.07502732240437156,0.016828413114754116,0.059676502732240434,,0.07288524590163933
2020-02-20,,0.1286952901379131,,,0.07500806661462396,0.016824353890189974,0.05967629456154046,,0.07291178766588602
2020-02-21,,0.12875111773472428,,,0.07499056135121705,0.01682066368604075,0.059676105315449576,,0.0729359165424739
2020-02-22,,0.12880209075789975,,,0.07497457828462814,0.016817294369208858,0.05967593252554051,,0.07295794725588024
2020-02-23,,0.12884881602914386,,,0.074959927140255,0.016814205828779613,0.05967577413479053,,0.07297814207650273
2020-02-24,,0.1288918032786885,,,0.07494644808743167,0.016811364371584713,0.059675628415300545,,0.07299672131147542
2020-02-25,,0.1289314838167297,,,0.07493400588482554,0.016808741488020192,0.059675493905002104,,0.07301387137452711
2020-02-26,,0.12896822505565672,,,0.07492248532685689,0.016806312892127116,0.059675369358429466,,0.07302975106253794
2020-02-27,,0.12900234192037469,,,0.074911787665886,0.01680405776736926,0.059675253708040596,,0.07304449648711943
2020-02-28,,0.12903410589787073,,,0.07490182777463725,0.01680195816845677,0.059675146033540606,,0.07305822498586773
2020-02-29,,0.12906375227686703,,,0.07489253187613841,0.016799998542805117,0.05967504553734062,,0.07307103825136613
2020-03-01,,0.12909148598625067,,,0.07527163758152651,0.01684893072448442,0.059648814571948996,,0.07289687854750573
