adm0_name,adm0_code,adm1_name,adm1_code,population
Yemen,269,Abyan,3407,583193
Yemen,269,Al Dhale'e,3408,753302
Yemen,269,Aden,3409,953907
Yemen,269,Al Bayda,3410,770257
Yemen,269,Al Hudaydah,3411,3315493
Yemen,269,Al Jawf,3412,589218
Yemen,269,Al Maharah,3413,159396
Yemen,269,Al Mahwit,3414,749952
Yemen,269,Amran,3415,1173354
Yemen,269,Dhamar,3416,2064401
Yemen,269,Hajjah,3418,2187109
Yemen,269,Ibb,3419,3016766
Yemen,269,Lahj,3420,1027981
Yemen,269,Marib,3421,368454
Yemen,269,Sa'ada,3422,923595
Yemen,269,Sana'a,3423,1497112
Yemen,269,Shabwah,3424,649970
Yemen,269,Taizz,3425,3011994
Yemen,269,Amanat Al Asimah,144969,2963191
Yemen,269,Raymah,144971,622101
Yemen,269,Hadramaut,900100,1409349
Yemen,269,Socotra,900101,58723
