Split,,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Type,,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive
Country,Prediction horizon,,,,,,,,,,,,,,
Syria,1,20.716261169041342,22.126782360765365,3.837593873247019,3.8258200874558166,3.407674444315037,3.266914280898195,0.2229954530450733,0.004219801406496005,2.145668410007572,2.8056296987618636,2.883387145298414,2.242602379429671,2.9190572471525162,2.615780252428782
Syria,2,26.47678291857265,26.56327616201413,8.338658635043487,8.054212802085175,10.42975089172509,9.682389375331145,1.2499169801715915,1.3300780208632772,7.2668772931836445,7.680554513402444,7.0793603031195795,7.892392815792142,4.758962890760807,3.652968441347598
Syria,3,25.602223627624557,26.997340393690493,27.048571975071237,24.74062355237506,11.011869358485141,11.167701509952321,6.437739328514404,6.818906816231461,16.82043544596657,17.429645726892236,13.690348432430255,14.104878107496331,8.014092741899569,5.821295526365713
Syria,4,40.503947717873096,41.9313050192689,31.526350677665445,29.316883410093755,22.757149930500862,21.11737723280463,9.116672764094542,9.00107234230786,24.144389269993653,25.085577643003884,21.323318602354473,23.579691702262384,6.29267829851011,3.956173448327769
Syria,5,46.2411045750815,49.55871376461075,38.8154485138519,36.46855359777801,22.9667613727236,20.437016701916438,15.369751666013867,16.64226383687421,24.70708996937645,25.685248596612485,23.345295283461137,29.98297949971699,8.256796989879286,6.150599850183803
Syria,6,55.183790310373205,60.47486160760918,46.19039092735991,42.798251504353196,19.59566223673554,16.896066059293332,19.80493093761251,25.86428049205125,27.672546801592645,27.460691827882968,20.98312492001294,30.54717945693059,8.41417796339069,5.294397831500443
Syria,7,54.20079761528799,60.14163288776007,51.12036062110175,48.27048226632948,17.686049224798385,15.35471674732112,21.668632177703728,31.893246254740273,28.2618623127032,28.072181423615362,17.28620445551774,25.635203597922867,11.341834804083048,5.964895802033047
Syria,8,44.63388866695027,51.582129405557566,55.01076402580446,52.51363158862559,17.214317403502868,15.215228268521415,20.430246272728297,31.893246254740273,29.795423080018224,28.946994875084446,21.569515914173465,34.99215490126673,11.551329790358565,5.4347083630415165
Syria,9,43.482980520642,52.12704849612726,51.47240270353844,48.09443858738464,21.74111444029604,19.86280536950574,23.00488203900335,37.56940430796027,39.885742718763595,35.14367729686169,22.44242151424832,37.55531137128578,21.354363066012635,10.000893156050372
Syria,10,29.44545981933162,38.03334246840479,53.01142884519308,49.954948619616225,21.97081855997244,20.083984689780536,25.495172528560165,42.559809572836606,48.69064062244963,43.75389804623268,17.76323137441467,34.048881969285056,22.04869604359887,10.360800584791813
Syria,11,35.98012068523885,45.06655265006635,56.16770537410691,54.60049270266243,42.58400809323245,36.041886770958804,24.285979906322467,43.917020495306275,53.22801907678777,46.76659995446327,22.55718289483559,43.989875411120096,21.53410770564631,10.62064670706526
Syria,12,35.408894493705056,45.06655265006635,45.59658647959052,42.31174345776423,44.475469494654334,33.30130993343506,23.46782286797719,42.54529102526198,56.513418249396544,52.7695823853097,16.5065573919046,36.94041888149908,23.683260620949188,12.164947179666525
Syria,13,34.72951180848107,45.06655265006635,58.674367974626726,56.831113203126684,41.52822773012769,37.84887138678918,24.643678795107604,46.48207961623846,61.44936134311887,58.943050962351826,15.606046986706867,37.66067057420281,24.57020228564724,12.387492291158367
Syria,14,33.71857301725793,45.06655265006635,55.663994575667424,53.08558207372602,59.45594543508745,51.3485707004206,25.03938211319822,49.260341384245926,77.51360186479604,75.54582766933405,23.52051162051698,46.189295990824114,25.338664990877422,14.19068807501605
Syria,15,33.851767762253125,45.06655265006635,54.25784877160155,51.101052137720934,73.37888562642792,66.8809268159208,28.662385254589598,55.656449352831096,74.66303620190658,77.74035161707674,21.950732705196742,45.34296858164648,28.593312870958187,16.602169537807875
Syria,16,33.78703659143478,45.06655265006635,55.973694675438736,53.318825575026715,63.02500026092366,61.3655670924495,34.104278558098585,58.44272431936656,66.83709478688067,77.69042948136247,27.506035557164296,51.55481935112607,27.01109943544785,14.819177108790457
Syria,17,34.78994977738952,45.06655265006635,52.865343687038795,50.193301468589574,73.08797710922182,59.295680331909985,31.965174439914616,58.808680034788445,61.82062408335012,78.0089104051571,29.228175204776477,52.352524412242076,27.831874693467885,16.051994587048238
Syria,18,35.84890763290303,45.06655265006635,51.256074392706175,48.501122575112625,59.70590516938248,46.63367773061679,31.621649276260527,58.13128750820547,63.35365171465292,85.8156921166972,29.88678695914572,52.49155377901366,26.624532581959205,14.988215511581345
Syria,19,35.59464761335976,45.06655265006635,51.07839436639183,47.433620945427776,60.984142409849234,46.12241323355506,31.85921384494183,59.05361369270572,73.12943173438131,101.26990373823327,30.868003589048566,55.37037202563845,24.91846898126289,15.187053678748498
Syria,20,35.957824908416725,45.06655265006635,53.69446010819195,47.433620945427776,60.798163405917855,42.69541284411388,24.369966012024037,52.33404431598418,76.62528740779241,104.20004257827235,38.0758371468941,62.00673891833977,29.636995986504292,18.74165846553382
Syria,21,37.85582698254742,45.06655265006635,54.96602592350478,46.920533768185926,55.94547443338602,42.403963805074746,29.307789921135537,57.510395709641934,78.4413629894159,108.08354152440573,48.32818282562678,69.76076127845637,28.457759595224726,19.442412266754665
Syria,22,37.96429020214639,45.06655265006635,57.056071624495075,45.79305116041118,46.22800946212245,32.70568542329807,30.580877211959884,60.60663030339894,87.18666100825908,119.16813658822055,50.012380250874486,66.12676858966073,27.70120252066599,17.341624536404904
Syria,23,37.608590011101434,45.06655265006635,51.76613790362868,40.14453767866461,44.14769995833211,29.80860896434517,31.08106204109282,58.08143917526979,86.04309796384133,121.06573726025265,53.6540138312594,75.29599263801711,32.696659544836656,20.683692236497986
Syria,24,37.33860865080573,45.06655265006635,53.00507916857635,39.78073148403637,43.11145426082788,28.94407404311443,35.06209984181124,67.85959712737112,85.21350416693333,122.7575069562202,66.35057661376662,84.66739738374288,34.507111239765784,19.983669847992708
Syria,25,36.560678159673564,45.06655265006635,53.83928165308961,40.23453424535534,40.58081650051868,26.994037377209157,35.28453376648214,67.85959712737112,82.28937374619976,121.06185219769803,71.86446072252433,78.42254141152232,43.003591324666736,21.37064538483447
Syria,26,35.216819226748605,45.06655265006635,54.112436532094854,40.38935845931287,41.33815399441102,27.60560160649425,36.00021563572756,66.1061180963034,80.25228798844773,120.29862556621963,93.24392062100407,99.64224063127392,46.90232593030538,22.386034537668692
Syria,27,33.41131968413713,45.06655265006635,53.62654662071816,40.38935845931287,38.861462190359454,24.524486489668277,39.03570447396475,68.30888246166641,78.43343250374319,123.0150940859452,97.18398700585875,100.90753349689273,54.045047873182,23.935143859831815
Syria,28,31.541346276286536,45.06655265006635,52.52782261401916,40.332582774577865,36.134599330858684,23.21730231441211,38.551472338507786,69.39321020908291,75.32036168513473,123.67586474472988,115.31345012007468,113.71038084730397,55.458212587112435,24.92971978855391
Syria,29,30.46166160199749,45.06655265006635,51.078982731907765,40.35282699547642,40.32520131812872,29.930380799923764,38.49296278804278,69.64726734261451,69.90417230828434,123.5292297385671,124.81762047417925,121.7259994978608,63.19023000965081,26.05132901191365
Syria,30,26.615440861242107,30.190495245340426,48.794620460585,39.59609858112097,43.016332054258875,33.707316689301585,48.912659731244354,75.10558648672647,63.918325359894986,122.19074735733066,140.0159959409517,133.33617593943754,58.285614870728466,23.02247801051519
