Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Info,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features
1,5983,19,6331,16,6703,18,7063,24,7435,23,7795,17,8167,16
2,5971,16,6319,19,6691,16,7051,17,7423,19,7783,17,8155,18
3,5959,16,6307,17,6679,23,7039,21,7411,16,7771,18,8143,17
4,5947,16,6295,19,6667,17,7027,21,7399,23,7759,21,8131,17
5,5935,19,6283,19,6655,21,7015,17,7387,16,7747,21,8119,17
6,5923,19,6271,16,6643,16,7003,22,7375,21,7735,17,8107,17
7,5911,16,6259,16,6631,16,6991,22,7363,21,7723,18,8095,18
8,5899,19,6247,19,6619,21,6979,22,7351,21,7711,17,8083,18
9,5887,19,6235,16,6607,16,6967,23,7339,16,7699,22,8071,17
10,5875,19,6223,20,6595,16,6955,21,7327,21,7687,22,8059,18
11,5863,19,6211,19,6583,16,6943,22,7315,21,7675,23,8047,18
12,5851,19,6199,16,6571,16,6931,16,7303,21,7663,17,8035,18
13,5839,19,6187,19,6559,16,6919,16,7291,21,7651,22,8023,17
14,5827,19,6175,20,6547,20,6907,16,7279,21,7639,21,8011,18
15,5815,19,6163,21,6535,17,6895,16,7267,21,7627,23,7999,17
16,5803,19,6151,19,6523,20,6883,16,7255,21,7615,21,7987,17
17,5791,20,6139,21,6511,21,6871,17,7243,17,7603,18,7975,17
18,5779,19,6127,20,6499,16,6859,16,7231,21,7591,22,7963,22
19,5767,19,6115,20,6487,20,6847,21,7219,21,7579,18,7951,17
20,5755,19,6103,20,6475,20,6835,16,7207,21,7567,22,7939,17
21,5743,20,6091,20,6463,21,6823,16,7195,21,7555,18,7927,17
22,5731,20,6079,21,6451,21,6811,16,7183,16,7543,22,7915,17
23,5719,19,6067,20,6439,20,6799,16,7171,21,7531,22,7903,22
24,5707,20,6055,21,6427,20,6787,16,7159,16,7519,22,7891,22
25,5695,20,6043,20,6415,20,6775,16,7147,16,7507,16,7879,17
26,5683,20,6031,20,6403,20,6763,17,7135,16,7495,22,7867,22
27,5671,20,6019,21,6391,20,6751,16,7123,16,7483,21,7855,22
28,5659,21,6007,20,6379,21,6739,16,7111,16,7471,21,7843,22
29,5647,21,5995,20,6367,20,6727,16,7099,21,7459,17,7831,22
30,5635,25,5983,20,6355,20,6715,16,7087,16,7447,16,7819,22
