Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Info,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features
1,5983,17,6331,20,6703,21,7063,17,7435,19,7795,25,8167,17
2,5971,24,6319,17,6691,18,7051,23,7423,18,7783,20,8155,25
3,5959,25,6307,23,6679,23,7039,20,7411,23,7771,20,8143,18
4,5947,26,6295,22,6667,20,7027,20,7399,23,7759,19,8131,18
5,5935,24,6283,22,6655,18,7015,18,7387,21,7747,25,8119,21
6,5923,24,6271,23,6643,22,7003,20,7375,22,7735,24,8107,26
7,5911,20,6259,19,6631,16,6991,20,7363,16,7723,21,8095,24
8,5899,17,6247,22,6619,22,6979,23,7351,21,7711,22,8083,20
9,5887,22,6235,18,6607,17,6967,17,7339,21,7699,24,8071,21
10,5875,25,6223,21,6595,21,6955,19,7327,21,7687,17,8059,21
11,5863,22,6211,23,6583,17,6943,16,7315,25,7675,23,8047,17
12,5851,23,6199,21,6571,18,6931,19,7303,22,7663,20,8035,18
13,5839,22,6187,23,6559,21,6919,21,7291,23,7651,22,8023,24
14,5827,23,6175,18,6547,24,6907,22,7279,20,7639,23,8011,22
15,5815,19,6163,22,6535,19,6895,22,7267,22,7627,23,7999,23
16,5803,18,6151,19,6523,17,6883,23,7255,20,7615,17,7987,25
17,5791,16,6139,22,6511,21,6871,22,7243,22,7603,19,7975,19
18,5779,24,6127,18,6499,20,6859,20,7231,22,7591,16,7963,24
19,5767,23,6115,16,6487,24,6847,21,7219,21,7579,17,7951,19
20,5755,22,6103,25,6475,20,6835,25,7207,17,7567,22,7939,18
21,5743,17,6091,16,6463,20,6823,22,7195,17,7555,21,7927,24
22,5731,18,6079,18,6451,23,6811,24,7183,21,7543,26,7915,22
23,5719,25,6067,20,6439,19,6799,22,7171,20,7531,20,7903,19
24,5707,21,6055,23,6427,18,6787,18,7159,22,7519,23,7891,23
25,5695,24,6043,21,6415,21,6775,26,7147,19,7507,24,7879,22
26,5683,22,6031,22,6403,23,6763,17,7135,21,7495,21,7867,24
27,5671,22,6019,18,6391,23,6751,25,7123,18,7483,23,7855,25
28,5659,25,6007,25,6379,21,6739,22,7111,19,7471,24,7843,24
29,5647,21,5995,23,6367,17,6727,24,7099,21,7459,21,7831,21
30,5635,24,5983,20,6355,20,6715,22,7087,18,7447,24,7819,20
