AdminStrata,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Taizz
Indicator,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS
2015-09-30,34.1,21.22,32.76,57.42999999999999,32.28,37.97,18.0,34.38,33.43,46.82,51.760000000000005,27.810000000000002,52.04,48.099999999999994,41.31,61.71,62.84,46.230000000000004,38.25,35.22,55.37
2015-10-01,34.230180638860304,22.311170915543425,33.320192242318875,57.2156719620887,32.63603250707624,38.41871800366721,18.082612287659174,34.26681936387929,33.643562253043555,46.41541236131073,52.14639801063235,27.905963402893843,52.20248888685006,47.870942609286914,41.35906415178427,61.17028366003694,62.6342468801544,46.18525338826438,38.66142293355666,35.61307238884405,55.41266880112503
2015-10-02,34.36468256846325,23.365726135642024,33.872350163106816,57.0089657933715,32.979920911530186,38.86283330171361,18.174770852915266,34.161571200274146,33.85004831287345,46.03399078025453,52.5207780893731,27.99509913806788,52.35993012748002,47.652897646771905,41.397072413879684,60.63975271048,62.43737192528775,46.14043919273355,39.04969724143534,35.99542382273291,55.457288714433126
2015-10-03,34.503505788808845,24.383665660295783,34.41647376236381,56.80988149384836,33.311665213361835,39.30234589413916,18.276475695768266,34.06425550918458,34.049458179489676,45.67573525683134,52.8831402362222,28.077407205522096,52.51232372188984,47.44586511245497,41.424024786286246,60.118407151329194,62.24937513540004,46.09555741340751,39.41482292363604,36.367054301666556,55.503859739924266
2015-10-04,34.64665029989708,25.36498948950472,34.95256304008988,56.618419063519326,33.63126541257121,39.7372557809439,18.387726816218187,33.974872290610584,34.241791852892256,45.34064579104122,53.23348445117969,28.152887605256524,52.65966967007956,47.24984500633611,41.43992126900397,59.606246982584544,62.070256510491284,46.05060805028629,39.75679998015878,36.72796382564503,55.552381877598485
2015-10-05,34.79411610172797,26.30969762326882,35.480617996285005,56.43457850238438,33.9387215091583,40.16756296212782,18.508524214265023,33.893421544552176,34.42704933308119,45.02872238288414,53.571810734245574,28.221540337271144,52.80196797204919,47.06483732841534,41.44476186203286,59.10327220424603,61.9000160505615,46.00559110336987,40.07562841100356,37.0781523946683,55.60285512745577
2015-10-06,34.945903194301515,27.217790061588097,36.000638630949204,56.258359810443515,34.2340335031231,40.593267437690905,18.638867889908774,33.81990327100933,34.60523062005646,44.73996503236011,53.898119085419836,28.283365401565966,52.93921862779869,46.890842078692636,41.4385465653729,58.60948281631367,61.73865375561066,45.96050657265826,40.37130821617036,37.41762000873638,55.65527948949611
2015-10-07,35.10201157761769,28.089266804462536,36.512624944082454,56.089762987696744,34.51720139446561,41.01436920763316,18.77875784314944,33.75431746998206,34.77633571381807,44.47437373946914,54.212409504702464,28.338362798140974,53.07142163732807,46.72785925716801,41.4212753790241,58.12487881878743,61.58616962563878,45.91535445815144,40.64383939565919,37.74636666784925,55.70965496371951
2015-10-08,35.26244125167651,28.92412785189215,37.01657693568478,55.92878803414405,34.78822518318584,41.4308682719546,18.92819407398702,33.696664141470364,34.940364614366025,44.231948504211196,54.514681992093486,28.38653252699618,53.19857700063736,46.57588886384146,41.39294830298646,57.64946021166734,61.44256366064585,45.87013475984942,40.893221949470046,38.064392372006935,55.76598155012597
