Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,3735,23,4005,24,4284,20
2,3726,21,3996,20,4275,27
3,3717,26,3987,24,4266,20
4,3708,20,3978,21,4257,22
5,3699,23,3969,23,4248,21
6,3690,23,3960,20,4239,26
7,3681,26,3951,20,4230,27
8,3672,22,3942,22,4221,23
9,3663,22,3933,23,4212,24
10,3654,23,3924,23,4203,21
11,3645,21,3915,19,4194,19
12,3636,23,3906,23,4185,22
13,3627,20,3897,23,4176,22
14,3618,25,3888,25,4167,18
15,3609,25,3879,18,4158,26
16,3600,21,3870,20,4149,25
17,3591,23,3861,27,4140,20
18,3582,22,3852,22,4131,23
19,3573,19,3843,18,4122,22
20,3564,22,3834,23,4113,26
21,3555,24,3825,27,4104,23
22,3546,20,3816,24,4095,22
23,3537,22,3807,19,4086,24
24,3528,19,3798,25,4077,27
25,3519,23,3789,26,4068,18
26,3510,21,3780,19,4059,23
27,3501,26,3771,23,4050,19
28,3492,22,3762,24,4041,24
29,3483,25,3753,24,4032,19
30,3474,21,3744,24,4023,20
