AdminStrata,Al-Hasakeh,Aleppo,Ar-Raqqa,As-Sweida,Damascus,Dar'a,Deir-ez-Zor,Hama,Homs,Idleb,Lattakia,Quneitra,Rural Damascus,Tartous
Indicator,Fatality,Fatality,Fatality,Fatality,Fatality,Fatality,Fatality,Fatality,Fatality,Fatality,Fatality,Fatality,Fatality,Fatality
2017-07-01,0.0,15.0,19.0,16.0,13.0,12.0,4.0,33.0,0.0,3.0,0.0,5.0,33.0,0.0
2017-07-02,0.0,6.0,38.0,20.0,10.0,21.0,27.0,19.0,4.0,10.0,0.0,23.0,23.0,0.0
2017-07-03,15.0,15.0,66.0,0.0,0.0,17.0,2.0,4.0,20.0,3.0,0.0,0.0,24.0,0.0
2017-07-04,42.0,6.0,25.0,0.0,0.0,1.0,5.0,10.0,0.0,12.0,0.0,2.0,16.0,0.0
2017-07-05,8.0,0.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,6.0,0.0
2017-07-06,0.0,3.0,32.0,0.0,10.0,1.0,47.0,44.0,0.0,0.0,0.0,0.0,17.0,0.0
2017-07-07,0.0,1.0,11.0,0.0,0.0,2.0,7.0,1.0,2.0,3.0,0.0,0.0,39.0,0.0
2017-07-08,0.0,3.0,5.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,16.0,3.0,0.0
2017-07-09,0.0,3.0,27.0,0.0,11.0,0.0,3.0,17.0,6.0,1.0,0.0,0.0,5.0,0.0
2017-07-10,0.0,8.0,36.0,0.0,0.0,0.0,18.0,11.0,0.0,2.0,20.0,0.0,41.0,0.0
2017-07-11,11.0,0.0,33.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,8.0,0.0,57.0,0.0
2017-07-12,3.0,5.0,7.0,1.0,1.0,2.0,12.0,1.0,0.0,15.0,8.0,0.0,13.0,0.0
2017-07-13,3.0,90.0,22.0,0.0,0.0,2.0,6.0,24.0,0.0,19.0,0.0,0.0,29.0,0.0
2017-07-14,3.0,15.0,3.0,10.0,10.0,0.0,9.0,3.0,3.0,6.0,0.0,0.0,18.0,0.0
2017-07-15,0.0,31.0,22.0,0.0,0.0,2.0,25.0,5.0,40.0,7.0,0.0,0.0,6.0,0.0
2017-07-16,10.0,12.0,52.0,0.0,1.0,10.0,21.0,1.0,3.0,1.0,0.0,0.0,30.0,0.0
2017-07-17,4.0,36.0,93.0,0.0,0.0,2.0,16.0,0.0,51.0,0.0,0.0,0.0,16.0,0.0
2017-07-18,6.0,18.0,66.0,0.0,0.0,0.0,3.0,26.0,25.0,12.0,0.0,0.0,25.0,0.0
2017-07-19,0.0,7.0,27.0,0.0,1.0,0.0,2.0,10.0,0.0,76.0,0.0,0.0,56.0,0.0
2017-07-20,0.0,0.0,19.0,0.0,8.0,0.0,25.0,25.0,66.0,28.0,0.0,0.0,57.0,0.0
2017-07-21,0.0,11.0,63.0,0.0,2.0,0.0,13.0,18.0,26.0,30.0,0.0,0.0,34.0,0.0
2017-07-22,9.0,3.0,13.0,0.0,1.0,2.0,0.0,6.0,20.0,3.0,0.0,0.0,87.0,0.0
2017-07-23,2.0,12.0,35.0,0.0,0.0,3.0,15.0,19.0,11.0,10.0,0.0,0.0,27.0,0.0
2017-07-24,0.0,24.0,44.0,0.0,0.0,3.0,22.0,10.0,31.0,6.0,0.0,0.0,20.0,0.0
2017-07-25,28.0,10.0,75.0,0.0,0.0,1.0,7.0,12.0,10.0,4.0,0.0,10.0,15.0,0.0
