Country,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,,,,,
1,0.997785610328938,0.998581952101689,0.9954128249923164,0.9951529987897004,0.9960820170300639,0.9973650798400022,0.9155659893441068,0.9084429618649527,0.9851640373098227,0.9914108985773828
2,0.9979737620433332,0.9980420203584545,0.9949510654762027,0.9953815674318085,0.9927540684053803,0.9956157533235457,0.869336126707329,0.8625264657011508,0.9829830894284427,0.9910378714279494
3,0.9961848468407829,0.996665971098081,0.9908210008195456,0.9925840457984297,0.97541613406301,0.982025613031972,0.7832459422399731,0.7788260048550728,0.9796179550656604,0.989975779846847
4,0.9965692793551169,0.996317197423232,0.9844895690135623,0.9874421922638495,0.9658552017184652,0.9758981251700939,0.800890551982553,0.802434949930062,0.9394851918499478,0.9669110116409805
5,0.9957497627527201,0.9946825094583941,0.9774860286843209,0.9789385080300816,0.9484336072793793,0.9628600776018587,0.7717125001474334,0.7749639925138736,0.9132860280929966,0.9511483228181212
6,0.993984042591627,0.9932998477576072,0.9653559325242994,0.9686822941995176,0.9232732883511066,0.9422382712334304,0.7362172670641869,0.7420088269906131,0.8900636562218932,0.941477795914728
7,0.993803723309028,0.9937622159607669,0.9573106518771619,0.9641836251668874,0.9081796762308043,0.9357889408900402,0.7015129435586673,0.714762181126209,0.8917329139009558,0.9507312085919466
8,0.9901101755235799,0.9882226129551315,0.9398182610101016,0.9486279703149925,0.8911201638345889,0.9308933076366182,0.6686576482937951,0.6838207241300371,0.880159825542596,0.9443998201292158
9,0.9848397861225979,0.9843154941985074,0.9368410695728773,0.9513737102987807,0.8739280870400182,0.9280036684157962,0.7161783730699047,0.7252747229096281,0.8672400136422752,0.9337437081619283
10,0.9783339299255271,0.9782790741892406,0.9319926206501332,0.9474666893164453,0.8624577595727007,0.9195490560839084,0.9110510452625876,0.9256964948145036,0.8272010324423545,0.9278109747668062
