Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5
Info,training points,features,training points,features,training points,features,training points,features,training points,features
1,4485,23,4875,21,5278,26,5668,27,6071,26
2,4472,22,4862,24,5265,19,5655,22,6058,22
3,4459,18,4849,22,5252,24,5642,19,6045,19
4,4446,24,4836,23,5239,23,5629,20,6032,24
5,4433,24,4823,21,5226,20,5616,23,6019,23
6,4420,24,4810,23,5213,24,5603,23,6006,23
7,4407,24,4797,23,5200,26,5590,26,5993,25
8,4394,22,4784,20,5187,25,5577,23,5980,25
9,4381,24,4771,23,5174,23,5564,26,5967,27
10,4368,21,4758,23,5161,20,5551,26,5954,22
11,4355,23,4745,26,5148,26,5538,25,5941,24
12,4342,23,4732,23,5135,20,5525,24,5928,23
13,4329,22,4719,24,5122,22,5512,19,5915,23
14,4316,23,4706,23,5109,24,5499,21,5902,20
15,4303,19,4693,25,5096,27,5486,22,5889,26
16,4290,23,4680,26,5083,21,5473,26,5876,23
17,4277,21,4667,20,5070,19,5460,27,5863,25
18,4264,20,4654,27,5057,25,5447,20,5850,22
19,4251,23,4641,23,5044,26,5434,22,5837,19
20,4238,27,4628,26,5031,26,5421,22,5824,19
21,4225,19,4615,21,5018,24,5408,23,5811,23
22,4212,21,4602,21,5005,25,5395,24,5798,23
23,4199,26,4589,25,4992,18,5382,23,5785,21
24,4186,22,4576,19,4979,27,5369,26,5772,26
25,4173,23,4563,27,4966,20,5356,21,5759,24
26,4160,19,4550,23,4953,21,5343,23,5746,21
27,4147,24,4537,22,4940,23,5330,22,5733,22
28,4134,23,4524,25,4927,24,5317,21,5720,22
29,4121,23,4511,21,4914,26,5304,22,5707,25
30,4108,26,4498,23,4901,21,5291,23,5694,23
