Split,,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5
Type,,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive
Country,AdminStrata,,,,,,,,,,
Burkina Faso,Boucle-Du-Mouhoun,34.031587022948735,28.968366261333326,264.54408201889424,202.03387384266674,24.90348766018336,4.56357105166668,10.431930331687878,33.06183082433337,12.533833283003878,1.574603287999993
Burkina Faso,Cascades,6.604268453307854,5.900095790333337,26.607449513963203,22.71899162666667,1.5563746631304378,2.1983833953333356,24.63189720513569,17.622632846999995,51.42679313813709,7.197155505666673
Burkina Faso,Centre,3.991512163682086,1.559820225666665,5.623615446462378,4.905981509000002,3.4461198112614304,5.155096058999997,12.702237149901102,21.961546643,19.924343929582367,2.461007868666664
Burkina Faso,Centre-Est,12.651100347193339,13.307782170000003,26.147582896607844,6.990049169333334,66.97044239552785,26.362644169999992,33.38121956788712,48.42164948533331,16.994246886865753,7.148135211666664
Burkina Faso,Centre-Nord,5.91674455193206,1.5475669830000078,2.7983287417525267,1.1641063776666607,10.054422492781681,8.221960660666666,29.749593142662942,18.904929055333334,2.6254766227566493,4.055987272333335
Burkina Faso,Centre-Ouest,1.9328050694181684,2.150216275,4.382212849326801,4.358914876666673,26.337141633576476,5.33525884633334,94.27606304049161,28.82128762600001,5.570163439244678,33.87253137133335
Burkina Faso,Centre-Sud,2.3566727101338585,16.765873689333358,49.779005543547626,29.266233380666733,31.699082610279454,6.975732035666672,15.474013781943672,3.475809044999995,21.097881073913253,2.6193051566666705
Burkina Faso,Est,61.33037414757523,67.66769734333339,24.93033304608988,14.094737915666693,20.39157739969726,1.2982612630000003,10.423804711356532,5.370970439000004,2.8114820542333336,2.785308120666667
Burkina Faso,Hauts-Bassins,6.9351376900188875,7.009522559333333,1.3924963119008344,1.662957412333329,8.95545152217789,7.655871656999992,7.672029158172711,20.414660590333312,20.551911839356297,9.202609703333327
Burkina Faso,Nord,3.184681455080306,1.57534380933333,8.284962843997626,5.827519074333332,7.010589675638505,7.784404819333333,67.9602746468663,29.394262573333354,47.42269086529702,13.461696589999981
Burkina Faso,Plateau-Central,2.2561024770771727,12.672240527999909,2.4976269465803957,4.146628038000011,8.089863451128279,2.784973684000002,33.559746147801725,9.717214884000025,16.595750279390106,4.212446275
Burkina Faso,Sahel,79.92398004020168,7.272993254999991,11.808901290895873,2.180701502666668,11.472967842955967,2.258446313333339,19.364215253146124,5.589224519999997,41.529684424721964,14.132187168666658
Burkina Faso,Sud-Ouest,5.70246107616761,5.721878003666672,12.345690249904377,17.61863632666668,3.1706705296795628,1.4423475443333371,14.099040754453307,10.980695011999991,164.09796116115092,51.431737118000015
