AdminStrata,Al-Hasakeh,Aleppo,Ar-Raqqa,As-Sweida,Damascus,Dar'a,Deir-ez-Zor,Hama,Homs,Lattakia,Rural Damascus,Tartous
Indicator,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities
2018-08-31,93.0,173.0,,79.0,1.0,37.0,,55.0,22.0,44.0,407.0,0.0
2018-09-01,93.0,174.0,,62.0,2.0,37.0,,54.0,24.0,44.0,385.0,0.0
2018-09-02,63.0,152.0,,61.0,5.0,37.0,,74.0,34.0,45.0,369.0,0.0
2018-09-03,73.0,159.0,,61.0,5.0,37.0,,64.0,34.0,45.0,369.0,0.0
2018-09-04,73.0,159.0,,60.0,5.0,33.0,,62.0,34.0,48.0,369.0,1.0
2018-09-05,73.0,175.0,,60.0,6.0,31.0,,63.0,34.0,48.0,367.0,1.0
2018-09-06,73.0,169.0,,50.0,6.0,29.0,,73.0,34.0,50.0,370.0,1.0
2018-09-07,79.0,168.0,,34.0,8.0,28.0,,86.0,34.0,32.0,364.0,7.0
2018-09-08,94.0,165.0,,34.0,8.0,28.0,,91.0,34.0,31.0,387.0,7.0
2018-09-09,95.0,159.0,,33.0,8.0,28.0,,112.0,34.0,31.0,399.0,7.0
2018-09-10,85.0,128.0,,11.0,8.0,8.0,,112.0,44.0,31.0,398.0,7.0
2018-09-11,82.0,129.0,,11.0,8.0,8.0,,109.0,44.0,31.0,412.0,7.0
2018-09-12,83.0,131.0,,11.0,8.0,8.0,,109.0,44.0,31.0,404.0,7.0
2018-09-13,84.0,132.0,,11.0,8.0,8.0,,108.0,42.0,17.0,409.0,7.0
2018-09-14,86.0,133.0,,11.0,8.0,6.0,,108.0,42.0,17.0,382.0,7.0
2018-09-15,86.0,138.0,,11.0,8.0,6.0,,109.0,47.0,17.0,371.0,7.0
2018-09-16,91.0,129.0,,11.0,7.0,5.0,,110.0,52.0,18.0,357.0,7.0
2018-09-17,90.0,132.0,,12.0,7.0,5.0,,110.0,52.0,18.0,361.0,24.0
2018-09-18,78.0,133.0,,10.0,9.0,3.0,,109.0,52.0,18.0,361.0,24.0
2018-09-19,92.0,134.0,,5.0,10.0,3.0,,109.0,55.0,18.0,375.0,24.0
2018-09-20,92.0,147.0,,5.0,10.0,3.0,,109.0,55.0,18.0,385.0,24.0
2018-09-21,98.0,139.0,,4.0,11.0,3.0,,108.0,55.0,18.0,375.0,24.0
2018-09-22,98.0,132.0,,4.0,11.0,3.0,,107.0,35.0,18.0,375.0,24.0
2018-09-23,97.0,133.0,,4.0,12.0,3.0,,107.0,35.0,18.0,374.0,24.0
2018-09-24,102.0,134.0,,4.0,12.0,3.0,,111.0,35.0,8.0,341.0,24.0
2018-09-25,107.0,134.0,,4.0,12.0,3.0,,111.0,35.0,12.0,335.0,24.0
2018-09-26,111.0,137.0,,4.0,12.0,3.0,,112.0,35.0,11.0,345.0,24.0
2018-09-27,111.0,137.0,,4.0,13.0,9.0,,113.0,35.0,11.0,358.0,24.0
2018-09-28,111.0,136.0,,4.0,13.0,8.0,,113.0,35.0,11.0,362.0,24.0
2018-09-29,111.0,128.0,24.0,3.0,13.0,11.0,795.0,113.0,35.0,11.0,363.0,24.0
2018-09-30,101.0,129.0,25.0,2.0,13.0,11.0,809.0,103.0,35.0,11.0,356.0,24.0
2018-10-01,99.0,132.0,25.0,2.0,14.0,12.0,818.0,103.0,35.0,11.0,345.0,24.0
2018-10-02,97.0,123.0,22.0,3.0,13.0,12.0,815.0,103.0,33.0,11.0,341.0,24.0
2018-10-03,85.0,124.0,21.0,3.0,10.0,12.0,797.0,83.0,23.0,10.0,332.0,24.0
2018-10-04,78.0,104.0,23.0,3.0,10.0,12.0,822.0,83.0,23.0,10.0,339.0,24.0
2018-10-05,78.0,113.0,23.0,3.0,10.0,12.0,820.0,80.0,23.0,17.0,345.0,23.0
2018-10-06,78.0,112.0,20.0,3.0,9.0,12.0,833.0,81.0,23.0,17.0,355.0,23.0
2018-10-07,78.0,112.0,19.0,3.0,9.0,12.0,825.0,72.0,23.0,16.0,357.0,23.0
2018-10-08,82.0,113.0,16.0,3.0,7.0,12.0,834.0,59.0,23.0,16.0,367.0,17.0
2018-10-09,68.0,110.0,16.0,3.0,7.0,12.0,849.0,53.0,23.0,16.0,356.0,17.0
2018-10-10,67.0,110.0,19.0,3.0,7.0,12.0,887.0,26.0,23.0,16.0,365.0,17.0
2018-10-11,67.0,105.0,19.0,2.0,7.0,11.0,915.0,15.0,13.0,16.0,396.0,17.0
2018-10-12,68.0,107.0,18.0,2.0,7.0,11.0,967.0,15.0,13.0,16.0,371.0,17.0
2018-10-13,68.0,107.0,18.0,2.0,7.0,13.0,935.0,15.0,13.0,16.0,356.0,17.0
2018-10-14,67.0,104.0,19.0,2.0,7.0,15.0,926.0,15.0,13.0,16.0,341.0,17.0
2018-10-15,65.0,103.0,19.0,2.0,7.0,15.0,890.0,15.0,13.0,16.0,344.0,17.0
2018-10-16,65.0,113.0,20.0,2.0,7.0,15.0,895.0,16.0,8.0,16.0,344.0,17.0
2018-10-17,57.0,114.0,30.0,2.0,7.0,14.0,874.0,17.0,3.0,15.0,340.0,17.0
2018-10-18,57.0,120.0,31.0,1.0,7.0,14.0,915.0,18.0,3.0,16.0,327.0,0.0
2018-10-19,55.0,119.0,33.0,1.0,5.0,14.0,1032.0,18.0,3.0,16.0,317.0,0.0
2018-10-20,40.0,133.0,31.0,1.0,4.0,14.0,1034.0,18.0,0.0,16.0,292.0,0.0
