Split,,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Type,,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive
Country,Prediction horizon,,,,,,
Niger,1,0.5402881406638024,0.8002417988646527,1.2894873380268224,0.5496922839526364,0.7218486252550155,0.3682212672240315
Niger,2,1.0176036057684539,1.8097334059600498,2.832876615245682,2.5485611585525096,1.9925384784362514,0.8277386475526992
Niger,3,2.5839351963917467,3.165079656013381,5.411784379250252,4.94903703633363,5.012557594019125,2.777777545796285
Niger,4,4.13380346032883,4.983728555224136,10.35696632351975,8.466798576907507,5.71736121564167,1.8383972708649894
Niger,5,7.114627977566918,8.2022416124787,18.11653557326372,13.644269949451724,7.821383934947827,3.807091972422086
Niger,6,11.464602562830871,12.929581497925755,32.18650432339784,23.580934944298974,8.416633074201306,4.116072075852779
Niger,7,12.267250806322398,13.988064870421631,31.98581846135166,19.99318159427736,11.773300348915187,5.4116851650502795
Niger,8,11.37023774907097,13.429651474038959,36.8543155187329,19.88017483803163,13.8118190754703,7.6605534252774
Niger,9,10.33223799582471,12.747230162902927,45.56847384498838,23.766586295137685,13.17144472134823,7.850398316130798
Niger,10,10.589686008560774,12.971800686968322,48.95987334705276,27.285453458035487,14.089832583866015,10.379228923362671
Niger,11,8.713603797715464,11.695785641601109,50.02351940834258,28.207747381085724,19.902517669357625,17.48407407984325
Niger,12,11.7126099580205,14.891561641653738,44.886678868241745,24.80905885697232,20.470808814921526,19.851075333826014
Niger,13,11.073481211832933,15.271067920595641,37.47379653043854,29.180525572995112,20.06769696649513,22.70956392452422
Niger,14,10.49206978354524,15.00513939656832,32.955690297386276,28.090445471431,21.30399774756772,23.78787884284639
Niger,15,13.001044614440938,19.83492854778183,32.37711218080649,25.887551421785997,25.183462731092796,26.990009034366246
Niger,16,13.012799199433768,21.272260758069173,39.23548317816169,23.683013252426527,29.616361548435442,23.813028721099922
Niger,17,15.561335126787817,23.96542742485252,55.52545881482568,22.850030771265814,44.86157777019943,24.77880665715704
Niger,18,14.994895195449253,22.879497328834738,77.63628223677733,19.50836397012729,59.34002788176355,27.89982758326263
Niger,19,19.473594011716006,28.110730482506,124.17953986622334,24.544427198214255,89.49835431621607,22.904792005671375
Niger,20,29.028181116979646,35.14934075619632,176.23806554672038,21.469224205637083,123.77091830546115,26.490423606064066
Niger,21,31.897029367224082,34.86057892566288,254.94431819544985,19.990983176265605,164.2224290793289,21.454941153908315
Niger,22,36.33575689156851,33.44160585592884,315.5668860683465,20.509146812409295,191.857558653948,23.034327879242348
Niger,23,49.06133995827143,42.33620277378124,378.0200439279737,22.11788497852251,257.48854694186065,17.629896704955627
Niger,24,68.85790005360947,58.19395082826627,423.5516714634964,22.631561059496,308.0680914263796,15.221543856157027
Niger,25,76.83670928996617,63.71489904344058,477.75748167052325,24.395478907968155,361.47841686296823,14.66736546592331
Niger,26,80.29007748966558,64.78711007823613,505.71374107248846,24.457919545458175,413.3021854200207,14.765473854244139
Niger,27,76.80826266973395,63.86819735156024,541.1847302685846,23.536294512613956,433.21920389725364,14.404375705310748
Niger,28,77.73641013084342,74.88963755608661,561.850511394801,26.017358330357375,460.83625468383616,13.737157448543126
Niger,29,68.38861382796286,79.56079045141897,545.8845960060916,30.177857292339407,464.46626191598926,15.147913808276705
Niger,30,60.688284991945956,86.69442696058468,496.3155277890061,26.68766801796792,478.01100242886935,13.523675536696242
