Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,2592,21,2832,21,3080,20
2,2584,18,2824,24,3072,23
3,2576,18,2816,21,3064,17
4,2568,20,2808,21,3056,20
5,2560,18,2800,19,3048,22
6,2552,23,2792,21,3040,23
7,2544,18,2784,21,3032,21
8,2536,18,2776,21,3024,19
9,2528,20,2768,17,3016,20
10,2520,21,2760,22,3008,22
11,2512,18,2752,24,3000,18
12,2504,25,2744,22,2992,22
13,2496,21,2736,25,2984,19
14,2488,18,2728,24,2976,21
15,2480,22,2720,16,2968,23
16,2472,24,2712,16,2960,19
17,2464,22,2704,16,2952,20
18,2456,24,2696,16,2944,16
19,2448,21,2688,16,2936,16
20,2440,21,2680,16,2928,16
21,2432,21,2672,16,2920,16
22,2424,16,2664,16,2912,16
23,2416,16,2656,16,2904,16
24,2408,16,2648,16,2896,16
25,2400,16,2640,16,2888,16
26,2392,16,2632,16,2880,16
27,2384,16,2624,16,2872,16
28,2376,16,2616,23,2864,16
29,2368,16,2608,16,2856,16
30,2360,16,2600,16,2848,16
