Country,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,,,,,
1,0.9973395933095596,0.998581952101689,0.9950208526955728,0.9951529987897004,0.9968344775346893,0.9973650798400022,0.9051929528311429,0.9084429618649527,0.9923938005739034,0.9914108985773828
2,0.9979833384735886,0.9980420203584545,0.9952419335800058,0.9953815674318085,0.9932797074403675,0.9956157533235457,0.8682560274824054,0.8625264657011508,0.986896501374245,0.9910378714279494
3,0.9966662176830431,0.996665971098081,0.9909656415491139,0.9925840457984297,0.9763541515512486,0.982025613031972,0.7893894130257163,0.7788260048550728,0.9804019830913437,0.989975779846847
4,0.9972374578436548,0.996317197423232,0.9843783834252152,0.9874421922638495,0.9666141341508792,0.9758981251700939,0.8113748413443114,0.802434949930062,0.9392831642599003,0.9669110116409805
5,0.9976830185801018,0.9946825094583941,0.975299813593574,0.9789385080300816,0.9516882655433216,0.9628600776018587,0.7829007284793122,0.7749639925138736,0.9098214449823421,0.9511483228181212
6,0.9961049549662463,0.9932998477576072,0.9622095869032422,0.9686822941995176,0.9286149254674372,0.9422382712334304,0.7475958145787618,0.7420088269906131,0.8881040388936987,0.941477795914728
7,0.9964022262248527,0.9937622159607669,0.9556821313706461,0.9641836251668874,0.9170511552456767,0.9357889408900402,0.7170804384801913,0.714762181126209,0.8918174958201854,0.9507312085919466
8,0.9919365600109281,0.9882226129551315,0.9387240850946453,0.9486279703149925,0.9044196484860538,0.9308933076366182,0.6811063524751078,0.6838207241300371,0.8793374706891095,0.9443998201292158
9,0.9873879041386839,0.9843154941985074,0.9412975334803759,0.9513737102987807,0.8894669274353719,0.9280036684157962,0.7233520592724363,0.7252747229096281,0.864372799545847,0.9337437081619283
10,0.9807016246543901,0.9782790741892406,0.9338514074124994,0.9474666893164453,0.8607847267076731,0.9195490560839084,0.9182409806544196,0.9256964948145036,0.8237649773728072,0.9278109747668062
