Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5
Info,training points,features,training points,features,training points,features,training points,features,training points,features
1,4485,19,4875,18,5278,18,5668,24,6071,21
2,4472,18,4862,19,5265,19,5655,24,6058,20
3,4459,18,4849,24,5252,19,5642,19,6045,19
4,4446,19,4836,19,5239,18,5629,24,6032,21
5,4433,19,4823,18,5226,19,5616,19,6019,25
6,4420,19,4810,18,5213,20,5603,25,6006,20
7,4407,19,4797,19,5200,19,5590,25,5993,20
8,4394,21,4784,19,5187,23,5577,24,5980,25
9,4381,21,4771,21,5174,24,5564,19,5967,20
10,4368,21,4758,19,5161,18,5551,25,5954,25
11,4355,20,4745,19,5148,24,5538,19,5941,26
12,4342,21,4732,19,5135,25,5525,25,5928,26
13,4329,21,4719,20,5122,24,5512,20,5915,25
14,4316,21,4706,20,5109,25,5499,25,5902,25
15,4303,21,4693,18,5096,24,5486,20,5889,24
16,4290,21,4680,20,5083,24,5473,20,5876,25
17,4277,20,4667,18,5070,19,5460,25,5863,26
18,4264,21,4654,19,5057,25,5447,20,5850,25
19,4251,21,4641,21,5044,24,5434,20,5837,25
20,4238,21,4628,19,5031,19,5421,20,5824,26
21,4225,21,4615,19,5018,19,5408,21,5811,24
22,4212,21,4602,20,5005,20,5395,26,5798,26
23,4199,21,4589,21,4992,19,5382,19,5785,24
24,4186,21,4576,20,4979,24,5369,19,5772,26
25,4173,21,4563,20,4966,24,5356,21,5759,23
26,4160,21,4550,19,4953,25,5343,19,5746,23
27,4147,21,4537,20,4940,19,5330,21,5733,19
28,4134,21,4524,21,4927,19,5317,21,5720,23
29,4121,21,4511,20,4914,23,5304,24,5707,24
30,4108,21,4498,20,4901,20,5291,23,5694,19
