AdminStrata,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Taizz
2019-09-17,101.61651080890881,124.6177361744359,87.46177473826937,93.4040658280379,90.68839092253319,86.92100624136454,98.38649349694033,79.7036937084232,56.41531207879899,72.06825626170611,78.09202335905671,100.48582789283236,82.9194948003252,87.47942450223933,102.60188057892215,79.73121252073322,88.56975660652057,73.89184221008512,64.49184157066172,97.5426604995011,98.7292256353546
2019-09-18,102.25162701778221,124.80935878501161,87.6583098345649,93.6936919652024,91.08590543969072,86.92124446138456,98.48112686253175,79.95800662166694,56.684795104959065,72.16529405279434,78.34610719576654,100.55609780063199,83.06650387449629,87.77388520723541,103.2858885036241,79.75644678830152,88.95180859244618,73.92009299148035,64.68224747932199,97.71505468728776,99.30445769874706
2019-09-19,102.88674322665561,125.0009813955873,87.85484493086045,93.9833181023669,91.48341995684825,86.92148268140457,98.57576022812317,80.21231953491068,56.95427813111914,72.26233184388258,78.60019103247637,100.62636770843159,83.2135129486674,88.0683459122315,103.96989642832605,79.7816810558698,89.3338605783718,73.94834377287557,64.87265338798224,97.88744887507444,99.87968976213952
2019-09-20,103.52185943552901,125.19260400616301,88.05138002715599,94.2729442395314,91.8809344740058,86.92172090142459,98.67039359371459,80.4666324481544,57.223761157279206,72.3593696349708,78.8542748691862,100.6966376162312,83.3605220228385,88.36280661722759,104.653904353028,79.80691532343809,89.71591256429741,73.9765945542708,65.0630592966425,98.0598430628611,100.454921825532
2019-09-21,104.45268023788041,127.53627435529901,88.31190715649758,94.93722078956826,92.09072530257117,86.857926865331,98.70388580650808,80.62685538320768,57.325188439501865,72.30934574159025,79.00626317250652,100.73586462629402,83.32098170484268,88.71547152185241,106.90904716435179,79.74148119959445,89.89078288322246,73.95317847183475,65.10941205308629,98.24520543045277,101.5843527663902
2019-09-22,105.3835010402318,129.87994470443502,88.57243428583917,95.60149733960512,92.30051613113656,86.7941328292374,98.73737801930157,80.78707831826095,57.426615721724524,72.25932184820971,79.15825147582684,100.77509163635682,83.28144138684688,89.06813642647721,109.1641899756756,79.67604707575082,90.06565320214749,73.92976238939869,65.15576480953007,98.43056779804442,102.7137837072484
2019-09-23,106.31432184258321,132.223615053571,88.83296141518076,96.26577388964198,92.51030695970194,86.73033879314379,98.77087023209506,80.94730125331424,57.52804300394718,72.20929795482915,79.31023977914715,100.81431864641962,83.24190106885106,89.42080133110203,111.4193327869994,79.61061295190717,90.24052352107253,73.90634630696262,65.20211756597384,98.61593016563609,103.8432146481066
2019-09-24,107.2451426449346,134.567285402707,89.09348854452234,96.93005043967884,92.72009778826732,86.66654475705019,98.80436244488855,81.10752418836752,57.62947028616984,72.1592740614486,79.46222808246748,100.85354565648242,83.20236075085526,89.77346623572683,113.6744755983232,79.54517882806354,90.41539383999756,73.88293022452656,65.24847032241762,98.80129253322774,104.9726455889648
2019-09-25,108.17596344728601,136.910955751843,89.35401567386394,97.5943269897157,92.9298886168327,86.60275072095659,98.83785465768204,81.2677471234208,57.7308975683925,72.10925016806806,79.6142163857878,100.89277266654523,83.16282043285945,90.12613114035165,115.92961840964699,79.4797447042199,90.59026415892261,73.8595141420905,65.2948230788614,98.9866549008194,106.102076529823
2019-09-26,109.10678424963741,139.254626100979,89.61454280320554,98.25860353975256,93.13967944539807,86.538956684863,98.87134687047553,81.42797005847407,57.83232485061516,72.0592262746875,79.76620468910812,100.93199967660803,83.12328011486363,90.47879604497646,118.1847612209708,79.41431058037625,90.76513447784765,73.83609805965445,65.34117583530518,99.17201726841107,107.2315074706812
2019-09-27,110.0376050519888,141.59829645011501,89.87506993254712,98.92288008978942,93.34947027396346,86.4751626487694,98.90483908326902,81.58819299352736,57.93375213283782,72.00920238130695,79.91819299242844,100.97122668667083,83.08373979686783,90.83146094960127,120.4399040322946,79.34887645653262,90.94000479677268,73.81268197721839,65.38752859174896,99.35737963600272,108.3609384115394
2019-09-28,110.96842585434021,143.941966799251,90.13559706188872,99.58715663982628,93.55926110252884,86.41136861267579,98.93833129606251,81.74841592858064,58.035179415060476,71.9591784879264,80.07018129574875,101.01045369673363,83.04419947887202,91.18412585422608,122.6950468436184,79.28344233268898,91.11487511569773,73.78926589478232,65.43388134819273,99.54274200359438,109.4903693523976
2019-09-29,111.8992466566916,146.285637148387,90.3961241912303,100.25143318986314,93.76905193109422,86.34757457658219,98.971823508856,81.90863886363391,58.136606697283135,71.90915459454585,80.22216959906908,101.04968070679645,83.00465916087622,91.53679075885088,124.95018965494219,79.21800820884535,91.28974543462276,73.76584981234626,65.48023410463651,99.72810437118603,110.61980029325579
2019-09-30,112.83006745904301,148.629307497523,90.6566513205719,100.9157097399,93.9788427596596,86.28378054048859,99.0053157216495,82.0688617986872,58.23803397950579,71.8591307011653,80.3741579023894,101.08890771685925,82.9651188428804,91.8894556634757,127.205332466266,79.1525740850017,91.4646157535478,73.7424337299102,65.52658686108029,99.9134667387777,111.74923123411399
2019-10-01,113.26903380730911,149.9352771010483,90.32834272119119,101.1282470759007,93.94491084565159,86.0773101216219,99.21538364388684,81.69093367541197,58.130412599413205,71.65426265392547,80.24568357749371,101.34116554578556,83.09095727720712,91.9800065185656,128.1597185961511,78.920049727349,91.30211236458189,73.86409269808904,65.20183792011592,99.7305384679205,112.23158845288759
2019-10-02,113.7080001555752,151.2412467045736,90.0000341218105,101.3407844119014,93.91097893164358,85.87083970275523,99.4254515661242,81.31300555213676,58.02279121932062,71.44939460668564,80.117209252598,101.59342337471188,83.21679571153383,92.0705573736555,129.1141047260362,78.68752536969629,91.13960897561599,73.98575166626786,64.87708897915155,99.54761019706328,112.7139456716612
2019-10-03,114.1469665038413,152.54721630809888,89.6717255224298,101.55332174790209,93.87704701763558,85.66436928388856,99.63551948836155,80.93507742886153,57.91516983922803,71.24452655944582,79.9887349277023,101.84568120363816,83.34263414586056,92.1611082287454,130.06849085592128,78.45500101204357,90.97710558665007,74.1074106344467,64.55234003818718,99.36468192620606,113.1963028904348
2019-10-04,114.5859328521074,153.8531859116242,89.3434169230491,101.7658590839028,93.84311510362757,85.45789886502187,99.8455874105989,80.55714930558632,57.80754845913544,71.03965851220599,79.8602606028066,102.09793903256448,83.46847258018728,92.2516590838353,131.0228769858064,78.22247665439086,90.81460219768417,74.22906960262553,64.22759109722281,99.18175365534886,113.6786601092084
2019-10-05,115.02489920037351,155.1591555151495,89.0151083236684,101.9783964199035,93.80918318961955,85.25142844615519,100.05565533283624,80.1792211823111,57.69992707904285,70.83479046496615,79.73178627791091,102.35019686149079,83.594311014514,92.34220993892521,131.9772631156915,77.98995229673815,90.65209880871825,74.35072857080436,63.902842156258444,98.99882538449165,114.161017327982
2019-10-06,115.4638655486396,156.4651251186748,88.6867997242877,102.1909337559042,93.77525127561154,85.04495802728852,100.2657232550736,79.80129305903587,57.592305698950256,70.62992241772632,79.60331195301521,102.60245469041709,83.72014944884071,92.4327607940151,132.93164924557658,77.75742793908545,90.48959541975233,74.47238753898318,63.57809321529408,98.81589711363443,114.6433745467556
2019-10-07,115.9028318969057,157.77109472220008,88.358491124907,102.40347109190489,93.74131936160353,84.83848760842184,100.47579117731095,79.42336493576066,57.48468431885767,70.42505437048649,79.4748376281195,102.8547125193434,83.84598788316744,92.523311649105,133.8860353754617,77.52490358143274,90.32709203078643,74.59404650716202,63.25334427432971,98.63296884277722,115.1257317655292
2019-10-08,116.3417982451718,159.0770643257254,88.0301825255263,102.6160084279056,93.70738744759552,84.63201718955516,100.6858590995483,79.04543681248543,57.37706293876508,70.22018632324666,79.34636330322381,103.1069703482697,83.97182631749416,92.6138625041949,134.8404215053468,77.29237922378002,90.16458864182052,74.71570547534085,62.928595333365344,98.45004057192001,115.6080889843028
