Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4
Info,training points,features,training points,features,training points,features,training points,features
1,1641,19,1734,18,1824,18,1917,22
2,1638,20,1731,20,1821,20,1914,21
3,1635,21,1728,18,1818,20,1911,19
4,1632,20,1725,18,1815,21,1908,19
5,1629,20,1722,18,1812,20,1905,21
6,1626,19,1719,18,1809,20,1902,19
7,1623,20,1716,25,1806,20,1899,21
8,1620,24,1713,19,1803,19,1896,27
9,1617,20,1710,25,1800,20,1893,27
10,1614,21,1707,25,1797,21,1890,21
11,1611,19,1704,25,1794,26,1887,20
12,1608,21,1701,25,1791,22,1884,21
13,1605,24,1698,25,1788,26,1881,20
14,1602,25,1695,25,1785,22,1878,20
15,1599,24,1692,22,1782,27,1875,28
16,1596,18,1689,18,1779,20,1872,21
17,1593,20,1686,18,1776,21,1869,21
18,1590,18,1683,18,1773,21,1866,23
19,1587,18,1680,18,1770,27,1863,21
20,1584,20,1677,18,1767,22,1860,22
21,1581,18,1674,18,1764,18,1857,22
22,1578,18,1671,18,1761,18,1854,20
23,1575,18,1668,18,1758,22,1851,21
24,1572,18,1665,18,1755,18,1848,22
25,1569,18,1662,18,1752,18,1845,21
26,1566,18,1659,20,1749,18,1842,21
27,1563,18,1656,18,1746,18,1839,20
28,1560,18,1653,18,1743,22,1836,19
29,1557,18,1650,18,1740,18,1833,21
30,1554,18,1647,18,1737,18,1830,21
