Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5
Info,training points,features,training points,features,training points,features,training points,features,training points,features
1,4485,21,4875,21,5278,19,5668,23,6071,24
2,4472,23,4862,18,5265,23,5655,18,6058,21
3,4459,23,4849,18,5252,21,5642,20,6045,20
4,4446,20,4836,21,5239,18,5629,20,6032,19
5,4433,20,4823,20,5226,20,5616,23,6019,19
6,4420,23,4810,22,5213,19,5603,18,6006,23
7,4407,26,4797,25,5200,22,5590,18,5993,21
8,4394,18,4784,24,5187,23,5577,20,5980,20
9,4381,20,4771,22,5174,22,5564,23,5967,21
10,4368,24,4758,17,5161,24,5551,23,5954,19
11,4355,19,4745,19,5148,24,5538,21,5941,20
12,4342,20,4732,23,5135,21,5525,21,5928,20
13,4329,22,4719,16,5122,21,5512,21,5915,21
14,4316,20,4706,19,5109,19,5499,22,5902,19
15,4303,20,4693,21,5096,23,5486,23,5889,23
16,4290,21,4680,18,5083,21,5473,22,5876,19
17,4277,19,4667,17,5070,18,5460,23,5863,21
18,4264,24,4654,22,5057,23,5447,21,5850,21
19,4251,21,4641,17,5044,24,5434,22,5837,22
20,4238,22,4628,19,5031,25,5421,19,5824,24
21,4225,18,4615,18,5018,18,5408,24,5811,23
22,4212,21,4602,20,5005,21,5395,20,5798,21
23,4199,19,4589,23,4992,21,5382,21,5785,25
24,4186,24,4576,25,4979,17,5369,18,5772,17
25,4173,21,4563,24,4966,21,5356,21,5759,21
26,4160,24,4550,18,4953,25,5343,19,5746,21
27,4147,19,4537,22,4940,19,5330,19,5733,22
28,4134,19,4524,23,4927,18,5317,25,5720,20
29,4121,24,4511,17,4914,26,5304,22,5707,20
30,4108,21,4498,25,4901,21,5291,20,5694,20
