Country,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,,,,,
1,0.9984577067094532,0.998581952101689,0.9956539764675517,0.9951529987897004,0.9955021799734322,0.9973650798400022,0.9117766311604267,0.9084429618649527,0.9898083782092906,0.9914108985773828
2,0.998253389968728,0.9980420203584545,0.9951034212897578,0.9953815674318085,0.9899376460123352,0.9956157533235457,0.8669005026757026,0.8625264657011508,0.9864023873587213,0.9910378714279494
3,0.9967411258594536,0.996665971098081,0.9920111147963757,0.9925840457984297,0.9697665995133876,0.982025613031972,0.7876557205410444,0.7788260048550728,0.9807733361651718,0.989975779846847
4,0.9967984233247635,0.996317197423232,0.9878864437198549,0.9874421922638495,0.959103111338646,0.9758981251700939,0.813900908923478,0.802434949930062,0.9409289258030277,0.9669110116409805
5,0.9962233233109932,0.9946825094583941,0.9796673993065869,0.9789385080300816,0.9455764869267899,0.9628600776018587,0.7920638293826846,0.7749639925138736,0.9121509852979917,0.9511483228181212
6,0.9948458656032351,0.9932998477576072,0.969625130742632,0.9686822941995176,0.9245669372086542,0.9422382712334304,0.7588367578102617,0.7420088269906131,0.8857414512892942,0.941477795914728
7,0.9935914478672856,0.9937622159607669,0.9659489798875747,0.9641836251668874,0.9168392834847139,0.9357889408900402,0.7269786426056133,0.714762181126209,0.8891186009201748,0.9507312085919466
8,0.9894702756167877,0.9882226129551315,0.9497991636593114,0.9486279703149925,0.9087808428469698,0.9308933076366182,0.6861678156865574,0.6838207241300371,0.8708475787512686,0.9443998201292158
9,0.983827977557348,0.9843154941985074,0.9537097186836296,0.9513737102987807,0.9007498311276033,0.9280036684157962,0.7297934819965082,0.7252747229096281,0.8625590529792807,0.9337437081619283
10,0.9782674401167522,0.9782790741892406,0.9470088755797964,0.9474666893164453,0.894004284439513,0.9195490560839084,0.9208848219554139,0.9256964948145036,0.8350309267449837,0.9278109747668062
