Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Info,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features
1,5983,22,6331,19,6703,24,7063,24,7435,23,7795,19,8167,25
2,5971,25,6319,24,6691,20,7051,25,7423,23,7783,26,8155,20
3,5959,23,6307,23,6679,23,7039,23,7411,28,7771,18,8143,24
4,5947,21,6295,20,6667,26,7027,25,7399,25,7759,25,8131,22
5,5935,23,6283,19,6655,25,7015,27,7387,21,7747,24,8119,24
6,5923,24,6271,20,6643,21,7003,22,7375,26,7735,20,8107,25
7,5911,23,6259,23,6631,25,6991,21,7363,20,7723,28,8095,27
8,5899,24,6247,22,6619,29,6979,24,7351,25,7711,20,8083,22
9,5887,21,6235,24,6607,22,6967,21,7339,23,7699,27,8071,29
10,5875,25,6223,28,6595,21,6955,26,7327,24,7687,19,8059,24
11,5863,26,6211,22,6583,25,6943,24,7315,19,7675,27,8047,20
12,5851,20,6199,25,6571,21,6931,25,7303,22,7663,20,8035,24
13,5839,24,6187,22,6559,27,6919,28,7291,25,7651,27,8023,20
14,5827,26,6175,20,6547,23,6907,24,7279,20,7639,25,8011,24
15,5815,21,6163,27,6535,24,6895,23,7267,23,7627,23,7999,21
16,5803,25,6151,19,6523,25,6883,24,7255,26,7615,26,7987,27
17,5791,24,6139,26,6511,19,6871,27,7243,26,7603,27,7975,24
18,5779,23,6127,29,6499,26,6859,21,7231,23,7591,25,7963,24
19,5767,26,6115,25,6487,23,6847,22,7219,22,7579,28,7951,21
20,5755,26,6103,27,6475,24,6835,25,7207,22,7567,28,7939,24
21,5743,23,6091,26,6463,23,6823,28,7195,22,7555,26,7927,23
22,5731,23,6079,24,6451,22,6811,26,7183,25,7543,21,7915,26
23,5719,26,6067,25,6439,26,6799,23,7171,25,7531,28,7903,18
24,5707,23,6055,24,6427,21,6787,27,7159,27,7519,20,7891,18
25,5695,26,6043,24,6415,24,6775,28,7147,19,7507,21,7879,18
26,5683,19,6031,23,6403,22,6763,25,7135,23,7495,26,7867,18
27,5671,27,6019,21,6391,22,6751,29,7123,22,7483,22,7855,18
28,5659,25,6007,22,6379,21,6739,22,7111,28,7471,24,7843,18
29,5647,27,5995,25,6367,27,6727,20,7099,22,7459,26,7831,18
30,5635,26,5983,27,6355,26,6715,22,7087,20,7447,24,7819,18
