AdminStrata,Adamawa,Borno,Yobe
Indicator,rCSI,rCSI,rCSI
2019-01-18,43.0087409766514,35.25952849574112,45.458461731357964
2019-01-19,43.61938479314493,34.7199987904137,45.499662801634855
2019-01-20,42.48155905650609,34.65347048674515,44.1934803460001
2019-01-21,42.55896231327147,34.36289918556291,45.04817237586917
2019-01-22,41.129399342640205,36.355708666064274,43.35934185977821
2019-01-23,40.721224204610365,35.64780243122765,43.74485193029243
2019-01-24,42.16888511031677,35.96718916318362,43.17535344580914
2019-01-25,42.14546183221991,36.12897993331178,42.93306048335942
2019-01-26,42.45046126308672,35.770259958215924,43.183312295887156
2019-01-27,39.6983042756,38.62709557601253,40.43894904921903
2019-01-28,38.08170386589507,37.37788743446804,41.47426111731095
2019-01-29,38.85754366564472,35.51791834400017,41.86905990131356
2019-01-30,38.55117168282147,36.60557168813594,41.55237942310118
2019-01-31,38.032530502896265,36.15250037637431,41.86709044287905
2019-02-01,38.07975429067261,35.41412643019238,42.43342950595058
2019-02-02,37.870897818956905,36.801128506887935,43.19816018665089
2019-02-03,38.239941578518135,35.03728162104981,43.38666984684298
2019-02-04,38.91462662335663,35.18509143288318,43.193218830242365
2019-02-05,39.401864500160656,34.746708315677196,42.07516695843636
2019-02-06,40.192325839290966,34.295863335201545,43.12015763671441
2019-02-07,40.12390977128908,34.09445285628968,43.04060841740945
2019-02-08,40.196312981799075,32.6260932988972,44.69012494472896
2019-02-09,39.433425133254794,32.31013514182711,43.414603930602254
2019-02-10,39.80108135400211,32.66737496874893,44.619195579796944
2019-02-11,40.448368163674466,32.12453950793749,44.185169554088795
2019-02-12,38.33998571736016,33.849203559618985,44.043310824224776
2019-02-13,37.892022377935305,33.542244635589746,42.42742307030887
2019-02-14,37.61599535145616,34.04434947507337,42.56594386254478
2019-02-15,37.45358464231843,34.93046956740089,43.47318821460179
2019-02-16,35.583576949877724,34.52274918848389,42.22634998702297
2019-02-17,36.1172933451482,34.00132982630443,44.32425013550265
2019-02-18,35.60364914333815,34.19564626540607,43.709314184735206
2019-02-19,34.404388833340036,33.475391909901845,42.842102518884566
2019-02-20,34.761605523335206,33.24552125493372,43.08867224825553
2019-02-21,33.84653359330513,32.51616994668904,42.24550327008188
2019-02-22,32.08271248219401,31.49158466657316,41.580303691093995
