AdminStrata,Adamawa,Adamawa,Adamawa,Adamawa,Borno,Borno,Borno,Borno,Yobe,Yobe,Yobe,Yobe
Food Group,Cereals and tubers,Fuel,Oil and fats,Pulses and nuts,Cereals and tubers,Fuel,Oil and fats,Pulses and nuts,Cereals and tubers,Fuel,Oil and fats,Pulses and nuts
2019-01-18,0.46716634358138875,0.871125955882694,0.5798642633347878,0.42855470244164107,0.18266826807522415,0.9658523969631511,0.545235427104654,0.6014836239574645,0.2402413694602781,0.5362590038107697,0.2647260145508094,0.42380367862608
2019-01-19,0.4662261759525329,0.871125955882694,0.578804605107056,0.42779996925551317,0.1820437522900408,0.9655609504154415,0.5444218609729637,0.5989020821985865,0.24047843996240212,0.5270462441225097,0.2653930211603704,0.42220945786405856
2019-01-20,0.465286008323677,0.871125955882694,0.5777449468793241,0.4270452360693853,0.18141923650485742,0.9652695038677321,0.5436082948412735,0.5963205404397085,0.24071551046452616,0.5178334844342497,0.2660600277699313,0.4206152371020371
2019-01-21,0.46434584069482115,0.871125955882694,0.5766852886515923,0.42629050288325737,0.18079472071967403,0.9649780573200225,0.5427947287095832,0.5937389986808304,0.24095258096665015,0.5086207247459897,0.2667270343794923,0.41902101634001565
2019-01-22,0.46340567306596525,0.871125955882694,0.5756256304238605,0.4255357696971295,0.18017020493449068,0.9646866107723132,0.541981162577893,0.5911574569219523,0.24118965146877416,0.49940796505772983,0.2673940409890532,0.41742679557799417
2019-01-23,0.46246550543710935,0.871125955882694,0.5745659721961286,0.42478103651100163,0.1795456891493073,0.9643951642246037,0.5411675964462027,0.5885759151630743,0.24142672197089818,0.49019520536946987,0.2680610475986142,0.4158325748159727
2019-01-24,0.4615253378082535,0.871125955882694,0.5735063139683968,0.4240263033248738,0.17892117336412391,0.9641037176768942,0.5403540303145126,0.5859943734041964,0.24166379247302222,0.48098244568120985,0.26872805420817514,0.4142383540539512
2019-01-25,0.4605851701793976,0.871125955882694,0.5724466557406649,0.4232715701387459,0.17829665757894053,0.9638122711291848,0.5395404641828222,0.5834128316453183,0.2419008629751462,0.4717696859929499,0.2693950608177361,0.4126441332919298
2019-01-26,0.45964500255054164,0.871125955882694,0.571386997512933,0.42251683695261794,0.17767214179375718,0.9635208245814751,0.5387268980511319,0.5808312898864403,0.24213793347727022,0.4625569263046899,0.2700620674272971,0.4110499125299083
