AdminStrata,Adamawa,Borno,Gombe,Jigawa,Kaduna,Kano,Katsina,Kebbi,Lagos,Oyo,Sokoto,Yobe,Zamfara
Food Group,Cereals and tubers,Cereals and tubers,Cereals and tubers,Cereals and tubers,Cereals and tubers,Cereals and tubers,Cereals and tubers,Cereals and tubers,Cereals and tubers,Cereals and tubers,Cereals and tubers,Cereals and tubers,Cereals and tubers
2019-12-20,-0.1391342888431804,-0.11919693275761116,0.37577591429096757,-1.2923201523413157,-0.4918795739858393,-0.5492939365973538,-0.11710775713740587,-0.35561727389360004,0.7757288293483229,0.7322374593859666,,-0.6975343850191,-0.37064723483577167
2019-12-21,-0.1498122986599349,-0.12001099891338887,0.3758005665237964,-1.2923192948723479,-0.4949356291155194,-0.5585359527699285,-0.11751162502131464,-0.3570554615117097,0.7715801380967726,0.7315860136426728,,-0.6996484945900258,-0.37328695586272886
2019-12-22,-0.1604903084766894,-0.12082506506916657,0.3758252187566252,-1.29231843740338,-0.4979916842451996,-0.5677779689425032,-0.1179154929052234,-0.35849364912981935,0.7674314468452224,0.730934567899379,,-0.7017626041609515,-0.375926676889686
2019-12-23,-0.1711683182934439,-0.12163913122494428,0.375849870989454,-1.2923175799344122,-0.5010477393748797,-0.5770199851150779,-0.11831936078913217,-0.359931836747929,0.7632827555936721,0.7302831221560853,,-0.7038767137318772,-0.3785663979166432
2019-12-24,-0.1818463281101984,-0.122453197380722,0.3758745232222828,-1.2923167224654444,-0.5041037945045599,-0.5862620012876526,-0.11872322867304096,-0.36137002436603866,0.7591340643421218,0.7296316764127915,,-0.7059908233028029,-0.3812061189436004
2019-12-25,-0.1925243379269529,-0.1232672635364997,0.37589917545511164,-1.2923158649964765,-0.50715984963424,-0.5955040174602273,-0.11912709655694972,-0.3628082119841483,0.7549853730905717,0.7289802306694978,,-0.7081049328737287,-0.3838458399705576
2019-12-26,-0.2032023477437074,-0.1240813296922774,0.3759238276879404,-1.2923150075275087,-0.5102159047639201,-0.604746033632802,-0.11953096444085849,-0.36424639960225796,0.7508366818390214,0.728328784926204,,-0.7102190424446545,-0.3864855609975148
2019-12-27,-0.2138803575604619,-0.12489539584805512,0.37594847992076924,-1.2923141500585411,-0.5132719598936002,-0.6139880498053766,-0.11993483232476726,-0.3656845872203676,0.7466879905874712,0.7276773391829102,,-0.7123331520155802,-0.38912528202447194
2019-12-28,-0.2245583673772164,-0.12570946200383282,0.37597313215359807,-1.2923132925895733,-0.5163280150232804,-0.6232300659779513,-0.12033870020867604,-0.3671227748384773,0.7425392993359209,0.7270258934396164,,-0.714447261586506,-0.39176500305142914
2019-12-29,-0.2352363771939709,-0.12652352815961052,0.3759977843864269,-1.2923124351206055,-0.5193840701529606,-0.632472082150526,-0.12074256809258481,-0.3685609624565869,0.7383906080843706,0.7263744476963226,,-0.7165613711574317,-0.39440472407838634
2019-12-30,-0.2459143870107254,-0.12733759431538821,0.37602243661925566,-1.2923115776516376,-0.5224401252826409,-0.6417140983231007,-0.12114643597649358,-0.3699991500746965,0.7342419168328205,0.7257230019530289,,-0.7186754807283574,-0.39704444510534354
2019-12-31,-0.2565923968274799,-0.1281516604711659,0.3760470888520845,-1.2923107201826698,-0.5254961804123212,-0.6509561144956754,-0.12155030386040235,-0.3714373376928062,0.7300932255812702,0.7250715562097351,,-0.7207895902992831,-0.39968416613230073
2020-01-01,-0.2558197191897977,-0.12912179639768143,0.37606588171363226,-1.2925221165905536,-0.5130150050262021,-0.6511096786932319,-0.11500741548268881,-0.3708691939978855,0.7312053256074081,0.7239915339848345,,-0.7209050309888155,-0.3941657622775439
2020-01-02,-0.25504704155211544,-0.1300919323241969,0.37608467457518,-1.2927335129984374,-0.500533829640083,-0.6512632428907884,-0.10846452710497526,-0.3703010503029648,0.7323174256335461,0.7229115117599341,,-0.7210204716783478,-0.38864735842278714
2020-01-03,-0.2542743639144332,-0.13106206825071243,0.3761034674367278,-1.2929449094063212,-0.488052654253964,-0.6514168070883449,-0.1019216387272617,-0.3697329066080441,0.733429525659684,0.7218314895350335,,-0.7211359123678802,-0.38312895456803037
2020-01-04,-0.25350168627675096,-0.1320322041772279,0.37612226029827556,-1.293156305814205,-0.47557147886784495,-0.6515703712859015,-0.09537875034954815,-0.36916476291312333,0.7345416256858219,0.720751467310133,,-0.7212513530574125,-0.37761055071327354
2020-01-05,-0.2527290086390687,-0.13300234010374343,0.3761410531598233,-1.2933677022220889,-0.4630903034817259,-0.6517239354834579,-0.08883586197183461,-0.36859661921820264,0.7356537257119599,0.7196714450852324,,-0.7213667937469449,-0.37209214685851677
2020-01-06,-0.2519563310013865,-0.1339724760302589,0.3761598460213711,-1.2935790986299724,-0.4506091280956069,-0.6518774996810144,-0.08229297359412106,-0.36802847552328194,0.7367658257380978,0.7185914228603318,,-0.7214822344364772,-0.36657374300376
2020-01-07,-0.25118365336370424,-0.13494261195677443,0.37617863888291886,-1.2937904950378563,-0.43812795270948784,-0.6520310638785709,-0.07575008521640751,-0.36746033182836124,0.7378779257642357,0.7175114006354313,,-0.7215976751260096,-0.3610553391490032
2020-01-08,-0.250410975726022,-0.1359127478832899,0.3761974317444666,-1.29400189144574,-0.4256467773233688,-0.6521846280761274,-0.06920719683869396,-0.36689218813344054,0.7389900257903738,0.7164313784105307,,-0.721713115815542,-0.3555369352942464
2020-01-09,-0.24963829808833982,-0.13688288380980543,0.3762162246060144,-1.2942132878536239,-0.41316560193724977,-0.652338192273684,-0.06266430846098042,-0.3663240444385198,0.7401021258165117,0.7153513561856302,,-0.7218285565050743,-0.35001853143948963
2020-01-10,-0.2488656204506576,-0.13785301973632091,0.37623501746756216,-1.2944246842615077,-0.40068442655113073,-0.6524917564712404,-0.05612142008326687,-0.3657559007435991,0.7412142258426496,0.7142713339607297,,-0.7219439971946067,-0.3445001275847328
2020-01-11,-0.2480929428129754,-0.13882315566283643,0.37625381032910993,-1.2946360806693915,-0.3882032511650117,-0.6526453206687969,-0.04957853170555332,-0.3651877570486784,0.7423263258687876,0.7131913117358292,,-0.722059437884139,-0.33898172372997604
2020-01-12,-0.2473202651752932,-0.13979329158935191,0.3762726031906577,-1.2948474770772753,-0.37572207577889266,-0.6527988848663534,-0.043035643327839775,-0.3646196133537577,0.7434384258949255,0.7121112895109286,,-0.7221748785736714,-0.33346331987521927
2020-01-13,-0.246547587537611,-0.14076342751586743,0.37629139605220546,-1.2950588734851591,-0.3632409003927736,-0.6529524490639099,-0.03649275495012622,-0.36405146965883695,0.7445505259210634,0.7110312672860281,,-0.7222903192632038,-0.32794491602046244
2020-01-14,-0.24577490989992878,-0.14173356344238291,0.3763101889137532,-1.295270269893043,-0.3507597250066546,-0.6531060132614664,-0.02994986657241268,-0.36348332596391625,0.7456626259472013,0.7099512450611275,,-0.722405759952736,-0.32242651216570567
2020-01-15,-0.24500223226224657,-0.14270369936889843,0.37632898177530094,-1.2954816663009268,-0.33827854962053555,-0.6532595774590229,-0.02340697819469913,-0.36291518226899555,0.7467747259733393,0.7088712228362269,,-0.7225212006422684,-0.3169081083109489
