AdminStrata,Adamawa,Central,East,Far-North,Littoral,North,North-West,South,South-West,West
Indicator,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities
2019-06-30,0.0,1.0,0.0,212.5,2.0,1.0,45.0,0.0,13.0,1.0
2019-07-01,0.0,1.0,0.0,212.5,2.0,0.0,55.0,0.0,14.0,1.0
2019-07-02,0.0,1.0,0.0,212.5,2.0,0.0,54.0,0.0,15.0,1.0
2019-07-03,0.0,1.0,0.0,212.5,2.0,0.0,52.0,0.0,15.0,1.0
2019-07-04,0.0,1.0,0.0,210.5,2.0,0.0,51.0,0.0,15.0,1.0
2019-07-05,0.0,1.0,0.0,211.5,2.0,0.0,51.0,0.0,15.0,1.0
2019-07-06,0.0,1.0,0.0,198.5,2.0,0.0,51.0,0.0,15.0,1.0
2019-07-07,0.0,1.0,0.0,198.5,2.0,0.0,47.0,0.0,15.0,1.0
2019-07-08,0.0,1.0,0.0,198.5,2.0,0.0,43.0,0.0,7.0,1.0
2019-07-09,0.0,1.0,0.0,198.5,2.0,0.0,40.0,0.0,7.0,1.0
2019-07-10,0.0,1.0,0.0,198.5,2.0,0.0,34.0,0.0,7.0,1.0
2019-07-11,0.0,1.0,0.0,194.5,1.0,0.0,41.0,0.0,7.0,1.0
2019-07-12,0.0,1.0,0.0,191.5,0.0,0.0,40.0,0.0,7.0,1.0
2019-07-13,0.0,1.0,0.0,192.0,0.0,0.0,39.0,0.0,7.0,1.0
2019-07-14,0.0,1.0,0.0,193.0,0.0,0.0,29.0,0.0,7.0,1.0
2019-07-15,0.0,1.0,0.0,190.0,0.0,0.0,40.0,0.0,7.0,1.0
2019-07-16,0.0,1.0,0.0,190.0,0.0,0.0,40.0,0.0,7.0,1.0
2019-07-17,0.0,1.0,0.0,187.0,0.0,0.0,52.0,0.0,6.0,1.0
2019-07-18,0.0,1.0,0.0,189.0,0.0,0.0,53.0,0.0,6.0,1.0
2019-07-19,0.0,1.0,0.0,189.0,0.0,0.0,56.0,0.0,7.0,1.0
2019-07-20,0.0,1.0,0.0,189.0,0.0,0.0,56.0,0.0,7.0,1.0
2019-07-21,0.0,1.0,0.0,182.5,0.0,0.0,54.0,0.0,12.0,1.0
2019-07-22,0.0,1.0,0.0,182.5,0.0,0.0,54.0,0.0,12.0,1.0
2019-07-23,0.0,0.0,0.0,182.5,0.0,0.0,54.0,0.0,12.0,1.0
2019-07-24,0.0,0.0,0.0,183.5,0.0,0.0,52.0,0.0,12.0,1.0
2019-07-25,0.0,0.0,0.0,184.5,0.0,0.0,52.0,0.0,22.0,1.0
2019-07-26,0.0,0.0,0.0,179.5,0.0,0.0,52.0,0.0,22.0,1.0
2019-07-27,0.0,0.0,0.0,182.5,0.0,0.0,52.0,0.0,22.0,1.0
2019-07-28,0.0,0.0,0.0,188.5,0.0,0.0,52.0,0.0,32.0,1.0
2019-07-29,0.0,0.0,0.0,188.5,0.0,0.0,60.0,0.0,32.0,1.0
