Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,2592,24,2832,24,3080,19
2,2584,24,2824,23,3072,20
3,2576,24,2816,24,3064,19
4,2568,25,2808,23,3056,23
5,2560,19,2800,19,3048,19
6,2552,25,2792,25,3040,24
7,2544,25,2784,25,3032,19
8,2536,20,2776,19,3024,19
9,2528,25,2768,25,3016,18
10,2520,19,2760,19,3008,18
11,2512,25,2752,19,3000,18
12,2504,19,2744,19,2992,18
13,2496,25,2736,26,2984,19
14,2488,24,2728,19,2976,18
15,2480,25,2720,20,2968,18
16,2472,24,2712,19,2960,19
17,2464,24,2704,20,2952,19
18,2456,25,2696,20,2944,18
19,2448,25,2688,24,2936,19
20,2440,25,2680,20,2928,19
21,2432,20,2672,24,2920,19
22,2424,19,2664,20,2912,19
23,2416,20,2656,20,2904,19
24,2408,21,2648,20,2896,19
25,2400,20,2640,20,2888,19
26,2392,21,2632,20,2880,19
27,2384,21,2624,21,2872,19
28,2376,21,2616,20,2864,19
29,2368,21,2608,21,2856,18
30,2360,20,2600,21,2848,19
