AdminStrata,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,East,East,East,East,East,East,East,East,East,East,East,East,East,East,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,North,North,North,North,North,North,North,North,North,North,North,North,North,North,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,West,West,West,West,West,West,West,West,West,West,West,West,West,West
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI
2018-01-10,100.86757080175501,65.9346310138965,13,,,6.84854237002071,13.139483661093431,,,1295480,,0.049,,,98.7239124968569,102.55095962831899,14,,,4.663677774212565,11.822515850165402,,,4672234,,1.639,,,101.40655645839199,109.449318626558,15,,,3.7971828883688867,14.22083036504301,,,1108419,,2.407,,,100.0,76.83900588881129,16,,,11.080113976498957,14.532204325581569,,,4545866,,0.0,,,75.38532747049291,99.88429123595007,17,,,4.257462441611278,10.11535985420615,,,3845583,,3.636,,,100.0,50.058450363950904,18,,,8.487080600476824,13.940344601551207,,,2825922,,0.0,,,100.656843600213,62.788029224428605,19,,,6.365679567736153,10.369355005546211,,,2221973,,0.763,,,74.1186657320744,83.3793580490525,21,,,5.200998269973184,9.29272843176402,,,1837059,,3.252,,,96.7048356536782,91.9082912691313,22,,,5.4980258531877855,10.649170376993524,,,2066677,,1.594,,
2018-01-11,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-12,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-13,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-14,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-15,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-16,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-17,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-18,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-19,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
