AdminStrata,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,East,East,East,East,East,East,East,East,East,East,East,East,East,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,North,North,North,North,North,North,North,North,North,North,North,North,North,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,South,South,South,South,South,South,South,South,South,South,South,South,South,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,West,West,West,West,West,West,West,West,West,West,West,West,West
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,rCSI
2019-06-30,101.837037992266,102.94288413053356,13,26.797950000000004,0.0,6.84854237002071,13.139483661093431,0.6983776911111111,104.96183218309164,1295480,514.7136,30.0,16.43836,94.10578822365908,103.03632477675772,14,19.64846,1.0,4.663677774212565,11.822515850165402,0.8062722797777777,101.63005113282163,4672234,436.8042,30.0,12.429380000000002,95.79242393801121,98.51728876756957,15,19.1793,0.0,3.7971828883688867,14.22083036504301,0.8227037550000001,101.14351742205872,1108419,411.48359999999985,30.0,14.27297,124.79874663675643,122.85161281102673,16,16.05136,212.5,11.080113976498957,14.532204325581569,0.2693019591111111,109.15114186509552,4545866,207.46430000000004,30.0,21.7496,84.49279260589087,97.32445688624945,17,22.01705,2.0,4.257462441611278,10.11535985420615,0.8020542275555556,100.09582715149094,3845583,493.1147,30.0,12.784089999999999,102.83672884138204,99.61725715126076,18,9.02326,1.0,8.487080600476824,13.940344601551207,0.4727398933333334,101.21014488314518,2825922,366.7327,30.0,7.162790000000001,97.78259145452276,100.5444803562555,19,55.99453000000001,45.0,6.365679567736153,10.369355005546211,0.7944736683333337,100.8759824202902,2221973,263.65500000000003,3.0,55.5434,93.3766423679658,97.82733447245316,20,19.98382,0.0,2.755915510083881,11.57576316445932,0.833745596,100.56624598087507,797019,467.92829999999987,30.0,10.92233,88.64642932653919,89.9915353502956,21,49.4356,13.0,5.200998269973184,9.29272843176402,0.8191609716666668,100.28456763255586,1837059,250.13299999999998,3.0,57.68451999999999,98.40447209170765,114.4946322872585,22,39.07455,1.0,5.4980258531877855,10.649170376993524,0.7338253842222221,103.35051885894264,2066677,478.4319,30.0,20.908310000000004
2019-07-01,101.7459911054875,102.80237436782728,13,27.08333,0.0,6.84854237002071,13.139483661093431,0.7007210325,104.87498734125765,1295480,520.9204,30.0,17.0,93.43005403687323,102.64588946693097,14,19.143730000000005,1.0,4.663677774212565,11.822515850165402,0.8075034045555555,101.61723904472605,4672234,440.05430000000007,30.0,12.110089999999998,95.34997985609135,98.39791080354112,15,22.09802,0.0,3.7971828883688867,14.22083036504301,0.8236448005555556,101.1420634885488,1108419,412.23679999999985,30.0,13.75752,124.97080364143557,123.27241893660116,16,15.612799999999998,212.5,11.080113976498957,14.532204325581569,0.2713797318888889,109.39268552814488,4545866,216.8976,30.0,21.15535,83.73685481194828,96.77411122226223,17,20.69426,2.0,4.257462441611278,10.11535985420615,0.8027948859999999,100.09264065014216,3845583,507.4795,30.0,12.016019999999996,102.7800176757694,99.65592484454187,18,8.45684,0.0,8.487080600476824,13.940344601551207,0.4764239849444444,101.19538674312368,2825922,372.4381,30.0,6.713160000000001,97.48694998426785,100.09812356408644,19,54.47852999999999,55.0,6.365679567736153,10.369355005546211,0.7949979703333336,100.84923344519709,2221973,271.3387,2.0,54.328559999999996,92.59208430635479,97.6825038866762,20,19.556610000000006,0.0,2.755915510083881,11.57576316445932,0.8343719393333332,100.57336498347395,797019,465.65269999999987,30.0,10.688840000000004,87.94169019547078,89.36815592416971,21,49.05338,14.0,5.200998269973184,9.29272843176402,0.8195359078333335,100.28981985345006,1837059,261.6982,2.0,56.5694,97.78425474036484,113.82439152189282,22,37.46919000000001,1.0,5.4980258531877855,10.649170376993524,0.7358666806666666,103.27495489973516,2066677,489.1485,30.0,20.0493
2019-07-02,101.65125630689856,102.66745508217423,13,25.390629999999998,0.0,6.84854237002071,13.139483661093431,0.7030537241666668,104.78806623734951,1295480,527.1272,30.0,15.937499999999998,92.79753239035291,102.27169166549808,14,18.466079999999998,1.0,4.663677774212565,11.822515850165402,0.8087186632222221,101.60424172757216,4672234,443.3044,30.0,11.68142,94.92414593160605,98.28192675038544,15,20.75929,0.0,3.7971828883688867,14.22083036504301,0.8245708305555555,101.14057923644508,1108419,412.99,30.0,12.92407,125.17646153644532,123.70936582915148,16,14.914239999999998,212.5,11.080113976498957,14.532204325581569,0.2735429733333333,109.63014800108992,4545866,226.3309,30.0,20.2088,83.06754188239469,96.25306743846446,17,19.8973,2.0,4.257462441611278,10.11535985420615,0.8035291469999998,100.09011100542259,3845583,521.8443,30.0,11.55327,102.72012399925785,99.70094970418334,18,7.84155,0.0,8.487080600476824,13.940344601551207,0.480147907611111,101.1805673998833,2825922,378.1435,30.0,6.22474,97.244202533938,99.70445637677608,19,53.89045,54.0,6.365679567736153,10.369355005546211,0.7955180710000002,100.82322200043907,2221973,279.0224,1.0,55.296640000000004,91.83040507069214,97.5422317276374,20,18.66969,0.0,2.755915510083881,11.57576316445932,0.8349897888888889,100.58069079765036,797019,463.37709999999987,30.0,10.204080000000001,87.28870016316259,88.8164514212117,21,50.59499,15.0,5.200998269973184,9.29272843176402,0.8199105368333335,100.29439402985257,1837059,273.2634,1.0,57.570780000000006,97.23492139983178,113.18548552840991,22,37.77065,1.0,5.4980258531877855,10.649170376993524,0.7378812626666666,103.1996578610524,2066677,499.8651,30.0,19.56696
2019-07-03,101.55283359649916,102.53812627357443,13,24.86611,0.0,6.84854237002071,13.139483661093431,0.7053757661111111,104.70106887136718,1295480,533.3340000000002,30.0,15.608260000000001,92.20822328409807,101.91373137245913,14,18.092489999999998,1.0,4.663677774212565,11.822515850165402,0.8099180557777775,101.59105918136007,4672234,446.5545,30.0,11.445090000000002,94.51492216455523,98.16933660810257,15,19.79969,0.0,3.7971828883688867,14.22083036504301,0.8254818450000002,101.13906466574764,1108419,413.74319999999983,30.0,12.32666,125.41572032178577,124.16245348867766,16,14.566639999999998,212.5,11.080113976498957,14.532204325581569,0.27579168344444444,109.86352928393069,4545866,235.7642,30.0,19.7378,82.48485381723009,95.76132553485607,17,19.64512,2.0,4.257462441611278,10.11535985420615,0.8042570105555555,100.08823821733226,3845583,536.2091,30.0,11.406839999999999,102.6570478118473,99.75233173018516,18,9.791830000000001,0.0,8.487080600476824,13.940344601551207,0.4839116613333334,101.16568685342405,2825922,383.8489,30.0,8.24981,97.05434910353316,99.36347879432444,19,55.80899,52.0,6.365679567736153,10.369355005546211,0.7960339703333336,100.79794808601623,2221973,286.7061,0.0,55.86234,91.09160466097782,97.40651799533664,20,18.05556,0.0,2.755915510083881,11.57576316445932,0.8355991446666667,100.58822342340416,797019,461.10149999999993,30.0,9.86842,86.6874592296146,88.33642184142157,21,51.40874,15.0,5.200998269973184,9.29272843176402,0.8202848586666668,100.29829016176356,1837059,284.8286,0.0,54.00416,96.75647207010849,112.57791430680979,22,38.15074,1.0,5.4980258531877855,10.649170376993524,0.7398691302222221,103.12462774289438,2066677,510.5817,30.0,20.512820000000005
2019-07-04,101.45072297428942,102.4143879420278,13,24.417729999999995,0.0,6.84854237002071,13.139483661093431,0.7076871583333334,104.61399524331064,1295480,539.5408000000001,30.0,15.326820000000001,91.66212671810872,101.57200858781398,14,18.52908,1.0,4.663677774212565,11.822515850165402,0.8111015822222222,101.57769140608968,4672234,449.8046,30.0,11.97263,94.12230855493894,98.06014037669249,15,19.20777,0.0,3.7971828883688867,14.22083036504301,0.8263778438888889,101.13751977645643,1108419,414.4964,30.0,11.95815,125.68857999745684,124.63168191517973,16,14.20455,210.5,11.080113976498957,14.532204325581569,0.2781258622222222,110.09282937666715,4545866,245.1975,30.0,19.24716,81.98879061645451,95.29888551143713,17,19.27861,2.0,4.257462441611278,10.11535985420615,0.8049784766666667,100.08702228587113,3845583,550.5739,30.0,11.19403,102.59078911353781,99.81007092254735,18,9.55606,0.0,8.487080600476824,13.940344601551207,0.4877152461111111,101.15074510374588,2825922,389.5543,30.0,8.051169999999999,96.9173896930534,99.07519081673149,19,55.11801,51.0,6.365679567736153,10.369355005546211,0.7965456683333335,100.77341170192852,2221973,294.3898,0.0,55.52904000000001,90.37568307721183,97.27536268977406,20,20.09979,0.0,2.755915510083881,11.57576316445932,0.8362000066666668,100.5959628607354,797019,458.82589999999993,30.0,9.62224,86.13796739482677,87.92806718479933,21,51.34353,15.0,5.200998269973184,9.29272843176402,0.8206588733333334,100.30150824918293,1837059,296.3938,0.0,54.08571,96.34890675119496,112.00167785709243,22,37.79831,1.0,5.4980258531877855,10.649170376993524,0.7418302833333333,103.04986454526104,2066677,521.2983,30.0,20.32333
2019-07-05,101.34492444026922,102.29624008753441,13,24.870850000000004,0.0,6.84854237002071,13.139483661093431,0.7099879008333333,104.52684535318,1295480,545.7476,30.0,15.94096,91.15924269238488,101.24652331156271,14,18.217489999999998,1.0,4.663677774212565,11.822515850165402,0.8122692425555555,101.56413840176106,4672234,453.0547,30.0,11.771300000000002,93.74630510275722,97.95433805615515,15,22.43454,0.0,3.7971828883688867,14.22083036504301,0.8272588272222222,101.13594456857149,1108419,415.24959999999993,30.0,11.32343,125.9950405634585,125.11705110865766,16,13.908210000000002,211.5,11.080113976498957,14.532204325581569,0.28054550966666664,110.31804827929932,4545866,254.6308,30.0,18.84562,81.57935228006794,94.86574736820762,17,18.787880000000005,2.0,4.257462441611278,10.11535985420615,0.8056935453333334,100.08646321103916,3845583,564.9387,30.0,10.909089999999999,102.52134790432932,99.87416728126995,18,9.20957,0.0,8.487080600476824,13.940344601551207,0.4915586619444444,101.13574215084887,2825922,395.2597,30.0,9.93474,96.83332430249872,98.83959244399729,19,55.29863,51.0,6.365679567736153,10.369355005546211,0.7970531650000001,100.74961284817594,2221973,302.0735,0.0,54.09619,89.68264031939421,97.14876581094951,20,19.72028,0.0,2.755915510083881,11.57576316445932,0.8367923748888889,100.60390910964405,797019,456.5503,30.0,9.44056,85.64022465879913,87.59138745134494,21,50.525009999999995,15.0,5.200998269973184,9.29272843176402,0.8210325808333334,100.3040482921107,1837059,307.959,0.0,54.36585,96.0122254430912,111.45677617925787,22,38.85159999999999,1.0,5.4980258531877855,10.649170376993524,0.7437647219999999,102.97536826815242,2066677,532.0149,30.0,19.6868
2019-07-06,101.23543799443866,102.18368271009425,13,24.12312,0.0,6.84854237002071,13.139483661093431,0.7122779936111111,104.43961920097507,1295480,551.9544000000002,30.0,15.4617,90.69957120692655,100.93727554370527,14,17.97566,1.0,4.663677774212565,11.822515850165402,0.8134210367777777,101.55040016837415,4672234,456.3048,30.0,11.61504,93.38691180801001,97.85192964649059,15,22.01389,0.0,3.7971828883688867,14.22083036504301,0.8281247950000001,101.13433904209276,1108419,416.00279999999987,30.0,12.986109999999998,126.33510201979084,125.6185610691115,16,13.51351,198.5,11.080113976498957,14.532204325581569,0.2830506257777778,110.5391859918272,4545866,264.0641,30.0,18.31081,81.25653880807035,94.46191110516752,17,18.28909,2.0,4.257462441611278,10.11535985420615,0.8064022165555554,100.08656099283644,3845583,579.3035,30.0,10.61947,102.44872418422185,99.9446208063529,18,9.05203,0.0,8.487080600476824,13.940344601551207,0.4954419088333333,101.12067799473292,2825922,400.9651,30.0,10.6201,96.80215293186909,98.65668367612179,19,55.46207,51.0,6.365679567736153,10.369355005546211,0.7975564603333333,100.72655152475849,2221973,309.7571999999999,0.0,54.98883000000001,89.01247638752487,97.02672735886317,20,19.44828,0.0,2.755915510083881,11.57576316445932,0.8373762493333332,100.61206217013014,797019,454.2747,30.0,9.31034,85.19423102153169,87.32638264105846,21,50.74544,15.0,5.200998269973184,9.29272843176402,0.8214059811666667,100.30591029054688,1837059,319.5242,0.0,54.911519999999996,95.74642814579721,110.94320927330604,22,38.0848,1.0,5.4980258531877855,10.649170376993524,0.7456724462222222,102.90113891156851,2066677,542.7315000000001,30.0,19.29825
2019-07-07,101.1222636367976,102.07671580970732,13,24.7191,0.0,6.84854237002071,13.139483661093431,0.7145574366666666,104.352316786696,1295480,558.1612000000001,30.0,15.16854,90.2831122617337,100.64426528424177,14,17.711170000000006,1.0,4.663677774212565,11.822515850165402,0.8145569648888888,101.53647670592899,4672234,459.5549,30.0,12.09809,93.04412867069728,97.75291514769886,15,22.89402,0.0,3.7971828883688867,14.22083036504301,0.8289757472222223,101.13270319702028,1108419,416.75599999999986,30.0,14.0625,126.70876436645382,126.13621179654119,16,14.38127,198.5,11.080113976498957,14.532204325581569,0.2856412105555556,110.75624251425077,4545866,273.4974,30.0,18.12709,81.02035020046179,94.08737672231688,17,17.9502,2.0,4.257462441611278,10.11535985420615,0.8071044903333332,100.08731563126291,3845583,593.6683,30.0,10.4227,102.37291795321545,100.02143149779621,18,10.243899999999998,0.0,8.487080600476824,13.940344601551207,0.4993649867777777,101.10555263539808,2825922,406.6705,30.0,11.777000000000001,96.8238755811645,98.52646451310505,19,56.03471999999999,47.0,6.365679567736153,10.369355005546211,0.7980555543333334,100.70422773167618,2221973,317.4409,0.0,55.70925,88.36519128160391,96.90924733351486,20,18.43137,0.0,2.755915510083881,11.57576316445932,0.83795163,100.62042204219372,797019,451.9991,30.0,8.82353,84.79998648302444,87.13305275393984,21,51.35948000000001,15.0,5.200998269973184,9.29272843176402,0.8217790743333334,100.3070942444915,1837059,331.0894,0.0,53.98278000000001,95.55151485931302,110.460977139237,22,37.26753,1.0,5.4980258531877855,10.649170376993524,0.7475534559999998,102.82717647550932,2066677,553.4481000000002,30.0,18.884120000000006
2019-07-08,101.00540136734615,101.97533938637359,13,25.496920000000006,0.0,6.84854237002071,13.139483661093431,0.7168262300000001,104.26493811034273,1295480,564.368,30.0,16.17546,89.90986585680635,100.3674925331721,14,17.954179999999994,1.0,4.663677774212565,11.822515850165402,0.8156770268888887,101.52236801442557,4672234,462.805,30.0,12.4667,92.71795569081907,97.65729455977987,15,22.48165,0.0,3.7971828883688867,14.22083036504301,0.8298116838888889,101.13103703335405,1108419,417.5092,30.0,13.80921,127.11602760344746,126.67000329094671,16,13.31269,198.5,11.080113976498957,14.532204325581569,0.28831726399999996,110.96921784657002,4545866,282.9307,30.0,16.780190000000005,80.87078645724225,93.74214421965559,17,17.15551,2.0,4.257462441611278,10.11535985420615,0.8078003666666665,100.08872712631857,3845583,608.0331,30.0,9.961259999999998,102.29392921131004,100.10459935559992,18,9.75448,0.0,8.487080600476824,13.940344601551207,0.5033278957777777,101.0903660728444,2825922,412.3759,30.0,11.21433,96.898492250385,98.44893495494698,19,56.61404,43.0,6.365679567736153,10.369355005546211,0.7985504470000001,100.68264146892905,2221973,325.1246,0.0,56.03025,87.74078500163127,96.79632573490468,20,18.88247,0.0,2.755915510083881,11.57576316445932,0.8385185168888889,100.62898872583469,797019,449.7235,30.0,8.670519999999998,84.45749104327736,87.01139778998913,21,51.11360000000001,7.0,5.200998269973184,9.29272843176402,0.8221518603333333,100.30760015394449,1837059,342.6546,0.0,54.50343,95.42748558363859,110.01007977705072,22,34.32148,1.0,5.4980258531877855,10.649170376993524,0.7494077513333333,102.75348095997484,2066677,564.1647,30.0,17.3913
