Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,2592,19,2832,19,3080,23
2,2584,21,2824,25,3072,23
3,2576,26,2816,25,3064,26
4,2568,22,2808,27,3056,23
5,2560,23,2800,24,3048,22
6,2552,26,2792,26,3040,25
7,2544,22,2784,19,3032,23
8,2536,23,2776,26,3024,27
9,2528,23,2768,18,3016,19
10,2520,26,2760,22,3008,20
11,2512,22,2752,25,3000,19
12,2504,19,2744,24,2992,20
13,2496,19,2736,23,2984,22
14,2488,20,2728,23,2976,21
15,2480,23,2720,22,2968,25
16,2472,22,2712,22,2960,23
17,2464,25,2704,27,2952,27
18,2456,23,2696,21,2944,18
19,2448,25,2688,22,2936,18
20,2440,22,2680,18,2928,18
21,2432,22,2672,18,2920,18
22,2424,20,2664,18,2912,18
23,2416,18,2656,18,2904,18
24,2408,18,2648,18,2896,18
25,2400,18,2640,21,2888,18
26,2392,18,2632,22,2880,18
27,2384,18,2624,24,2872,18
28,2376,18,2616,24,2864,18
29,2368,18,2608,22,2856,18
30,2360,18,2600,19,2848,18
