Country,Niger,Niger,Niger,Niger,Niger,Niger
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,
1,0.9165608358672878,0.9052169983621059,0.9762049544778375,0.9865434125658815,0.8327765829879947,0.9602765500921153
2,0.8155941333177481,0.7614335664444735,0.9044475203394045,0.9414430455849992,0.8100854677870976,0.9059874470612488
3,0.6876272396343208,0.6489093550667371,0.7800767740083105,0.8812146448640696,0.6234250898022826,0.6683126392457266
4,0.4016406631801104,0.3051945211855459,0.6590054302769285,0.8163414395036426,0.5839307593209357,0.7772963207013517
5,0.026643247702209383,-0.11577003348370907,0.46568881732321943,0.6984248207447841,0.3098806432376112,0.5133864490762707
6,0.1369218253858261,-0.004540035629188477,0.17139935317861466,0.49122668616624254,-0.0875199220326377,0.30598234345544095
7,0.10131290038063667,-0.04216084580097146,0.1482619557378433,0.5092966377782526,-0.21383115291220545,0.36754455638606587
8,0.10548117498667509,-0.0392077991208124,0.15694452766615907,0.5325040041473863,-0.6176260688760591,0.08120811014230012
9,-0.08118354630116986,-0.2836525036645998,0.16291721999966158,0.5262791083084251,-0.4531230011311753,0.1339324545414855
10,-0.11762514148880165,-0.2757692225681214,0.09725657241605068,0.43220637764471825,-1.2869797669420833,-0.3971102039586125
11,-0.13980066039177275,-0.3832057333682566,-0.009251842032083957,0.4088908354300028,-1.8145144229500194,-0.9113051992720687
12,-0.07835251297757306,-0.2746533087251952,-0.020893263557363317,0.4215333003417201,-2.371020927919164,-1.5150734555403256
13,-0.05922721804657072,-0.2520534365644942,-0.03335177590813099,0.2524367405902417,-1.4417483477708681,-1.1836876053045318
14,-0.0666082095978493,-0.2886136694756807,-0.020465170353479722,0.2255935711572209,-1.2373752781248055,-1.1020932951757487
15,-0.07300357841552829,-0.28337820911329326,-0.05760929991496,0.2705595669515536,-1.6908304213539735,-1.3822199501198233
16,-0.1355509033064315,-0.42355846757695614,-0.34113401568703217,0.2995958917586037,-3.115281438577722,-1.6427491212945808
17,-0.44644764996518904,-0.7916515657672196,-0.8599340438095344,0.29466994080635367,-4.490956960402334,-1.6087265601749285
18,-0.627459715196756,-0.9429445191046024,-1.9452600173202113,0.307402714049288,-5.496885702644172,-1.7995605794097234
19,-0.6499265794508002,-1.0926204204223167,-4.530992268304989,0.042652296603417406,-8.358184369949528,-1.2731451639292626
20,-0.7909954273598345,-1.0948204268134156,-6.860300353432624,0.1307370939772181,-10.156634600114973,-1.16131861239468
21,-0.7206363628364403,-1.0212938458788163,-10.001360694351717,0.1004022352509173,-16.02669941860458,-0.9008196915697293
22,-0.7434217769511342,-1.0658340387299674,-14.048631652380422,-0.10142872480817555,-23.21966359821943,-1.221373344566267
23,-0.42684528504199726,-0.7996492143885527,-23.162618105445308,-0.4975199895339024,-34.854372696877654,-0.8426343007939967
24,-0.3677511488043492,-0.8949307172993333,-31.564744063563886,-0.8580451037724621,-63.36028250264849,-1.2514118181444398
25,-0.26969696235671914,-1.0009454455440832,-34.936454969846004,-0.9940855687382852,-74.50040734369684,-1.0720922705960443
26,-0.2960922178627454,-1.220586322840195,-36.94675015006258,-1.0674307910010907,-111.57678047846112,-1.6513679810881001
27,-0.16079892989465128,-1.3009588126191587,-28.85561886470327,-0.5531632352578242,-120.41206577460291,-1.5674578398022465
28,-0.03297613821672174,-1.3167723277343049,-28.19299242501306,-0.7727337407818291,-113.47892836946187,-1.1548493298763334
29,0.14940539655729357,-1.265570961163803,-21.59436097844977,-0.8815008312429353,-138.68011235711134,-1.874277044908827
30,0.18887814188045238,-1.2331099237956091,-27.824436266727478,-1.942183267400876,-140.70499642064377,-1.5977623489491783
