AdminStrata,Bamako,Bamako,Gao-Menaka,Gao-Menaka,Kayes,Kayes,Kidal,Kidal,Koulikoro,Koulikoro,Mopti,Mopti,Segou,Segou,Sikasso,Sikasso,Tombouctou-Taoudeni,Tombouctou-Taoudeni
Indicator,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly
2019-10-20,0.387968084469697,87.7021881505539,,,0.6475421266233767,99.54305213027891,,,0.5762942895562772,100.37194540220938,0.3842477146428572,109.51601665805893,0.4887466607142857,105.44509203176753,0.6668112636904762,98.541041957079,0.12713248357142856,105.66347248461555
2019-10-21,0.3883631545995671,87.69175748993824,,,0.6493844911255412,99.66872731472289,,,0.577735009469697,100.49529697128935,0.3820050091558441,109.54261864521281,0.48676587337662347,105.57588310356792,0.6676715780844156,98.60753044461637,0.12676127233766235,105.61291219438066
2019-10-22,0.3887158846861472,87.68778174646062,,,0.6510803396103897,99.79262646493723,,,0.5790501073051948,100.61842097811963,0.3796858788961039,109.56036078349007,0.48461849155844167,105.70256749267216,0.668463260443723,98.67594764916018,0.12638499415584417,105.55900951469094
2019-10-23,0.3890262747294373,87.69026092012102,,,0.652629672077922,99.91474958092186,,,0.5802395830627705,100.74131742270018,0.3772903238636363,109.56924307289071,0.4823045152597403,105.82514519908021,0.6691863107683983,98.74629357071044,0.12600364902597402,105.50176444554636
2019-10-24,0.38927806446969687,87.7014753673778,,,0.653982553582251,100.03637125855587,,,0.5812334300649351,100.86140783143544,0.3748183440584415,109.56926551341473,0.4798239444805195,105.94361622279207,0.6698148121536798,98.8182793437173,0.12561723694805196,105.44117698694693
2019-10-25,0.3894712539069265,87.72142508823097,,,0.6551389841233767,100.15749149783923,,,0.5820316483116883,100.97869220432547,0.37226993948051945,109.56042810506217,0.47717677922077933,106.05798056380773,0.6703487645995672,98.8919049681807,0.12522575792207793,105.37724713889267
2019-10-26,0.38960584304112555,87.75011008268054,,,0.6560989637012987,100.27811029877202,,,0.5826342378030303,101.09317054137017,0.36964511012987017,109.54273084783297,0.47436301948051945,106.16823822212723,0.6707881681060607,98.9671704441007,0.12482921194805195,105.30997490138357
2019-10-27,0.3896818318722943,87.78753035072648,,,0.6568624923160173,100.39822766135417,,,0.5830411985389611,101.2048428425696,0.36694385600649354,109.51617374172716,0.4713826652597403,106.27438919775054,0.6711330226731602,99.04407577147724,0.12442759902597403,105.23936027441962
2019-10-28,0.38969922040043287,87.83368589236882,,,0.6574295699675323,100.51784358558568,,,0.5832525305194806,101.31370910792376,0.36416617711038973,109.48075678674475,0.46823571655844154,106.37643349067766,0.6713833283008658,99.1226209503104,0.12402091915584415,105.16540325800086
2019-10-29,0.3896580086255411,87.88857670760756,,,0.6578001966558441,100.63695807146657,,,0.5832682337445888,101.4197693374326,0.36133642415584416,109.43916458578316,0.4649618251623377,106.47572817043219,0.6715390849891775,99.2028059806001,0.12361241376623378,105.08997109341247
2019-10-30,0.3895581965476191,87.95220279644266,,,0.6579743723809524,100.75557111899685,,,0.5830883082142858,101.52302353109619,0.3584545971428571,109.39139713884242,0.46156099107142856,106.57227323701417,0.6716002927380952,99.2846308623464,0.12320208285714285,105.01306378065449
2019-10-31,0.38939978416666665,88.02456415887416,,,0.6579520971428571,100.8736827281765,,,0.5827127539285716,101.62347168891446,0.3555206960714285,109.33745444592252,0.45803321428571436,106.66606869042359,0.6715669515476191,99.36809559554929,0.12278992642857145,104.9346813197269
2019-11-01,0.389192324047619,88.10401910435242,,,0.657759928452381,100.98976456919834,,,0.582177155952381,101.7205935312026,0.3526204449999999,109.28058318938008,0.45447086892857147,106.75401052786405,0.6714512913095239,99.45241415812905,0.12238766964285715,104.85731728425807
2019-11-02,0.3889358161904762,88.1905676328774,,,0.6573978663095238,101.10381664206248,,,0.5814815142857144,101.8143890579606,0.34975384392857134,109.22078336921511,0.450873955,106.8360987493356,0.6712533120238096,99.53758655008575,0.12199531250000004,104.78097167424794
2019-11-03,0.38864544583333344,88.27991435795995,,,0.656936001904762,101.21636431735062,,,0.5806910529761906,101.90635164375661,0.34692089285714284,109.1580549854276,0.4472424725,106.91233335483818,0.6710019552380952,99.62303093117059,0.121612855,104.70564448969658
2019-11-04,0.3883212129761905,88.37205927960005,,,0.6563743352380953,101.32740759506285,,,0.5798057720238096,101.99648128859064,0.3441215917857143,109.09239803801752,0.4435764214285714,106.98271434437184,0.6706972209523809,99.70874730138357,0.12124029714285715,104.63133573060394
2019-11-05,0.3879631176190476,88.46700239779769,,,0.6557128663095239,101.43694647519912,,,0.5788256714285714,102.08477799246268,0.3413559407142857,109.02381252698491,0.43987580178571434,107.04724171793654,0.6703391091666666,99.79473566072473,0.12087763892857144,104.55804539697002
2019-11-06,0.38757115976190465,88.56474371255287,,,0.6549515951190477,101.54498095775944,,,0.5777507511904761,102.17124175537273,0.3386239396428571,108.95229845232976,0.43614061357142864,107.10591547553233,0.6699276198809525,99.88099600919399,0.12052488035714284,104.48577348879485
2019-11-07,0.38714533940476187,88.6652832238656,,,0.6540905216666667,101.65151104274379,,,0.5765810113095239,102.25587257732076,0.33592558857142857,108.87785581405208,0.43237085678571435,107.15873561715917,0.6694627530952381,99.96752834679144,0.12018202142857144,104.41452000607845
2019-11-08,0.38668565654761916,88.76862093173584,,,0.653129645952381,101.75653673015222,,,0.5753164517857143,102.33867045830684,0.3332625871428571,108.8016343869773,0.42859478714285715,107.20760950313706,0.6689445088095238,100.05433267351702,0.11984838571428572,104.34502135667945
2019-11-09,0.3861921111904762,88.87475683616366,,,0.6520689679761903,101.8600580199847,,,0.5739570726190475,102.41963539833093,0.3306349353571429,108.72363417110549,0.4248124046428572,107.25253713346595,0.6683728870238096,100.14140898937077,0.11952397321428573,104.27727754059788
2019-11-10,0.3856647033333334,88.98369093714902,,,0.6509084877380952,101.96207491224125,,,0.5725028738095238,102.49876739739304,0.32804263321428573,108.64385516643664,0.42102370928571425,107.29351850814592,0.6677478877380953,100.22875729435265,0.11920878392857144,104.21128855783377
