AdminStrata,Bamako,Bamako,Bamako,Gao-Menaka,Gao-Menaka,Gao-Menaka,Kayes,Kayes,Kayes,Kidal,Kidal,Kidal,Koulikoro,Koulikoro,Koulikoro,Mopti,Mopti,Mopti,Segou,Segou,Segou,Sikasso,Sikasso,Sikasso,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm)
2019-10-20,115.66308342379816,111.70164119233083,630.0901999999999,,,,109.13549158813038,107.68470958464418,478.9962,,,,112.49894623203099,110.1834072740624,456.47149999999993,115.27083978611981,118.0584365341672,28.757199999999997,108.35099601216457,121.36429327666313,28.966399999999997,110.23132127655961,105.01572337841078,664.0240999999999,96.49567740538426,113.0505980546012,2.746199999999999
2019-10-21,115.42122383639268,111.99693464258975,620.2569000000001,,,,108.73883418311851,107.67912393169239,468.4141,,,,112.25901392705897,110.38750246139386,447.7658,115.23001645252589,118.44474194082775,26.963399999999996,106.48203891294072,121.49718121972971,28.0547,110.40896032730423,105.26354675124915,658.4787999999999,95.64423966446223,113.14149590635098,2.509899999999999
2019-10-22,115.203508917484,112.28247317427797,610.4236000000001,,,,108.34434907841701,107.64679910350519,457.832,,,,112.02862362738861,110.57722109420432,439.06010000000003,115.18352535598903,118.82213309763414,25.169599999999996,104.72897931637048,121.62343015094281,27.143,110.60819895121573,105.51497259831827,652.9334999999999,94.92986827534388,113.23867933701956,2.2736
2019-10-23,115.00993866707209,112.5582567873955,600.5903000000001,,,,107.95203627402584,107.58773510008248,447.2499,,,,111.80777533301992,110.7525631724937,430.35440000000006,115.1313664965093,119.19061000458635,23.375799999999995,103.09181722245395,121.74304007030237,26.2313,110.82903714829419,105.7700009196181,647.3882,94.3525632380291,113.34214834660693,2.0373
2019-10-24,114.87438364249218,112.83608740168631,596.2347000000002,,,,107.61518382034372,107.52960654893977,443.54220000000004,,,,111.63012095500248,110.92796676968683,425.6450000000001,115.07353987408665,119.5501726616844,21.581999999999994,101.57055263119109,121.85601097780842,25.3196,111.06233069647232,106.02215432266047,638.6328000000001,93.912324552518,113.45190293511313,1.801
2019-10-25,114.7968438437443,113.11596501715042,591.8791000000001,,,,107.33379171737057,107.47241345007701,439.83450000000005,,,,111.49566049333635,111.10343188578379,420.9356,115.01004548872109,119.90082106892828,19.788199999999993,100.16518554258195,121.96234287346097,24.4079,111.30807959575019,106.27143280744546,629.8774000000001,93.60915221881048,113.56794310253811,1.5647
2019-10-26,114.7773192708284,113.39788963378777,587.5235000000001,,,,107.10785996510648,107.41615580349422,436.12680000000006,,,,111.40439394802145,111.27895852078451,416.22620000000006,114.94088334041263,120.24255522631799,17.994399999999995,98.87571595662644,122.06203575725998,23.4962,111.56628384612776,106.51783637397297,621.122,93.44304623690661,113.6902688488819,1.3284
2019-10-27,114.81580992374455,113.68186125159843,583.1679000000001,,,,106.9373885635514,107.3608336091914,432.41910000000007,,,,111.35632131905784,111.45454667468906,411.5168000000001,114.86605342916127,120.57537513385353,16.200599999999998,97.70214387332463,122.15508962920548,22.584500000000002,111.83694344760504,106.7613650222431,612.3666,93.41400660680634,113.81888017414451,1.0920999999999998
2019-10-28,114.91231580249271,113.96787987058235,578.8123000000002,,,,106.82237751270532,107.30644686716856,428.7114000000001,,,,111.3514426064455,111.63019634749736,406.80740000000003,114.785555754967,120.8992807915349,14.4068,96.64446929267648,122.24150448929744,21.672800000000002,112.12005840018202,107.00201875225574,603.6112,93.5220333285097,113.95377707832593,0.8558
2019-10-29,115.06683690707285,114.25594549073953,574.4567000000002,,,,106.76282681256825,107.25299557742566,425.0037000000001,,,,111.38975781018446,111.80590753920944,402.09800000000007,114.66552281363481,121.2071383882521,13.644000000000002,95.73398473272945,122.30769043307986,20.815,112.41562870385873,107.23979756401096,594.8558,93.64708093847106,114.08699359480526,0.8159
2019-10-30,115.27937323748503,114.54605811207,570.1011000000001,,,,106.75873646314022,107.20047973996277,421.2960000000001,,,,111.47126693027468,111.98168024982533,397.38860000000005,114.50595460516477,121.49894792400512,12.881200000000002,94.97069019348358,122.35364746055266,19.9572,112.72365435863516,107.47470145750879,586.1003999999999,93.78914943669032,114.2185297235826,0.776
2019-10-31,115.54992479372922,114.83821773457376,565.7455000000002,,,,106.81010646442121,107.14889935477983,417.5883000000001,,,,111.5959699667162,112.15751447934504,392.67920000000004,114.3068511295568,121.77470939879392,12.118400000000001,94.35458567493878,122.37937557171587,19.099400000000003,113.0441353645113,107.70673043274913,577.3449999999999,93.94823882316757,114.34838546465787,0.7361
2019-11-01,115.83295737981722,115.14335639392473,560.0344000000001,,,,106.8417293998489,107.1171023146334,413.1638000000001,,,,111.73486356759928,112.34561959430476,387.34510000000006,114.07991506402743,122.02443102796867,11.1792,93.82527196501032,122.42401583006084,18.0148,113.36059895934059,107.93103021058735,566.7289,94.1119268536412,114.47631946484925,0.6840999999999999
2019-11-02,116.12847099574904,115.46147409012295,554.3233000000001,,,,106.85360526942337,107.10508861952349,408.7393,,,,111.8879477329239,112.5459955947046,382.01099999999997,113.82514640857661,122.24811281152934,10.239999999999998,93.38274906369817,122.48756823558752,16.9302,113.67304514312306,108.14760079102345,556.1128,94.2802135281112,114.60233172415677,0.6320999999999999
2019-11-03,116.40251305429295,115.78187099269718,542.4122000000001,,,,106.83503334263821,107.10720665775686,403.32050000000004,,,,112.03141519709024,112.75001645014899,373.5401,113.54254516320437,122.44575474947591,9.300799999999999,93.02701697100237,122.57003278829595,15.845600000000003,113.98301860971131,108.35853220718982,544.6027,94.45309884657762,114.7264222425804,0.5801
2019-11-04,116.65508355544901,116.10454710164751,530.5011000000001,,,,106.78601361949352,107.12345642933353,397.9017,,,,112.16526596009825,112.95768216063792,365.0692,113.23211132791062,122.61735684180842,8.361599999999997,92.75807568692288,122.67140948818609,14.761000000000005,114.29051935910532,108.56382445908655,533.0926000000002,94.63058280904042,114.84859102012017,0.5281
2019-11-05,116.88618249921713,116.42950241697383,518.59,,,,106.7065460999892,107.15383793425352,392.4829,,,,112.28950002194796,113.16899272617141,356.5983,112.89384490269548,122.76291908852689,7.4224000000000006,92.5759252114597,122.791698335258,13.676400000000005,114.59554739130512,108.76347754671352,521.5825000000001,94.81266541549961,114.96883805677605,0.47609999999999997
2019-11-06,117.09580988559743,116.7567369386762,506.67890000000006,,,,106.59663078412532,107.19835117251677,387.06409999999994,,,,112.40411738263936,113.38394814674946,348.12739999999997,112.52774588755885,122.88244148963122,6.483200000000001,92.48056554461286,122.93089932951163,12.591800000000005,114.89810270631067,108.95749147007083,510.0723999999999,94.99934666595516,115.08716335254807,0.4240999999999999
2019-11-07,117.28396571458983,117.08625066675465,494.7678000000001,,,,106.45626767190188,107.2569961441233,381.6453,,,,112.50911804217243,113.60254842237207,339.6565,112.1338142825008,122.97592404512149,5.5440000000000005,92.4719966863823,123.089012470947,11.507200000000005,115.19818530412196,109.14586622915843,498.56229999999994,95.19062656040713,115.20356690743623,0.3721
2019-11-08,117.45064998619435,117.4180436012091,482.85670000000005,,,,106.28545676331885,107.32977284907314,376.2265,,,,112.60450200054723,113.82479355303924,331.1856,111.72268574099778,123.04217820651698,5.208000000000002,92.53827125526139,123.25650221944048,10.662800000000004,115.49579518473907,109.32860182397636,487.0521999999999,95.40127061590486,115.31681470054266,0.34819999999999995
