Country,Mali,Mali,Mali,Mali,Mali,Mali
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,
1,0.922281294020466,0.9268817732004472,0.9775772247477108,0.9888684480532014,0.9780047890321036,0.9972592161432832
2,0.8522812619158749,0.8976338977588048,0.9257847625688277,0.9781596217249448,0.9922869156204875,0.9941834789223478
3,0.835830845566263,0.8758608334946887,0.8571311882553725,0.9655610771851864,0.9920412943719279,0.9977319383626699
4,0.745985249784909,0.7963415126079595,0.7694115481895838,0.9354435277121971,0.9883556838102876,0.9949295635770753
5,0.7476026461633327,0.8062878266217415,0.7208228098399914,0.9291879426324915,0.9851962832605067,0.986826412172221
6,0.6043627030699621,0.7166124411712002,0.6954741504737663,0.8969319067114226,0.9717930238320499,0.979060547429943
7,0.40649698135689816,0.5581877637823525,0.6872268123182949,0.9002023118024732,0.95173198440998,0.9349237422590657
8,0.09979600880427342,0.32283156746417885,0.6351808032887156,0.8578141179986831,0.9490957743882819,0.924271439134871
9,-0.10056952122316964,0.19128281452214801,0.675233062177589,0.8517537393966483,0.9484691605496921,0.8991565598089523
10,-0.3278623670953169,0.07186475951238114,0.6319476015404359,0.8576444580029337,0.9191393072337133,0.8566979554861959
11,-0.21167484588624563,0.12967540072218864,0.6048722620448617,0.82829036820857,0.9217671450130052,0.8159026760056762
12,-0.2812520028578933,0.07504748299785147,0.4638457989299273,0.7617978443399971,0.9069215240800679,0.7880736804065713
13,-0.5040193592102193,-0.09508722954054716,0.3357735255052532,0.7659190422587046,0.8749721570409235,0.7394842332182021
14,-0.5537544653320277,-0.10665551415526786,0.0824310493835414,0.7777245582767232,0.8897393636925481,0.7420391147822921
15,-0.6787536780756787,-0.1505754816118674,-0.13457758607287862,0.7443732332724342,0.8378916102214973,0.6204826675806523
16,-0.8478371105619329,-0.18044241710382414,-0.40612693913789566,0.7385935483507343,0.8072369319452616,0.4955695580739522
17,-1.5016069094012834,-0.5901181084013167,-0.19134302066858133,0.7558815425733794,0.8477549425023355,0.4402790394428776
18,-1.6715265151503012,-0.7205186300696775,-0.26888885858296585,0.7324680049801648,0.8795229048336174,0.2554691000128144
19,-1.4681799981076655,-0.5836163364824674,-0.3954947095438448,0.7257130179941005,0.8367486931914025,0.036847651509460455
20,-1.3116733601971773,-0.47081355066041675,-0.4336759657786573,0.7512729542264377,0.7189813311975985,-0.19332017472386753
21,-1.1693057208411908,-0.41392420273594777,-0.4122795912485866,0.745054003976179,0.6494585403725803,-0.49332942977159844
22,-1.0516546632958081,-0.39010167305754284,-0.6938465765386372,0.7487752627220899,0.6061913447536662,-0.5461353416036909
23,-1.1288099958423055,-0.5027002846331803,-0.5436826258893503,0.7278710993396731,0.5664659882342279,-0.5401971797042169
24,-1.2301834500050366,-0.7014489169701927,-0.43425701855293264,0.6945526416452972,0.5009337793337829,-0.6574964792093925
25,-1.0582873348203976,-0.5970609595287699,-0.4859604172370531,0.6949772509447956,0.45852786852684824,-0.7009912263120504
26,-2.1076833689121046,-1.5786053329866103,-0.3989179902349478,0.709121502977233,0.31756653831585224,-1.0113056239124552
27,-2.4695546764355005,-1.807636291606761,-0.17640934747550507,0.7594630376123654,-0.18403895773817625,-2.2439442733988675
28,-2.2942192932748506,-1.4766422726822377,0.15002424175119988,0.7502295862835349,-0.3681574199021622,-2.6062758363112013
29,-2.0034304890807566,-1.02324495730663,0.4239698598077546,0.7262369043865149,-0.474995251895433,-2.6861416049972715
30,-2.4412862539358744,-1.0670029330691824,0.5624658927901056,0.7211623846366086,-0.8985498309980298,-3.5556598839579427
