C,gamma,l,standardization,loss
0.6075083185643227,0.8583803984964049,173,True,13.212944601403914
0.3340452447340395,0.5300753809808886,131,False,16.2255907499048
0.5840077180302404,0.2839866042614419,89,True,15.620623957561511
0.23181427928881917,0.5618874598194139,87,True,16.176308441171646
0.7904846608691186,0.0638003956464981,16,True,10.522732128538905
0.19032506212605146,0.14468244589661677,176,True,14.088147347819834
0.598785317818475,0.4222560849638768,56,False,18.08632839437655
0.5702378389218191,0.6955995369969732,97,True,15.806055551193246
0.2580420054551202,0.48232134572942564,133,False,16.107115531312385
0.1332568092304152,0.10235165049698908,139,False,15.784286610948413
0.6406844803690342,0.3090503415928918,187,False,13.944267103351564
0.7380460717026706,0.32915649094517285,174,True,12.946288154599815
0.9690321761595776,0.45488800939602336,187,True,13.084577277719456
0.6300952485744834,0.6305418935045309,50,True,17.968432291638294
0.5252751505947937,0.12129901995543464,20,False,18.00414082402701
0.4533237857846676,0.6582934094773132,187,False,13.995642333510531
0.5534533085834795,0.8962228265226897,80,False,16.37915651213859
0.2083047869009601,0.03394261933690563,28,True,6.328070318365467
0.11343757586966902,0.42805004395610136,23,True,20.963930979893405
0.9395099257771505,0.18378142744295772,197,True,14.3322051193198
0.827463684362992,0.01531663441821773,122,True,12.117672594546313
0.023028441746947126,0.013340630791435867,190,True,13.849384732367797
0.4031687154171617,0.010513053834786075,156,True,12.099610641141416
0.8080951435684636,0.998256306618156,70,True,17.009013662530943
0.04068801759218135,0.2638774996596856,28,True,18.93473193156405
0.3665450669123479,0.22217055304779568,10,True,14.487372490083208
0.7330288117008421,0.06268477003487492,185,True,13.366826607523597
0.8464334378252054,0.35681248654581205,32,True,26.020842569112858
0.8949523160256964,0.7397200250620755,177,True,12.68578771453466
0.295936774037191,0.05853884428361994,196,True,14.50325214110926
0.4602753381416462,0.20190054821444114,99,True,15.481617514312047
0.6918678548898032,0.8069700656484528,191,True,13.966376098759445
0.08471396068535247,0.38635630166963497,28,True,21.28413336110266
0.1774647956608375,0.5543841504636448,114,True,16.61624656755787
0.30899955575705595,0.2552293456511443,73,True,16.248679735931358
0.4071404591444016,0.17569493851181195,16,True,9.753621155381623
0.36415736172625857,0.13481974991273132,69,False,17.169572899315703
0.22440857846059267,0.507450899651773,123,True,16.293808208099524
0.46619115803251365,0.16358660621172655,137,True,15.174073169036463
0.2553707733207835,0.08262466713098433,167,False,13.881511511334557
0.17173747180673676,0.23758549507061527,86,True,15.957985968393743
0.38235996476350087,0.3018904219190447,82,True,15.721701066196454
0.307898233218036,0.37717660009862436,162,False,13.984078007917566
0.5014007297831437,0.6178918348381786,155,True,14.334014838312976
0.41576464009969943,0.15678029746890465,4,True,9.355412644663843
0.058325409554088714,0.05350202867141508,21,False,17.183228337251855
0.2087697268493058,0.9707878245608298,4,True,9.623026225500086
0.13167069181275015,0.12313479400096422,128,False,16.33272897600906
0.25268489912541126,0.46651832024537865,52,True,17.81582481029496
0.667203341769745,0.5909815775235056,9,True,14.227800797796517
0.5541021823286085,0.3330663527838921,35,False,17.86244785843408
0.5942076915427035,0.008639393837061079,140,True,11.560089415146024
0.43432126736557986,0.41937326272680164,151,True,14.740080661789053
0.5154367327186156,0.6861920409575398,64,True,17.314569677965025
0.3370544521391815,0.28066712911180136,183,False,13.874298094850161
0.09903517680361307,0.09754055579141485,170,True,13.958973610366035
0.1523047500389454,0.7472529572854593,150,True,15.249624351072285
0.016404022547803487,0.03957619373387269,88,True,16.433225610895988
