C,gamma,l,standardization,loss
0.18356206439023004,0.5571854008941273,104,True,33.263730004875605
0.2924336696815685,0.017260317620388124,115,False,33.720601543026596
0.49477884602122163,0.4618876132694731,162,True,37.82140953108208
0.8112186995462461,0.12500001723934276,151,False,34.18138844037727
0.9195300721938837,0.8650818643050316,121,False,34.12975106744512
0.04724623385632349,0.035765523699951535,156,True,36.83307805715184
0.9400078888640104,0.632041855388591,54,False,31.899492718498507
0.47353142447587426,0.5065658282133022,134,True,37.26858911632406
0.22532946612548502,0.9779693395609084,68,False,31.868184800947688
0.48242001126987166,0.15758450189576798,186,False,36.463916671514376
0.6485179788216789,0.9463420151603912,117,True,37.861928628568705
0.06846936209256614,0.23971835376474962,5,True,24.715446186995923
0.7032921466557033,0.8433523339630961,159,False,34.523736364224106
0.5092625350766051,0.4462281675701252,185,True,40.071268619340216
0.5628058748584807,0.46320836786747266,58,False,31.925891440533373
0.6533082777290132,0.34482968001962383,14,False,31.388026047790436
0.8011198544850962,0.4216007917848615,190,False,36.90022922098376
0.8130121533015259,0.7112918510611332,74,False,31.93670454072645
0.6619931832324413,0.9476802293519627,31,True,34.92447216119629
0.9767087796367788,0.5956099848513932,148,True,41.42660329627914
0.0026222494184941075,0.30107095095990677,75,True,31.905572020790583
0.35987994282175406,0.30330368799489366,24,True,27.92225281249596
0.3744731716097003,0.23521717301156886,135,True,37.468937366375
0.09809981586725959,0.20035564676047737,79,True,33.188346112155706
0.3646239573332827,0.34409289505574436,78,True,34.70806581706403
0.14961270206589808,0.11069449428852302,110,True,36.69645893711678
0.2901249114948805,0.26774856480289644,3,True,40.12504988124001
0.38729682336797205,0.06853204048275185,11,True,33.6535914247572
0.2038120631188079,0.32799145171666494,177,True,37.040125507870236
0.013566033616601747,0.19479577599075215,24,True,31.776601985825263
0.10392306202249979,0.38461879277969796,130,True,34.41853822570428
0.28997392942506683,0.6953874690736017,5,True,23.556636455994195
0.279005886641478,0.6542688112488972,194,True,39.410910012349675
0.14346367951123634,0.7239399674566859,120,True,34.46291992753191
0.24677861100350024,0.7979199308100826,87,True,32.978365097592786
0.0638419347396186,0.5373931830055177,111,True,33.430962296582685
0.1809119427832848,0.7162011570497243,40,True,34.252625542777146
0.3213848604761447,0.5673943401175238,193,True,39.532818333339435
0.4037076160149661,0.014842333449711781,122,True,53.95245638902307
0.5492530628107868,0.7965924091845016,49,True,35.466968128813896
0.004785385845110304,0.6467962157144637,182,True,36.28127257145862
0.4571089908328028,0.8632724685756068,27,False,33.00345327407111
0.062235101465936415,0.5257267360138494,39,True,33.1264385501228
0.4299943817117313,0.5987121762181447,124,False,34.223372444278446
0.2635039868891671,0.4903387833747558,46,True,34.69301364055648
0.17422685025898133,0.38935985988909727,192,False,36.79776955158285
0.3129654868912116,0.07342339449377033,80,True,44.28907429339883
0.1063326972910949,0.781192589725269,142,True,33.97017525399335
0.2257896919145292,0.9355174850765643,32,False,32.75455593836268
0.5489628072923969,0.9120401058531916,5,True,30.015451609974775
0.5830346160065494,0.13694396778314388,183,False,36.34864874474658
0.3322543477810158,0.4326761850677062,5,True,34.26838325681949
0.8511655448559715,0.689078927123984,29,True,30.44864980244464
0.03313700578037354,0.39201509498135767,94,True,32.457308898183015
0.6088127557564935,0.49796928707693794,21,False,32.787045614749644
0.7340996430983249,0.9918502159222455,37,True,36.03277529717137
0.1305137692941689,0.7564725153380291,163,True,34.98188833659409
0.43485571938330886,0.24632015796513856,181,True,39.61289550894478
0.50892192637422,0.17619198771701783,167,False,35.0206967744707
0.21659906955789338,0.4743548882565114,150,True,34.825613215982585
0.0796225285769891,0.5858612071720994,44,True,33.22679731612126
0.1674821869101789,0.2931587844585245,19,True,20.69984839277017
0.35275100474460763,0.6719217479693668,19,True,20.145894713543594
0.4828214699335,0.28561051674829585,88,False,32.84010744321767
0.6913973764452596,0.8318229472598965,33,True,34.334186989008124
0.2559930131344047,0.6760449526036598,199,True,39.939440410715655
0.3353434046896353,0.6178072026105785,19,True,19.70972544510252
0.34695457216880915,0.6218793503745921,169,True,37.25960210140514
0.40107876970204087,0.7399763329480538,19,True,20.319894474956893
0.38367294740364644,0.7375757502607213,125,True,36.54510098242849
0.6149859263223969,0.8811507132153065,56,True,34.82627459198724
0.5179888319692753,0.7610974854150565,76,True,34.29574993961009
0.40774521382142787,0.8304792844304136,19,True,19.88082494308082
0.30809833084653127,0.8277331960638794,48,True,34.191636172903486
0.4511941839400411,0.9696565498594497,6,True,24.578253738448154
0.7379546342018595,0.6232168679308397,19,True,19.25425308822055
0.9078243013704435,0.5427144784967999,57,True,35.57097165159964
0.7278179006748141,0.6199378473283194,45,True,35.93468176409448
0.7810055474968838,0.9045581111717411,51,True,35.996552667036234
0.9885422689074588,0.5579372378446705,72,True,36.740373200699906
0.9184361832835718,0.8091396766242033,19,False,32.6784372851936
0.6326802526371786,0.6483769351586804,197,True,42.480923565218774
0.887956816555054,0.4549282397338934,30,True,29.013223798524987
0.5350572660258142,0.8503583642652421,127,True,37.67298500064654
0.6673648888380973,0.5203810250725016,20,True,18.92287113737656
0.7736914870234857,0.40600192728791074,126,False,34.27087050117607
0.8355281402292695,0.34272400413989335,168,True,42.0634558190113
0.665239084603282,0.5210597891831773,86,True,36.53911515462817
0.7514426128778321,0.5897616543559728,20,True,18.638117384700987
0.9535113808677451,0.5906712922592777,166,False,34.96236170919777
0.851642846626746,0.47145435937194424,184,True,43.19722441398565
0.7519350819095141,0.5723311317544465,16,True,30.666938065876526
0.7055837590527317,0.4261314958383552,155,True,39.48526108966026
0.8183742574824059,0.5033351573282623,70,True,36.25599727888145
0.6792357601114668,0.3697844611144021,12,False,31.69568713259613
0.6411385967477388,0.4425507791117296,69,True,35.6437415215559
0.5898273175789518,0.6964350156051148,20,True,21.43738616462215
0.8713709216630632,0.3228890846906801,20,True,23.06146275893185
