C,gamma,l,standardization,loss
0.8526257864811321,0.6226677506883612,18,True,43.844705846705295
0.13848992175555466,0.07612704195792303,71,False,24.597595865925808
0.6455180734871485,0.9373188508685635,164,False,29.295832009746846
0.793262771831956,0.8526196483032337,110,False,26.96662880675832
0.031031716492386847,0.10713432594609017,68,True,22.518185652192447
0.5080008131584623,0.8803426305719868,180,True,30.53551585184834
0.13854959408643927,0.9948097365112706,34,True,21.401854530704913
0.04359472888054933,0.36135705644682353,58,False,24.253237846595464
0.5325142561022221,0.19750289123507608,113,True,27.615966449624903
0.440349293645273,0.7554647073100618,179,False,28.55488163151335
0.25556525315699996,0.9391869238075281,159,False,28.754600149187354
0.9356813552070343,0.257824139888255,109,False,26.937698656124144
0.6716566042309483,0.9324122416103109,187,False,27.825125264675297
0.16021978481902208,0.010121215984919064,156,False,28.625715607905423
0.8633085459261977,0.4166466015230326,118,False,27.546737125248274
0.8490673195614696,0.29664481025230116,64,False,24.544448263798888
0.351849289134073,0.30301347083850666,95,False,25.892990101574842
0.2235017494316902,0.4365713417187704,126,False,28.157834790911153
0.2656205296920409,0.3354350238305679,175,True,29.84110544307659
0.6987818121833745,0.3112697242143161,165,True,32.68505105541386
0.003982845287296005,0.588890881004982,176,True,29.129341330963186
0.08565185190684148,0.13291006674713185,34,True,31.546451746765417
0.34659697013555635,0.7376580379147247,68,True,24.836538430936447
0.06958296292769896,0.5397368956836264,29,True,20.642764086168615
0.15061305185767745,0.5612907350817978,184,True,28.50716218926407
0.3890025857453209,0.6967703944424118,65,True,24.609118694048863
0.07996468736520893,0.507543304149187,25,True,22.24970701525481
0.21055535987525237,0.7889187016280748,29,True,20.688146037244717
0.27933375437152436,0.6436471843626609,141,True,29.260688187425174
0.22006238132824318,0.8235120332659656,75,True,24.991090231605536
0.5776463742835021,0.6619478289768018,47,True,23.145826026629504
0.43071852624230134,0.5224653304803687,74,True,25.11297579618426
0.3300741659202533,0.7821985114467725,29,True,20.692329622387
0.19284506134064544,0.4343180102282934,29,True,23.21122288755137
0.06604055896504546,0.5681341526845288,14,True,27.222333780675626
0.020371184535671848,0.9939646779530622,93,True,26.20952493401823
0.6051528052213478,0.833864940643982,130,True,30.073352823576016
0.44641448684371654,0.7146692494188701,168,True,30.984121461923404
0.09967020222415782,0.7893380260656149,39,True,21.91522496150279
0.3009247725295918,0.8813138428479332,132,True,29.217867341809598
0.7508347246460609,0.6171426907397601,85,True,26.74439958579819
0.19851453519837398,0.39805146317149065,20,True,29.829299634480577
0.4974717383524889,0.20560089037076656,76,True,23.809445603885624
0.00030805909866613024,0.6788666711251623,171,True,29.87557646215923
0.11207892807368136,0.48617147677185546,128,True,28.558586240177675
0.4053421618280214,0.904084795077212,44,False,23.204917242009937
0.16609413927739708,0.9771617113094015,106,True,27.064390936970216
0.49044857073190534,0.4727242467852623,49,False,23.668161646761494
0.05090777031757175,0.618694950614477,129,True,28.446221462112486
0.5510955077572792,0.02384568030694173,8,False,28.021983469656067
0.25615567591898014,0.7646738624327781,146,True,29.32774673538613
0.1246497602111076,0.24894379952457618,36,False,22.48225855394001
0.9879334722652344,0.3592198814503562,131,True,31.85836944146382
0.3104205482709055,0.9555111080228679,91,True,26.077997340217276
0.23103398347478254,0.5373698857016862,151,False,28.55495318286904
0.3572351599147723,0.14627676849121102,185,True,30.173173144963588
0.031417375835292416,0.8604315906301587,23,True,20.748261216746883
0.1779565915824856,0.7243648007534113,54,True,23.791465538210065
0.4661641697087183,0.39009423912611,190,False,27.4148590989073
0.1368617308291789,0.45883895480083803,29,True,21.15643213567075
0.663078344570434,0.5884105565694966,127,True,29.934260856616124
0.3897964348166319,0.803019072608946,122,True,28.70242786319652
0.8601117306165975,0.6521381490451799,35,False,22.288645594888177
0.7834491787248923,0.26496553468313555,31,True,32.93247919075689
0.6074681333385956,0.9021954239815897,173,True,31.700704870585426
0.3356334735791213,0.7571375343996901,29,True,20.641248217418404
0.2404156358123523,0.8276423478453953,60,True,24.211213419991026
0.2893687542963418,0.6821810469089781,157,True,29.526110034520055
0.3250204606095769,0.7569377666510891,29,True,20.607137629139594
0.3661960495879598,0.7478548192970379,125,True,28.781135673870438
0.5138101693071793,0.5520402471844522,94,True,26.515953710310654
0.6974072531773021,0.6963485152315879,199,True,30.757917435491507
0.3243809744605818,0.5894506810925394,152,True,29.48782008896954
0.4300566637074905,0.5045714715212195,103,True,27.02013576642101
0.5730606900701449,0.6382721345195276,29,True,21.33216930504224
0.2740387735527046,0.8487771559671101,193,True,28.024931127082695
0.6328929888727578,0.7691587455665578,80,True,26.072870972240434
0.39398411187795224,0.9307925843845235,140,True,29.53582491226501
0.4558336575496222,0.8045385444142652,13,True,47.23907027690145
0.07202004288330477,0.7296564992903074,144,False,28.53737599817998
0.18026092750677422,0.877323020133956,139,True,29.122391756987668
0.5379911771109567,0.603171357415591,115,True,28.56779523818359
0.41770220639218486,0.44173008498650546,178,True,30.26994148814781
0.10557926009633029,0.524915489121744,112,True,27.467419878365476
0.479771926098626,0.7048801802668461,15,False,22.240799858998155
0.8988259795932316,0.6693186296038693,45,True,23.29919866291993
0.33462248616076784,0.9958327213442449,198,True,28.498281146291195
0.3706111983886115,0.9622265068445196,124,True,28.78819366331224
0.20479677144253128,0.35296528925498927,56,False,24.372694223991278
0.31447653343784177,0.40826488339655276,87,True,25.554384150379803
0.2514133154972956,0.6395834015876551,160,True,29.57835655780031
0.1476242233100529,0.9105580189499458,196,True,27.829812091427254
0.051022036562838435,0.5579137066122071,12,True,27.079915377498526
0.019924879826994812,0.38156019664664953,28,False,22.539143875839898
0.5205422513839347,0.3152687767987812,138,True,30.109334708871824
0.2798538733337269,0.48976174207359346,43,True,22.602090645036956
0.21939581081192933,0.07906473114296425,79,True,19.220404813685363
0.29556811087552043,0.10482997075641287,79,True,20.659559366704496
0.23034505051405807,0.044946941825791155,4,False,23.45194594639207
0.34075117831738333,0.18050995385573088,195,True,28.8311212652592
0.3797290936004948,0.23085880244977552,186,True,29.57742620297604
0.41368650001588847,0.8125046629254601,100,True,26.9146525419703
0.16395434149790167,0.28970955473177523,119,True,27.853294430294014
0.21853243792868648,0.045863808775820636,148,False,28.514911794635882
0.26145759202752783,0.7448099991528974,30,True,20.563095684625477
0.08941994877434281,0.8467433023642863,30,True,21.17292970759247
0.12653360383235096,0.1630901092062711,188,True,28.10480335502409
0.19694959799541606,0.07940569488087165,24,True,37.207332440583926
0.4766472746962912,0.7783458092732884,154,False,28.639819606162572
0.35620303641237705,0.8805632884636972,59,True,24.26762323624557
0.2593352790995058,0.5817750986113313,133,True,29.167277935972493
0.5555870547688908,0.738869741268315,149,True,30.46001061651954
0.18352875895088186,0.9414532267892137,114,True,27.72223977134834
0.9998682828326511,0.6168859336490072,52,False,23.7925244421935
0.30753916504857237,0.45552372728581214,53,True,23.583862108681924
0.4459034964339941,0.9800864564902921,150,True,29.932184837123128
0.6019738030864397,0.9201459332989613,30,True,21.22600118065939
0.11835556023529102,0.7136771832949791,62,True,24.080911071270425
0.01103414451703133,0.6794666318771914,172,True,29.69858287518871
0.24222048690960274,0.20727094703316784,98,False,26.027796354555992
0.7414510375123631,0.8607436127036083,192,True,30.772032281591454
0.03823929505638424,0.6515160863540228,181,True,28.498391603829692
0.40194527357931775,0.5233641145949575,105,True,27.129599430091094
0.27757666296890854,0.7898943789212977,50,True,23.424421888895136
0.5034843386953676,0.695062075001395,21,False,22.318799521227405
0.16267177100078578,0.11589650422306591,169,True,29.696745873953486
0.14579159537466374,0.8306483690252218,79,True,25.204521152682194
0.9631763689493027,0.4259301055107323,162,True,33.667158534041114
