AdminStrata,Bamako,Gao-Menaka,Kayes,Kidal,Koulikoro,Mopti,Segou,Sikasso,Tombouctou-Taoudeni
Indicator,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange
2020-02-17,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-02-18,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-02-19,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-02-20,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-02-21,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-02-22,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-02-23,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-02-24,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-02-25,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-02-26,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-02-27,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-02-28,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-02-29,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-01,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-02,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-03,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-04,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-05,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-06,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-07,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-08,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-09,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-10,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-11,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-12,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-13,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-14,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-15,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-16,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-17,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-18,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-19,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-20,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-21,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-22,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-23,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-24,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-25,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-26,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-27,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-28,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-29,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-30,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-03-31,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-01,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-02,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-03,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-04,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-05,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-06,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-07,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-08,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-09,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-10,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-11,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-12,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-13,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
2020-04-14,84.0,28.0,84.0,,84.0,28.0,28.0,84.0,28.0
