Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,3735,21,4005,22,4284,20
2,3726,19,3996,21,4275,22
3,3717,21,3987,19,4266,17
4,3708,21,3978,24,4257,24
5,3699,22,3969,22,4248,21
6,3690,22,3960,23,4239,20
7,3681,24,3951,22,4230,20
8,3672,22,3942,20,4221,20
9,3663,17,3933,18,4212,16
10,3654,21,3924,19,4203,23
11,3645,20,3915,17,4194,18
12,3636,21,3906,21,4185,23
13,3627,21,3897,23,4176,19
14,3618,19,3888,22,4167,24
15,3609,25,3879,26,4158,22
16,3600,19,3870,23,4149,22
17,3591,21,3861,21,4140,25
18,3582,22,3852,23,4131,21
19,3573,20,3843,21,4122,17
20,3564,21,3834,22,4113,19
21,3555,24,3825,23,4104,18
22,3546,24,3816,22,4095,22
23,3537,24,3807,20,4086,23
24,3528,25,3798,19,4077,23
25,3519,20,3789,18,4068,22
26,3510,22,3780,22,4059,21
27,3501,23,3771,22,4050,20
28,3492,21,3762,21,4041,22
29,3483,21,3753,20,4032,22
30,3474,17,3744,26,4023,17
