Split,,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Type,,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive
Country,Prediction horizon,,,,,,
Cameroon,1,1.026335473263102,0.010513200694724422,0.3152638706810563,0.2160958023965447,0.5125183708458215,0.1250837265583225
Cameroon,2,0.2684813968646223,0.18116615534647115,0.6265084669204892,0.35482875805688985,0.49882262106862973,0.18030465716288738
Cameroon,3,1.0465377997922887,0.5249882589813155,1.1650641769183225,0.527082847150637,1.9880248437045722,0.6812810768774171
Cameroon,4,1.2848291493098816,0.5610026601782271,1.6314768875185255,1.098922892859322,3.3587286715290943,0.8427538726052245
Cameroon,5,0.6694144410081658,0.6121790232590727,2.0515470412486354,1.925748244115077,4.3839812706617,1.3064137849124995
Cameroon,6,1.0899064000883998,1.3110919695722016,2.083871585199979,2.1082127961343584,5.743516797477572,1.5728889526172747
Cameroon,7,4.101318041391862,4.857840660110671,3.966569544664322,4.7609130614283295,6.423647684929733,1.8699661949752513
Cameroon,8,4.0464368289011725,4.157372430532103,3.817340020920583,4.569303063170773,7.758772182821884,2.738565815157115
Cameroon,9,4.252146241025944,5.7530599620509655,3.6098021745894773,4.397978701952067,10.276007885910548,3.2355959777330323
Cameroon,10,4.097756578594665,5.453727745367724,3.552103381627794,4.366658269880394,12.541087685563754,3.0270480652932585
Cameroon,11,3.554389489445631,4.740682236826459,3.477176322290132,3.8026092132595832,15.47068824158641,3.450127349074973
Cameroon,12,3.874101390791852,5.299676406999862,4.500684536761248,3.3612988986344394,19.424804733654984,4.824184499637067
Cameroon,13,4.733336713799349,5.504258789255084,7.94333825031119,5.189687838126174,21.41467964729784,5.448215063350494
Cameroon,14,5.605760747095123,8.387384685326346,9.462970654727716,6.447733934560684,25.24936064983601,7.087509841635335
Cameroon,15,5.522318345795909,9.314318487390373,11.470157349100663,9.629262077534626,30.745228010061258,8.29254760760514
Cameroon,16,7.091331038960482,12.217472158090313,12.09795965955545,12.14728883324271,38.553258578153,10.852520016550027
Cameroon,17,7.193129130891642,10.342324982878516,12.051682400644046,17.1266385683091,41.453580794158306,10.528435898397568
Cameroon,18,10.153511887771721,14.329528309648278,10.260964886801242,17.19531837851,41.70916473784648,10.414249170788922
Cameroon,19,13.399427100091408,14.944266426398027,10.060970472930705,19.852296799838385,42.796037388578696,11.287707940572203
Cameroon,20,16.55042028489868,17.017213524412277,9.559525336593106,23.237580162374528,39.4687346549011,11.24040945076659
Cameroon,21,22.494304446857946,20.01581688332423,10.525665673758319,23.99628908204572,37.496123016974295,11.179554672086988
Cameroon,22,24.191037476294213,17.289445721307075,13.295639359865861,24.500669215461027,37.03740014893194,12.576569291467914
Cameroon,23,26.36483502460445,21.5420172673025,13.438353977256048,24.2592368225754,38.07840013461279,14.575676033588186
Cameroon,24,24.421768449378494,22.602071525201683,18.300958765679827,28.08834933995827,39.68944909457906,14.379366649245744
Cameroon,25,24.407214846425603,20.37636023593539,19.52458150576734,27.13533010269621,49.57268616475367,21.282546249534825
Cameroon,26,18.113727237239473,24.77811969855576,26.428340232399677,35.32373123032787,51.681673259266304,22.364458370540184
Cameroon,27,12.598773035451337,32.35041821664408,25.35930943076402,33.933978031314226,53.07261569460658,22.05927774424138
Cameroon,28,9.208838861225658,31.065846033217976,23.744248849448624,34.050934153471616,57.83681504105904,23.093597948207442
Cameroon,29,15.248437445550614,34.53977360399141,23.58570621675141,38.804185116939614,67.65492654210925,27.203896023256643
Cameroon,30,35.17868043604941,38.43735147589706,23.548113476888012,41.69304618298552,72.55422711338586,26.31477095641876
