Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,2592,25,2832,21,3080,19
2,2584,24,2824,26,3072,19
3,2576,25,2816,26,3064,19
4,2568,26,2808,26,3056,20
5,2560,25,2800,19,3048,19
6,2552,25,2792,25,3040,25
7,2544,24,2784,21,3032,18
8,2536,25,2776,20,3024,19
9,2528,26,2768,20,3016,18
10,2520,21,2760,20,3008,19
11,2512,25,2752,20,3000,19
12,2504,25,2744,20,2992,18
13,2496,20,2736,19,2984,19
14,2488,26,2728,21,2976,18
15,2480,25,2720,21,2968,18
16,2472,24,2712,19,2960,19
17,2464,25,2704,20,2952,19
18,2456,24,2696,20,2944,19
19,2448,20,2688,27,2936,19
20,2440,20,2680,20,2928,19
21,2432,21,2672,20,2920,25
22,2424,19,2664,26,2912,19
23,2416,20,2656,27,2904,19
24,2408,26,2648,22,2896,21
25,2400,20,2640,23,2888,19
26,2392,20,2632,23,2880,24
27,2384,22,2624,22,2872,25
28,2376,20,2616,21,2864,26
29,2368,20,2608,21,2856,21
30,2360,20,2600,21,2848,26
