Split,,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Type,,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive
Country,AdminStrata,,,,,,
Niger,Agadez,8.932464712120387,1.29685980966962,131.90146653722667,6.1701782219366175,93.7119560399894,7.591162742391412
Niger,Diffa,76.07969363411611,89.53341436192709,65.01611090006185,10.050773105486202,127.71007227907313,2.6390447027260877
Niger,Dosso,4.374412487767496,26.905333204016678,47.906852854077314,9.16760158867663,184.84960697373612,4.211859000837598
Niger,Maradi,10.582332463581817,19.450683895725597,108.73554680128385,30.538770226172893,104.48005598270741,14.201716393342766
Niger,Niamey,2.0383550225122953,5.9924851161137065,37.52130565407131,20.83354651408104,149.15665849176668,1.7334571810476553
Niger,Tahoua,10.869626726932495,12.841120133193824,221.69278601626743,70.89411166212118,90.10084858073772,54.58521894521591
Niger,Tillaberi,73.94496742578458,63.891559379735675,151.85403828519136,13.40687229647459,71.31087347665064,31.39739557339736
Niger,Zinder,9.21255774405429,18.875342351464308,45.813215780938535,7.849407950469166,109.09135504474207,2.395696344095284
