Country,Niger,Niger,Niger,Niger,Niger,Niger
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,
1,0.9341443094797703,0.9052169983621059,0.9878570830771738,0.9865434125658815,0.9505327273180042,0.9602765500921153
2,0.8324991233060617,0.7614335664444735,0.9316470142327908,0.9414430455849992,0.8322830600559606,0.9059874470612488
3,0.701260774049525,0.6489093550667371,0.8287619496878204,0.8812146448640696,0.6210864819203978,0.6683126392457266
4,0.36828341424398026,0.3051945211855459,0.7236789704351559,0.8163414395036426,0.5038067890056688,0.7772963207013517
5,-0.09888450055818399,-0.11577003348370907,0.554114007712784,0.6984248207447841,0.3361359949356292,0.5133864490762707
6,-0.004312354796965678,-0.004540035629188477,0.2891304892463227,0.49122668616624254,0.1146610413593776,0.30598234345544095
7,-0.05523723543048087,-0.04216084580097146,0.2872502956430898,0.5092966377782526,0.08708957406733986,0.36754455638606587
8,-0.04460693545572214,-0.0392077991208124,0.2944809216866088,0.5325040041473863,-0.10041521360505135,0.08120811014230012
9,-0.31838203128831877,-0.2836525036645998,0.23980194534545152,0.5262791083084251,0.03902511283377985,0.1339324545414855
10,-0.34753877382235454,-0.2757692225681214,0.08919158462822907,0.43220637764471825,-0.49186941949668794,-0.3971102039586125
11,-0.3761872881674029,-0.3832057333682566,0.02731024534184534,0.4088908354300028,-0.7048062657329315,-0.9113051992720687
12,-0.20598472289182057,-0.2746533087251952,0.040790938816743005,0.4215333003417201,-1.184786687422954,-1.5150734555403256
13,-0.16953424076569656,-0.2520534365644942,-0.013945691920637993,0.2524367405902417,-0.881167332835306,-1.1836876053045318
14,-0.12580464308918882,-0.2886136694756807,-0.01721283965370879,0.2255935711572209,-0.6818157708404897,-1.1020932951757487
15,-0.08961534665683102,-0.28337820911329326,-0.09919387229328058,0.2705595669515536,-0.8694916150549405,-1.3822199501198233
16,-0.0944061344357523,-0.42355846757695614,-0.13483542890635403,0.2995958917586037,-1.9658693159204845,-1.6427491212945808
17,-0.38200104716214933,-0.7916515657672196,-0.6221170375348613,0.29466994080635367,-2.7658839648045404,-1.6087265601749285
18,-0.4039349588605021,-0.9429445191046024,-1.226385833784688,0.307402714049288,-2.5908117179770453,-1.7995605794097234
19,-0.47893328608850205,-1.0926204204223167,-2.4043410723594754,0.042652296603417406,-4.0132493827520745,-1.2731451639292626
20,-0.6564298659631549,-1.0948204268134156,-3.0233652048656445,0.1307370939772181,-5.139162556688934,-1.16131861239468
21,-0.6028459974423785,-1.0212938458788163,-4.706803059481224,0.1004022352509173,-7.505895683327344,-0.9008196915697293
22,-0.5339958353703749,-1.0658340387299674,-7.268942864196193,-0.10142872480817555,-9.690001207698336,-1.221373344566267
23,-0.47190344753930513,-0.7996492143885527,-12.894282748428209,-0.4975199895339024,-16.84044447277761,-0.8426343007939967
24,-0.5225437516912197,-0.8949307172993333,-18.59387250015303,-0.8580451037724621,-32.967129345011244,-1.2514118181444398
25,-0.5631100664544395,-1.0009454455440832,-21.757389550992418,-0.9940855687382852,-41.199096778240715,-1.0720922705960443
26,-0.7585209699002962,-1.220586322840195,-23.912989652558906,-1.0674307910010907,-65.34092003114313,-1.6513679810881001
27,-0.8097953547865804,-1.3009588126191587,-19.137671332775337,-0.5531632352578242,-72.84191453543802,-1.5674578398022465
28,-0.8182631076879563,-1.3167723277343049,-18.721709118455376,-0.7727337407818291,-71.37472942781389,-1.1548493298763334
29,-0.7980252028413244,-1.265570961163803,-13.698792523095959,-0.8815008312429353,-89.34643203712838,-1.874277044908827
30,-0.9203718284758897,-1.2331099237956091,-15.564657304922989,-1.942183267400876,-92.89176172429079,-1.5977623489491783
