Country,Admin 1,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Nigeria,Adamawa,Mubi,Bread,Retail,2015,01,140,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2015,02,140,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2015,03,140,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2015,04,140,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2015,05,140,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2015,06,,Unit,NGN,
Nigeria,Adamawa,Mubi,Bread,Retail,2015,07,,Unit,NGN,
Nigeria,Adamawa,Mubi,Bread,Retail,2015,08,140,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2015,09,140,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2015,10,140,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2015,11,140,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2015,12,140,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2016,01,140,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2016,02,220,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2016,03,220,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2016,04,220,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2016,05,220,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2016,06,300,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2016,07,300,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2016,08,300,Unit,NGN,FEWS NET; Nigeria
