AdminStrata,Adamawa,Adamawa,Borno,Borno,Yobe,Yobe
Indicator,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly
2016-02-09,0.2962040790322579,98.74022115894255,0.2357878870967742,99.6101417665556,0.21206864193548386,97.55786133077144
2016-02-10,0.2942214016129031,98.56763956188657,0.23446445161290325,99.42860543613423,0.21088371612903226,97.31493036918386
2016-02-11,0.2923212922580644,98.41227980476324,0.2332031483870968,99.26679329910061,0.20978181225806453,97.10181572581862
2016-02-12,0.29050375096774184,98.2741418875726,0.23200397741935486,99.12470535545472,0.20876293032258064,96.91851740067575
2016-02-13,0.2887687777419354,98.15322581031462,0.23086693870967745,99.00234160519658,0.20782707032258063,96.76503539375523
2016-02-14,0.28711637258064504,98.04953157298934,0.22979203225806455,98.89970204832618,0.2069742322580645,96.64136970505706
2016-02-15,0.2855465354838708,97.96305917559671,0.22877925806451613,98.81678668484352,0.20620441612903223,96.54752033458124
2016-02-16,0.2840592664516128,97.89380861813677,0.22782861612903224,98.75359551474861,0.20551762193548387,96.48348728232777
2016-02-17,0.28265456548387086,97.8417799006095,0.2269401064516129,98.71012853804145,0.20491384967741935,96.44927054829668
2016-02-18,0.2813324325806451,97.80697302301489,0.22611372903225807,98.68638575472201,0.2043930993548387,96.44487013248792
2016-02-19,0.28009286774193537,97.78938798535295,0.22534948387096773,98.68236716479032,0.2039553709677419,96.47028603490153
2016-02-20,0.2789358709677418,97.78902478762369,0.22464737096774193,98.69807276824638,0.20360066451612902,96.52551825553749
2016-02-21,0.277819408732486,97.78878327220167,0.22397075705441513,98.7171987230325,0.20326531088302377,96.58478772654321
2016-02-22,0.276743481036168,97.78866343908687,0.22331964213098732,98.73974502914866,0.2029493100684262,96.64809444791867
2016-02-23,0.27570808787878776,97.78866528827932,0.22269402619745846,98.76571168659488,0.20265266207233626,96.71543841966388
2016-02-24,0.27471322926034525,97.78878881977899,0.22209390925382863,98.79509869537117,0.20237536689475397,96.78681964177885
2016-02-25,0.27375890518084056,97.78903403358589,0.22151929130009776,98.8279060554775,0.20211742453567935,96.86223811426356
2016-02-26,0.27284511564027364,97.78940092970004,0.2209701723362659,98.86413376691388,0.20187883499511242,96.94169383711805
2016-02-27,0.2719718606386444,97.78988950812139,0.22044655236233301,98.90378182968033,0.2016595982730531,97.02518681034228
2016-02-28,0.27113914017595303,97.79049976884998,0.21994843137829911,98.94685024377682,0.20145971436950147,97.11271703393626
2016-02-29,0.2703469542521994,97.7912317118858,0.21947580938416422,98.99333900920338,0.20127918328445749,97.20428450789998
2016-03-01,0.2695937690322581,97.79316929748526,0.21901475129032258,99.04337131911373,0.20109749387096776,97.29582202366157
2016-03-02,0.2688795845161291,97.79631252564836,0.21856525709677418,99.09694717350787,0.20091464612903226,97.38732958122101
2016-03-03,0.26816776258064523,97.79979428088353,0.21810970483870967,99.15413131491185,0.20072193096774193,97.48019295018595
2016-03-04,0.2674583032258065,97.80361456319078,0.21764809451612901,99.21492374332567,0.20051934838709679,97.57441213055638
2016-03-05,0.26675120645161293,97.80777337257008,0.21718042612903227,99.27932445874934,0.20030689838709678,97.6699871223323
2016-03-06,0.2660464722580646,97.81227070902145,0.21670669967741937,99.34733346118284,0.20008458096774195,97.76691792551372
2016-03-07,0.2653441006451614,97.81710657254489,0.21622691516129033,99.4189507506262,0.19985239612903227,97.86520454010066
2016-03-08,0.26464409161290325,97.82228096314037,0.21574107258064518,99.4941763270794,0.19961034387096777,97.96484696609308
2016-03-09,0.26394644516129034,97.82779388080795,0.21524917193548387,99.57301019054245,0.1993584241935484,98.06584520349101
2016-03-10,0.2632511612903226,97.83364532554758,0.21475121322580645,99.65545234101533,0.19909663709677422,98.16819925229444
2016-03-11,0.26259779903225816,97.84544095867385,0.2142572912903226,99.73756740413631,0.19883203451612905,98.26903083159124
2016-03-12,0.26198635838709683,97.86318078018672,0.21376740612903228,99.81935537990542,0.1985646164516129,98.3683399413814
2016-03-13,0.2614102870967743,97.88612598974645,0.21327823387096775,99.89943622970826,0.19829014354838712,98.46373944628132
2016-03-14,0.2608695851612904,97.91427658735303,0.21278977451612907,99.97780995354488,0.19800861580645163,98.55522934629103
2016-03-15,0.2603642525806453,97.94763257300646,0.21230202806451617,100.05447655141526,0.19772003322580645,98.6428096414105
2016-03-16,0.2598942893548389,97.98619394670672,0.2118149945161291,100.12943602331941,0.1974243958064516,98.72648033163972
2016-03-17,0.25945969548387116,98.02996070845383,0.2113286738709678,100.20268836925732,0.1971217035483871,98.8062414169787
2016-03-18,0.25906047096774215,98.07893285824778,0.2108430661290323,100.27423358922898,0.19681195645161292,98.88209289742746
2016-03-19,0.2586966158064518,98.1331103960886,0.2103581712903226,100.3440716832344,0.19649515451612906,98.95403477298598
2016-03-20,0.25836813000000025,98.19249332197623,0.20987398935483872,100.4122026512736,0.1961712977419355,99.02206704365427
2016-03-21,0.25809306290322603,98.259308668776,0.20940338563049854,100.48149447981405,0.1958503288856305,99.0888520126182
2016-03-22,0.2578714145161292,98.33355643648787,0.20894636011730208,100.55194716885573,0.19553224794721408,99.15438967987775
2016-03-23,0.2577058406810038,98.41672085863595,0.20849835966112742,100.62145566315691,0.19521065055392636,99.21564416083913
2016-03-24,0.2575963413978496,98.50880193522028,0.2080593842619746,100.69001996271754,0.19488553670576733,99.27261545550236
2016-03-25,0.2575429166666668,98.60979966624083,0.20762943391984362,100.75764006753766,0.19455690640273704,99.32530356386741
