n,loss
336,15.968270082232516
21,37.35755267850552
330,15.753606457834636
152,6.689984203426161
336,15.968270082232516
297,14.449998241332624
329,15.712673192083969
4,29.430690458824643
161,7.551315346397491
53,15.694578992810522
256,14.49682155087323
266,14.879612670098885
32,29.785960779184844
139,7.601774832582767
6,34.49004086348664
288,14.700874933726292
4,29.430690458824643
68,12.270483962676352
89,12.024824241400225
247,13.977686464796301
17,39.62720883552888
156,6.91033099228387
156,6.91033099228387
201,13.412330847983277
20,38.063097229851316
66,12.43282662058377
162,7.732459050617294
275,14.91359770067938
95,11.726049545253444
74,12.023200202217614
320,15.289523407223763
306,14.592168386491513
245,13.845750748189422
177,11.576858650379137
206,12.912401968777226
69,12.198924348653017
127,9.273932720659468
331,15.792458552526307
324,15.495273993059435
55,14.919549841119954
340,16.12330820316185
73,12.023042367812407
119,10.189707604045752
152,6.689984203426161
152,6.689984203426161
190,13.68455399383686
271,14.914671798610598
101,11.38638541870008
155,6.834274163857768
178,11.827357222612823
219,12.182954172368065
152,6.689984203426161
191,13.7363768012855
37,25.715094732343555
123,9.745272079682671
351,16.705229540236473
307,14.630747819890582
251,14.220649748778674
131,8.734335136571525
78,12.093880153241022
240,13.448801111694658
10,38.80756853662315
312,14.863477214552384
250,14.162054500980508
152,6.689984203426161
203,13.216418995333413
212,12.422780664600415
169,9.377771015190875
259,14.648217101372074
18,39.21180449531359
236,13.074527684471114
360,17.260635234258146
241,13.53682829016644
50,17.078013580672806
355,16.942316845261825
273,14.910253094487336
264,14.83498360384116
243,13.700165308038246
45,19.904870910010516
249,14.101744320952951
364,17.501015343301024
277,14.910560457616612
346,16.41795080096928
120,10.083052404486027
365,17.554849975091276
252,14.275303553113696
153,6.721907434417474
152,6.689984203426161
228,12.41562685427831
158,7.112673547803131
100,11.434966442784734
152,6.689984203426161
122,9.862504991321787
227,12.36372783034468
305,14.55631530489642
93,11.85082168791765
316,15.068540158404112
152,6.689984203426161
108,11.042398446409464
326,15.586045154897604
327,15.62907442003683
215,12.268947797828234
52,16.136031739444356
278,14.906212732615122
318,15.17903733841968
168,9.11287154867231
282,14.86583252235311
357,17.068209550899173
328,15.671407990967628
134,8.30896868242858
167,8.857156732667015
34,28.20442556748556
289,14.666237471933508
147,6.768684641309512
91,11.945767921351873
114,10.641030975198008
92,11.902598529435224
189,13.619647129567797
194,13.796410239314293
268,14.909686600586491
105,11.18555416385456
152,6.689984203426161
