n,loss
294,36.34296685363618
241,40.33629945567997
235,40.688179302052475
237,40.60747402197083
184,30.99347386158796
168,26.077376826130106
358,32.8982165929305
47,47.49337193515561
179,29.18344223371119
144,26.106880668912808
268,37.47480173207046
91,38.68727766779649
361,32.494948656977904
43,48.42747041684388
214,40.77937846676545
288,35.92761100284073
138,27.544095682383134
40,49.41793005820569
63,43.12700077183255
180,29.5215589122439
129,29.44351219804445
280,35.991754106317046
130,29.26759520827147
52,46.133707979966516
139,27.29551887201165
325,35.9137019130669
144,26.106880668912808
119,31.074995861142938
140,27.046815890002833
192,34.4855917751046
110,33.00082734980695
332,35.1357628414746
174,27.633398640462413
168,26.077376826130106
353,33.47230336876565
103,35.07267012197212
323,36.18772520253621
316,37.18769652383562
168,26.077376826130106
168,26.077376826130106
330,35.33360307255101
92,38.4634307950027
32,51.18871497261165
229,40.89685687266743
345,34.02423858916982
216,40.9559354593571
238,40.55630090147685
19,44.62521098093581
217,41.0229950508801
200,37.77723325400097
150,25.104323081800604
150,25.104323081800604
105,34.434599385386015
205,39.18124505388218
150,25.104323081800604
39,49.805196177470215
125,30.10165301658976
80,40.328389185102175
359,32.7647997732617
365,31.965973370441308
54,45.48513942957094
164,25.367650701095616
101,35.75424356075921
347,33.90278154893985
36,50.762212082140614
279,36.06357356709198
150,25.104323081800604
329,35.43845836770649
65,42.78681479242855
273,36.751598803173714
150,25.104323081800604
150,25.104323081800604
165,25.51968234667996
186,31.804321132323285
302,37.131540889839755
150,25.104323081800604
266,37.74277734407693
203,38.68607808075986
248,39.60983938528005
102,35.41025635137104
303,37.233433487556574
212,40.52406697845918
204,38.94338483455744
224,41.10010425802543
215,40.8751558941786
293,36.25756390229578
242,40.23896974891099
284,35.846382900801466
64,42.94714622622442
222,41.141468859359755
115,31.850888568201857
94,37.979923797978245
194,35.39190425130675
163,25.237976106690933
351,33.64113304550867
96,37.41605934209739
81,40.16681566831363
86,39.552566948950584
337,34.68294455917041
357,33.027213449155084
256,38.769586205237346
239,40.49366672251657
189,33.10567293643186
71,41.9744352824912
117,31.451399080688763
29,50.318873313442396
307,37.55405035826397
246,39.81901766267805
181,29.87048405485213
283,35.860377096495036
150,25.104323081800604
348,33.842962899135834
338,34.594675152740656
193,34.94195331575903
151,25.016759049108742
66,42.63872621850623
151,25.016759049108742
208,39.82249209777476
175,27.926332485608143
151,25.016759049108742
87,39.4141097745555
137,27.787334207189932
151,25.016759049108742
275,36.483400075654814
93,38.230787371111724
151,25.016759049108742
128,29.611353348453083
282,35.88858279000434
352,33.56152161038954
7,37.976649481666534
260,38.39824502059435
295,36.432693697102046
278,36.150995731750385
261,38.30525032198662
234,40.72236170140899
13,42.50280966918289
151,25.016759049108742
195,35.831706405700736
327,35.66506899968746
21,45.32107058027017
167,25.875655203277493
151,25.016759049108742
334,34.94914300192394
324,36.048362046217534
161,25.037572067727066
342,34.24434427650976
48,47.249783125160775
310,37.61755930415939
356,33.15247009862489
98,36.76353751564719
151,25.016759049108742
318,36.91914776375949
263,38.09737834187279
55,45.141015132953186
198,37.05800113970613
151,25.016759049108742
142,26.560330873840357
42,48.71943616976171
364,32.09692406755328
135,28.24709758532074
134,28.467656878119097
95,37.70884632558175
315,37.303406696578605
16,43.867532193296775
41,49.042931238015164
269,37.33297343932697
33,51.22040039086145
75,41.267619536254294
88,39.25814593369417
111,32.74062080896329
38,50.151612741830235
25,47.79253041530981
70,42.10642891365334
170,26.53973268435453
304,37.3311537243209
291,36.10440721235546
78,40.6699020316368
51,46.438252507865876
100,36.08928933715342
141,26.800098735117302
253,39.06984840589626
294,36.34296685363618
31,51.013297338188174
145,25.8904721058929
271,37.040219269578294
56,44.81936791336836
12,42.093301320855424
274,36.61211491675969
59,43.98945344129052
60,43.765163785684045
281,35.933131220473804
151,25.016759049108742
90,38.8988558972506
336,34.771557383869904
232,40.78733301698045
191,34.02325695191383
35,51.01183171614847
176,28.22904164203418
341,34.32897888182464
162,25.12919053605823
121,30.731503628987934
17,44.20004277988488
124,30.25775768852939
210,40.199209261799375
209,40.01421177130006
53,45.82441502906145
331,35.234506872563884
265,37.86700494087117
301,37.02570416838364
272,36.894625223170486
220,41.135835472464464
344,34.092736042612245
171,26.79373853557804
67,42.513835916578415
131,29.077989180351327
89,39.08843361388542
136,28.02103778122802
247,39.71653643333056
143,26.32985851942038
362,32.361102680905304
202,38.40579512602275
146,25.691710136928325
77,40.85704092060064
328,35.54957267920986
188,32.660903699834236
201,38.10179959963144
44,48.167035055192855
173,27.34510933223609
326,35.78617927167689
149,25.21510613794028
258,38.580819433096906
151,25.016759049108742
28,49.83811554224712
159,24.911110728328143
108,33.550649878421744
