AdminStrata,Adamawa,Borno,Yobe
Indicator,FCS,FCS,FCS
2019-01-18,23.58693837903089,37.455808225068026,30.722899820315927
2019-01-19,22.755425409392547,36.45118988231689,30.273423261169853
2019-01-20,22.547817376663453,36.46195954204352,31.047473723505842
2019-01-21,23.758271002936425,36.892211387933656,31.81486148941021
2019-01-22,22.37427921841112,35.6370554832621,30.674751947447568
2019-01-23,23.926048568771694,35.881762198864514,30.86191520078497
2019-01-24,23.68244664968628,34.80617383475475,31.588360396361413
2019-01-25,24.165867712489177,34.57397603314997,31.53679734642923
2019-01-26,23.935723074990406,34.4745228380358,32.427873214957145
2019-01-27,25.03963383589489,32.186885009225065,30.924175972238444
2019-01-28,25.87884193434769,31.41479512921713,30.570691915512803
2019-01-29,25.080323400875567,33.187929366156766,27.707763814608196
2019-01-30,25.381862529297308,34.02710062222534,28.213317501317505
2019-01-31,24.556321440276328,33.936340608817744,29.614736254676412
2019-02-01,24.870138141606642,33.77081192160181,29.88103983717353
2019-02-02,25.524941419446893,33.93112622047082,29.973442402280632
2019-02-03,27.47260908001312,34.80925449553092,29.796325708261453
2019-02-04,27.308254688707706,35.74112999623681,30.845462929887876
2019-02-05,27.35307788330835,36.08765004327223,32.062643811895725
2019-02-06,27.609485150045515,35.26948121196305,32.33972356415172
2019-02-07,28.374363307182183,35.35724511542769,33.86241722981053
2019-02-08,28.654365363784237,35.112369906154015,34.14806848738016
2019-02-09,29.880894382804065,36.68595400962264,35.033943295610506
2019-02-10,28.771954794784946,36.01224996672725,35.39703745042746
2019-02-11,29.603254102471425,36.7406186124125,35.388290385565675
2019-02-12,29.9342920275725,37.91358789452648,33.69654402403345
2019-02-13,30.344884981703125,38.77921652965194,34.25343651107917
2019-02-14,30.595367670662974,39.528242557864615,34.73588154572024
2019-02-15,29.99681045215591,41.07736927346347,33.985386185982
2019-02-16,31.356332905911678,41.10471589966826,33.8442095155487
2019-02-17,30.332850721376552,40.0282438555763,34.5021105062592
2019-02-18,30.089983210097195,39.991105978788035,34.466978218288105
2019-02-19,31.064618169330867,41.71990144982557,35.77668787852691
2019-02-20,31.453714744145003,42.1345845411335,35.08877493411519
2019-02-21,30.119196115250226,42.0814817608856,34.16803436771702
2019-02-22,31.738923333578782,42.09746870563933,33.28220284176849
2019-02-23,30.78344870665649,42.220250340653436,33.960953524760754
2019-02-24,31.627224653296558,44.46928069807441,33.626093919806515
2019-02-25,32.222591358051965,43.50453315728777,32.86656820164198
2019-02-26,31.59539983628761,43.023588244278315,31.12237655441956
2019-02-27,32.305998434178115,43.3083578988678,31.866781075972323
2019-02-28,31.223164206138826,43.175028588464755,31.729506400052625
2019-03-01,31.685298630467862,44.81756630217611,31.34054774171844
2019-03-02,30.613929323696237,43.64381410007658,30.49455772420424
2019-03-03,32.73650463228863,44.522575507527456,29.523489118211003
2019-03-04,32.229696018243324,44.11439656961953,30.348093138004852
2019-03-05,30.735118866531003,43.0098087605687,29.26016065466756
2019-03-06,31.293867343148932,42.84447397258492,29.254296464111505
2019-03-07,30.658323941905195,42.02799058665258,28.420755529853693
2019-03-08,31.392006418208517,40.48805024863461,29.46660052279711
2019-03-09,32.303332624943096,41.23783609049535,29.490806680956073
2019-03-10,31.517700557809192,40.688532001879636,27.932422182885908
2019-03-11,33.217807189533296,42.37567480956903,29.667686799254376
2019-03-12,33.459330236230485,40.91444201203436,29.72336795448325
2019-03-13,34.70184695122768,40.84295424944615,30.510928306245184
2019-03-14,32.95984061596871,41.693540245711866,29.485133062737077
2019-03-15,31.781167658848094,40.95687136198568,28.41560106582088
2019-03-16,31.51912577905633,39.91804455668945,29.690047848215194
2019-03-17,30.964463660099874,39.05626555508745,29.532976075491554
2019-03-18,31.11797871591649,38.11421739650068,31.07002591558412
2019-03-19,29.256820506008964,38.63587701188091,31.49866292580565
2019-03-20,29.68424158646165,39.33368231482929,31.083740548633127
2019-03-21,29.634293660122186,38.480457830953725,29.78562469316585
2019-03-22,28.64675517653136,36.655360290202786,28.772039933961487
2019-03-23,28.486245427600174,35.91650355207654,29.39705761600328
2019-03-24,28.605692164966396,35.44898552973722,29.167398314276827
2019-03-25,27.434849312851995,35.71933536814667,30.4206345839468
2019-03-26,26.566825651814952,35.87230566436807,30.07513647068487
2019-03-27,26.36183627856097,34.25850289834676,29.358698729079546
2019-03-28,24.95065317929373,34.70719579859564,29.7680882664337
2019-03-29,25.196882341140746,34.94097835177814,29.897004085350364
2019-03-30,25.439150324858755,34.48008550771123,29.872785928698868
2019-03-31,25.103705503186337,33.70223409421856,29.41281405315247
2019-04-01,25.131556790293285,31.799849703186197,30.212697352392716
2019-04-02,26.41826356997661,31.859313031298537,30.437185822396394
2019-04-03,26.140667437310896,31.506033743542446,30.16490977386962
2019-04-04,26.324691126641135,32.98187546421062,28.928168648709
2019-04-05,26.974399391740523,33.82133612356289,29.439224946661852
2019-04-06,25.756863351853337,32.97549746562275,29.129343232643496
2019-04-07,27.012158821960266,33.55423564716873,29.669701769949693
2019-04-08,25.78042310952017,34.433091416747324,28.17167212248627
2019-04-09,25.65245861456966,33.90192823521204,28.5615585238275
2019-04-10,26.567970414368407,33.79968298219328,29.456382749348016
2019-04-11,24.94055043738453,32.7725966695127,27.194633108145627
2019-04-12,23.775989497192988,32.50708606135516,26.532428048300535
2019-04-13,23.475927534518608,32.74603096363892,26.290546304464737
2019-04-14,23.384694401312913,31.891218826878628,26.624011244280286
2019-04-15,23.002862180853445,30.95776961450768,28.5881707281967
2019-04-16,22.54217217312189,29.6347454001097,27.82737711048675
