AdminStrata,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Socotra,Taizz
2016-09-08,109.4343409352662,103.6646041748224,133.5737182172738,117.70065886664419,117.81892084462,102.22245720022362,100.2037724369242,125.76126895651521,131.5962986345096,122.2889676533172,125.31564571778681,101.37870750049481,128.3515390441172,114.096833089714,107.50208559198221,108.31199945975881,120.717186286488,120.7435767856732,128.12468273248479,106.390993079971,104.9703448796938,119.491907477091
2016-09-09,109.3201863544506,103.6979847879832,133.8297526027934,117.6613673336431,117.89962478320498,102.2286628291833,100.2085325409966,125.65897199085161,131.8243741802753,122.1380331403216,125.2726901792664,101.38089509646791,128.1554010264116,113.956591308068,107.37719962819462,108.33799715779091,120.3484545567055,120.7040422434431,128.1249120246869,106.394736394377,104.92312093770889,118.98624464639401
2016-09-10,109.206031773635,103.731365401144,134.085786988313,117.622075800642,117.98032872178999,102.23486845814301,100.213292645069,125.55667502518801,132.052449726041,121.98709862732599,125.229734640746,101.38308269244101,127.959263008706,113.816349526422,107.25231366440701,108.36399485582301,119.97972282692301,120.664507701213,128.125141316889,106.398479708783,104.87589699572399,118.48058181569701
2016-09-11,108.8886498535476,103.7914128342622,133.7662487924149,117.4284512319086,117.90209808817349,102.22356414725971,100.2222437165835,124.85327580703091,131.6061911716987,121.4588303712102,124.8382917274365,101.3849388641034,127.2152048485557,113.535331139825,106.9363500441387,108.23234853845331,119.25368177514001,120.3924436376494,127.5586799783612,106.3338694634773,104.47870409988049,117.5356776848302
2016-09-12,108.5712679334602,103.8514602673804,133.4467105965168,117.2348266631752,117.82386745455699,102.2122598363764,100.23119478809801,124.14987658887381,131.1599326173564,120.93056211509439,124.44684881412701,101.3867950357658,126.4711466884054,113.254312753228,106.62038642387041,108.10070222108361,118.52764072335701,120.1203795740858,126.9922186398334,106.2692592181716,104.081511204037,116.5907735539634
2016-09-13,108.2538860133728,103.9115077004986,133.12717240061872,117.04120209444179,117.74563682094049,102.20095552549311,100.2401458596125,123.4464773707167,130.7136740630141,120.4022938589786,124.0554059008175,101.38865120742821,125.72708852825511,112.973294366631,106.30442280360211,107.96905590371391,117.80159967157401,119.8483155105222,126.4257573013056,106.2046489728659,103.6843183081935,115.6458694230966
2016-09-14,107.93650409328541,103.9715551336168,132.8076342047206,116.84757752570839,117.66740618732399,102.18965121460981,100.249096931127,122.7430781525596,130.2674155086718,119.8740256028628,123.663962987508,101.39050737909061,124.9830303681048,112.692275980034,105.9884591833338,107.83740958634421,117.07555861979101,119.5762514469586,125.8592959627778,106.1400387275602,103.28712541235,114.7009652922298
2016-09-15,107.61912217319801,104.03160256673499,132.4880960088225,116.65395295697499,117.58917555370749,102.1783469037265,100.2580480026415,122.0396789344025,129.8211569543295,119.345757346747,123.2725200741985,101.392363550753,124.2389722079545,112.411257593437,105.6724955630655,107.70576326897451,116.349517568008,119.304187383395,125.29283462424999,106.0754284822545,102.88993251650649,113.756061161363
2016-09-16,107.3017402531106,104.09164999985319,132.1685578129244,116.46032838824159,117.51094492009099,102.1670425928432,100.266999074156,121.33627971624541,129.37489839998722,118.8174890906312,122.881077160889,101.3942197224154,123.4949140478042,112.13023920684,105.3565319427972,107.57411695160481,115.623476516225,119.0321233198314,124.7263732857222,106.0108182369488,102.492739620663,112.8111570304962
2016-09-17,106.9843583330232,104.15169743297139,131.8490196170263,116.2667038195082,117.43271428647449,102.1557382819599,100.2759501456705,120.63288049808831,128.9286398456449,118.2892208345154,122.4896342475795,101.3960758940778,122.7508558876539,111.849220820243,105.0405683225289,107.44247063423511,114.897435464442,118.7600592562678,124.1599119471944,105.94620799164309,102.0955467248195,111.8662528996294
