Country,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,,,,,,,,,
1,0.7434249752725738,0.7309990353311193,0.8796567280309592,0.8835876122888584,0.9401151527670071,0.955530945632738,0.995874739916543,0.9999459520391321,0.9533534674135764,0.9553620534694324,0.9524359663988698,0.9513919665443678,0.9438322438163056,0.9648191163433635
2,0.40938689659989447,0.3971267492733287,0.7527642314419151,0.7585131877244241,0.8630252833077845,0.8771274412838931,0.9879966170715896,0.9834867287486542,0.8655842175039965,0.8713597870772849,0.8211994710793405,0.7864867138830218,0.9433504920057395,0.9553634976426977
3,0.48046292914449984,0.4371342244217612,0.4627291911663429,0.4731580547929861,0.8146680956189435,0.8329263355339928,0.9043720747629928,0.9137474959235088,0.6797663661128862,0.6780741383853831,0.7048750466033309,0.6694164851942594,0.9247067524270063,0.9329061503331201
4,0.3680185334569004,0.3579356594897557,0.49033414287367694,0.4641534292458821,0.7596963713341202,0.7707640029274124,0.8706564104332759,0.8831180878892967,0.5808070581931624,0.5755135096591643,0.5166194683112505,0.4377933828270004,0.9415016607113834,0.9483176457643124
5,0.3170509892321377,0.28334262532956644,0.40186471998265216,0.3752851180188653,0.739267112182268,0.7613962822380733,0.7583741645464348,0.7271463681035155,0.5862229321282828,0.5804197957669551,0.48900755376046,0.33648146011323243,0.9105364781623723,0.9129013943831981
6,0.2851310066103857,0.23877396533727058,0.3592696287450594,0.33724510900713045,0.7669182444340991,0.7817651786293442,0.6791192231082794,0.5610822214317204,0.5160736367872456,0.5467944105759994,0.47688211713167905,0.22409513532408998,0.9117020561260308,0.9305591972924128
7,0.2972860858101518,0.2702032348731982,0.2286014088449021,0.1855308291761738,0.7816157637853265,0.8016925677938167,0.6382365934228662,0.5046639631384943,0.46907053313889624,0.5072929276546,0.5203782777370534,0.26332263450826576,0.8925568253620237,0.9302489168091026
8,0.2931086003918256,0.26735676244924145,0.12555657601461934,0.09311067038500709,0.7832452062632358,0.7945143595462121,0.6571246935449941,0.5046639631384943,0.39541620023337565,0.42908070585382174,0.4322172524631618,0.0652798016321523,0.891034832166252,0.9315891541158168
9,0.20432748439721993,0.18355719627657752,0.19387147506833868,0.17945941888662165,0.7301384268690843,0.7419078038716831,0.5549441893758096,0.3406958182689531,0.2910123081573297,0.39056261058658037,0.3669670326411201,-0.0046903515925125205,0.8154754222093298,0.8988195677825164
