Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Info,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features
1,5983,23,6331,22,6703,24,7063,23,7435,24,7795,22,8167,24
2,5971,26,6319,22,6691,22,7051,24,7423,21,7783,21,8155,20
3,5959,27,6307,23,6679,23,7039,20,7411,19,7771,23,8143,22
4,5947,25,6295,23,6667,27,7027,24,7399,19,7759,26,8131,22
5,5935,24,6283,19,6655,20,7015,24,7387,23,7747,23,8119,27
6,5923,25,6271,21,6643,23,7003,18,7375,27,7735,23,8107,22
7,5911,23,6259,21,6631,24,6991,20,7363,26,7723,26,8095,26
8,5899,22,6247,24,6619,24,6979,26,7351,21,7711,24,8083,25
9,5887,23,6235,22,6607,25,6967,27,7339,20,7699,23,8071,25
10,5875,22,6223,22,6595,21,6955,26,7327,19,7687,22,8059,25
11,5863,19,6211,22,6583,19,6943,24,7315,25,7675,26,8047,26
12,5851,27,6199,20,6571,18,6931,27,7303,26,7663,21,8035,23
13,5839,22,6187,23,6559,19,6919,24,7291,23,7651,23,8023,27
14,5827,21,6175,19,6547,21,6907,24,7279,19,7639,26,8011,20
15,5815,24,6163,20,6535,20,6895,26,7267,21,7627,19,7999,22
16,5803,25,6151,19,6523,26,6883,19,7255,24,7615,19,7987,23
17,5791,25,6139,24,6511,21,6871,27,7243,20,7603,24,7975,21
18,5779,22,6127,21,6499,23,6859,23,7231,22,7591,28,7963,21
19,5767,24,6115,27,6487,22,6847,25,7219,19,7579,25,7951,26
20,5755,22,6103,24,6475,27,6835,21,7207,23,7567,22,7939,22
21,5743,23,6091,24,6463,24,6823,22,7195,19,7555,22,7927,19
22,5731,22,6079,22,6451,23,6811,20,7183,22,7543,22,7915,18
23,5719,25,6067,22,6439,22,6799,28,7171,27,7531,19,7903,18
24,5707,20,6055,25,6427,21,6787,26,7159,22,7519,24,7891,18
25,5695,24,6043,22,6415,24,6775,18,7147,23,7507,23,7879,18
26,5683,24,6031,26,6403,21,6763,24,7135,24,7495,24,7867,18
27,5671,18,6019,25,6391,20,6751,23,7123,23,7483,26,7855,18
28,5659,25,6007,22,6379,25,6739,24,7111,18,7471,24,7843,18
29,5647,18,5995,20,6367,21,6727,24,7099,21,7459,27,7831,18
30,5635,24,5983,26,6355,22,6715,26,7087,24,7447,19,7819,18
