batch_size,dropout,n_epochs,n_input,n_nodes,optimizer,shuffle,loss
41,0.19642764173331428,83,8,704,adam,False,0.06050863611936812
59,0.2840890055545485,17,15,404,adam,True,1.1028632701890684
39,0.941000794403229,31,9,96,adam,False,0.24832344263099407
34,0.08355770833136666,41,21,862,adam,False,0.15479895506031252
22,0.7154501186277862,87,115,317,rmsprop,True,0.7620416744630268
32,0.3065799029085473,22,66,193,adam,False,0.09980848251290463
25,0.4929849413066806,87,113,752,rmsprop,True,1.035254645224671
56,0.7772417700436998,74,34,941,rmsprop,True,0.9709971267156774
18,0.8686329810544431,25,43,37,adam,True,0.8063036930785901
31,0.5357065926296247,71,117,881,adam,True,0.8905523580249801
27,0.4276918293056714,57,11,597,rmsprop,True,0.9264173288966555
47,0.06695780645543625,8,22,357,rmsprop,False,0.09021719286761554
62,0.6493062238946533,80,118,553,adam,False,0.08477543411352816
60,0.3119043926779298,31,77,454,adam,True,1.2187858388048962
21,0.8972108266202855,1,77,606,rmsprop,True,0.9598609856013258
30,0.8104194054444404,77,54,831,adam,False,0.10173883750134687
36,0.5646002532458917,32,101,382,adam,True,0.7913096224500284
6,0.8745962072256598,13,19,292,adam,False,0.1531570445759935
27,0.781578988580516,2,11,427,adam,False,0.0866672029112501
9,0.2936526195715504,49,95,475,rmsprop,False,0.41146629911770843
62,0.6504341868440444,83,8,419,adam,False,0.06254578205186735
41,0.1615829278752275,55,119,151,adam,False,0.09656406040710933
10,0.41174706470624794,83,8,455,adam,False,0.06076245896079162
10,0.1764824236618815,26,8,455,adam,False,0.0683675962127564
5,0.4084765511421559,83,93,474,adam,False,0.0983164560446105
46,0.19555408054511655,76,97,611,adam,False,0.30078078778508155
29,0.3907862057689725,82,52,997,adam,False,0.1183981911446216
58,0.007505113490265586,97,57,559,adam,False,0.08936953772012994
52,0.20950371352892205,83,36,851,adam,False,0.20426564700492783
8,0.46826339299002706,91,8,321,adam,False,0.06297928667549921
19,0.24510509880636172,38,13,245,adam,False,0.0707026995774541
45,0.10852507404404906,4,88,584,adam,False,0.20563261296138285
11,0.009302579312994552,15,71,737,adam,False,0.29401940790673553
14,0.6189126724557873,20,45,651,adam,False,0.0892684580399712
28,0.34742220679381147,30,106,978,rmsprop,False,0.1300684349503558
33,0.9955934260449057,59,27,356,adam,False,0.5464951002919165
15,0.2546187746620527,63,110,933,rmsprop,False,0.20783311945828484
44,0.11828325496273683,93,17,259,adam,False,0.07633507355900226
48,0.37299821063140715,18,48,684,adam,True,0.7920453309794679
61,0.4857910167249221,35,82,395,rmsprop,False,0.16006701665119585
2,0.048790379285422014,58,78,491,adam,True,1.4591196096828818
54,0.569185838063849,7,85,545,adam,False,0.08610810361373039
