batch_size,dropout,n_epochs,n_input,n_nodes,optimizer,shuffle,loss
63,0.9691797944119314,78,7,220,adam,True,0.7157680255786366
38,0.2491743882843933,5,78,911,adam,False,1.994904445133018
30,0.41315606390252474,26,51,640,adam,False,0.37747617804013356
5,0.2850725696753905,83,85,114,adam,False,1.7279257956848482
49,0.9137204497730702,81,9,622,adam,False,0.517214608652882
61,0.22479514451718274,68,95,595,adam,True,0.9443114954751521
14,0.5158934598734402,9,69,808,adam,False,1.287477997746645
56,0.4691220010554602,76,12,71,adam,False,0.541719601311757
59,0.05313706425012582,87,113,152,adam,False,1.4125363984429988
10,0.772163213309085,33,58,840,adam,False,0.419866027369135
57,0.18407729540041445,98,38,760,adam,True,1.298358014274661
33,0.15122827975521771,53,48,635,adam,False,0.9971703573297328
48,0.0008929693368715241,27,16,448,rmsprop,False,0.613736830210451
28,0.25843139472476906,15,36,58,adam,False,0.9702863917713263
17,0.38204666505531754,93,30,397,rmsprop,False,0.5348091120419523
60,0.3491640378224191,37,44,510,adam,True,0.942362791203041
13,0.2996701974814566,6,81,930,rmsprop,False,1.9188390699898996
18,0.6149212419868495,12,99,236,adam,False,1.8832140554002472
36,0.21744863323950633,22,60,747,rmsprop,False,0.4544889066240785
22,0.11722550732734432,45,82,970,adam,False,1.6761868836774017
27,0.5852918913504565,38,55,686,rmsprop,False,0.5198231925391081
16,0.435542780147927,28,62,36,adam,True,0.8694093673043513
26,0.4019167566536064,91,119,428,rmsprop,False,0.545519940199785
55,0.5482145006882924,8,66,984,adam,False,1.0630916071193872
52,0.33241199371861596,88,49,636,adam,False,0.45140011475358915
62,0.06754851184710933,17,97,481,rmsprop,False,2.2837842960885473
23,0.49880956158106066,95,29,775,adam,True,1.6189025808563513
50,0.1621336633526328,29,59,663,rmsprop,False,0.5375992757983126
4,0.20622032248939914,74,56,166,adam,False,0.2760466889694356
4,0.10691312974962063,74,83,990,rmsprop,False,3.1658619102552072
41,0.20299530879411304,97,56,857,adam,False,0.8881998356764316
4,0.14173088528638222,74,56,81,adam,True,1.4870344355031768
3,0.0389346483494247,41,102,40,rmsprop,False,1.5957750274023148
40,0.07862786501398106,3,18,95,adam,False,1.1055322880127714
46,0.181828092027755,84,73,167,rmsprop,False,1.4500644606550004
9,0.008920177814154495,46,68,759,adam,False,1.6635168244365126
19,0.36323890782687185,18,111,849,adam,True,0.912312910711168
34,0.2347779774940433,77,89,429,rmsprop,False,2.4224699866876067
32,0.27372549282398334,79,74,673,adam,False,1.2472709232594925
20,0.13548084565996732,21,37,819,rmsprop,False,0.5168317785243076
47,0.16424520361079487,80,104,538,adam,False,1.143431494354629
37,0.30935064351254293,71,65,877,adam,True,1.236417891508276
39,0.10450111055055855,96,27,907,rmsprop,False,0.4516203992732885
53,0.024921209711550207,11,103,256,adam,False,2.50964716464398
57,0.06119671095787704,30,54,903,rmsprop,False,0.3912737964288702
25,0.2494300263684799,86,39,737,adam,False,0.5853098513883274
35,0.19938966692827886,56,94,290,adam,True,1.1110481035547732
58,0.3271554150896046,24,17,461,rmsprop,False,0.6242074897478292
26,0.4637281933919653,13,77,576,adam,False,1.3551095435536604
42,0.28777284050682106,75,79,166,adam,False,1.3675036996353485
7,0.48327931324967444,48,34,474,adam,False,0.40897673141715973
11,0.3918185024586178,51,43,410,adam,False,0.6144645370518613
45,0.449357717400133,63,50,758,adam,False,0.6622133241664141
52,0.5157031787082893,7,72,364,adam,False,1.4875802153599058
12,0.42112005295014004,36,25,550,adam,False,0.6984636105533204
4,0.36322629712998905,34,101,765,adam,False,1.1075911663740587
44,0.3413708462684344,12,21,65,adam,False,0.8507015250675407
54,0.22986704301544203,50,5,796,adam,False,0.5062808163905321
29,0.26248861961619324,89,33,145,adam,False,0.3828255568134312
24,0.6362541188873982,82,53,748,adam,False,0.8917296034426766
6,0.5664667199854312,31,46,454,adam,False,0.2905691991575298
2,0.5273767824400848,42,110,904,adam,False,2.3850745300860225
21,0.3796186135823322,2,57,361,adam,False,1.911684323874486
43,0.2155849002475933,62,31,445,adam,False,0.566232101763932
31,0.1767091438148628,20,93,90,adam,False,2.127955891496853
38,0.08991603385255746,39,19,869,adam,False,0.6020877000112115
1,0.29721991524668495,16,105,238,rmsprop,False,1.1913346714239075
30,0.43316984783354273,47,106,914,adam,False,1.290823472839064
8,0.4054244536528769,57,108,566,adam,True,0.7732579174097267
63,0.3193169058922418,14,117,938,rmsprop,False,2.6096453999785036
5,0.13025148712098744,1,107,92,adam,False,3.648458746062689
14,0.6565092932668946,32,28,161,rmsprop,False,0.746061687958352
56,0.6978465534141602,4,86,358,adam,False,2.541619820426452
61,0.5998859681353093,55,71,166,adam,True,0.5614654465443941
49,0.03883949065012615,69,116,367,rmsprop,False,1.3729841666278393
10,0.15511875414246018,74,6,985,adam,False,0.6442971924386761
57,0.3469177904900492,99,70,570,adam,False,1.3506593009562236
26,0.2530453328482585,59,40,889,rmsprop,False,0.39557579418954025
59,0.4811222124814294,35,63,362,adam,False,0.8562764042379337
15,0.07818490825605212,40,11,386,adam,True,1.0838824867038164
52,0.27335841751373324,25,52,579,rmsprop,False,0.5443019140317868
18,0.5503985702510319,52,56,186,adam,False,0.4732817297443049
28,0.20663139526554763,64,75,552,adam,False,1.5017895931174188
4,0.4543337921419322,77,64,271,rmsprop,False,0.8442896588294142
33,0.2335189184789937,65,8,961,adam,False,0.5556168230719433
17,0.11448551466308253,23,22,679,rmsprop,True,1.154861297747323
48,0.18580912013600132,54,92,968,adam,False,1.7308881068555948
36,0.3097972689496744,10,47,267,adam,False,0.6698125002776955
50,0.38382457778902784,44,45,464,rmsprop,False,0.4322269680105779
60,0.41929853779068293,70,114,317,adam,False,1.1412341153535734
46,0.4990078714306825,67,13,632,adam,False,0.5175734599744634
13,0.8247911103357488,72,37,953,rmsprop,True,0.8527025344847393
22,0.007938182682556194,63,80,902,adam,False,1.0837512879579732
19,0.2868765617670508,90,112,264,adam,False,0.9458218412604982
16,0.14548758590088395,49,61,886,rmsprop,False,0.23708262312471984
55,0.09979149141876814,49,87,198,rmsprop,False,1.8112581019627458
57,0.05319264304334237,66,20,616,rmsprop,False,0.7075890463705043
16,0.15145223347573988,19,61,745,rmsprop,True,0.9603982511260456
16,0.026264365727071498,85,61,48,rmsprop,False,0.9012989186672064
16,0.17402936017127746,49,67,767,rmsprop,False,0.8467314003854366
3,0.07942618379375099,60,43,933,rmsprop,False,0.8176361828749907
51,0.13071254851779282,73,96,777,rmsprop,False,1.2154876080270296
40,0.05551789196297616,43,91,488,rmsprop,False,2.129152708596309
