batch_size,dropout,n_epochs,n_input,n_nodes,optimizer,shuffle,loss
57,0.051595692742525456,15,16,54,rmsprop,False,0.19305333313551476
28,0.9958610852608264,57,91,311,rmsprop,False,0.15352816131706698
34,0.8360142563797602,40,65,294,rmsprop,False,0.20783566972490725
11,0.9373822059240384,89,37,509,rmsprop,False,0.21261310544793824
10,0.16995739280556366,22,23,863,rmsprop,True,0.9265266881965273
22,0.2481830511120129,68,62,847,rmsprop,False,0.24309403232896085
46,0.8982498177905588,7,103,833,rmsprop,False,0.1528475163907925
59,0.6892532806869232,5,87,275,rmsprop,False,0.18698921246980899
48,0.6577616347015083,10,11,993,rmsprop,False,0.2903477507607606
49,0.9660772431927753,11,46,181,rmsprop,True,0.9782689548326433
15,0.8073868291032074,90,90,458,rmsprop,False,0.20568699146405106
32,0.8815821992665854,60,34,869,adam,False,0.2053179888850328
41,0.6186156017378941,93,14,463,rmsprop,False,0.28922024975047317
52,0.7189654478368595,30,111,733,adam,False,0.3807760897454596
63,0.5237003218994772,44,50,567,rmsprop,True,0.9323865549907282
38,0.582153989823825,95,115,857,adam,False,0.18023995223263664
40,0.21779741300808936,29,118,874,rmsprop,False,0.5437845707697984
55,0.3709193102938235,63,112,436,adam,False,0.329487306198688
56,0.5615413180584439,52,17,464,rmsprop,False,0.30703512995401844
47,0.3115497279910663,6,86,271,adam,True,1.0916962207186525
43,0.35118639293223647,67,74,185,rmsprop,False,0.2538931527046421
50,0.9158102660738232,24,82,321,adam,False,0.16042155801366448
29,0.776837909385106,17,67,946,rmsprop,False,0.28512746622241286
7,0.4132041479604255,61,117,392,rmsprop,False,0.1626310317705976
51,0.7403014143085628,74,49,43,adam,True,1.5372454844194599
4,0.48284273512712683,48,92,576,rmsprop,False,0.2787906214261956
53,0.44906142020718154,9,35,956,adam,False,0.22789813687276123
61,0.6449745180051851,58,113,175,rmsprop,False,0.17185605661467984
1,0.38964324714175763,71,26,835,adam,False,0.22092866514998488
20,0.10239402141721837,77,68,229,rmsprop,True,1.0241822813439652
31,0.5978420192979679,43,97,927,rmsprop,False,0.24097307539819468
21,0.857186868230685,80,19,335,adam,False,0.28930301424260685
62,0.2161485015338357,37,83,700,rmsprop,False,0.7164392400433888
44,0.03713509929968489,46,47,460,adam,False,0.18608765062718974
27,0.5471831035939455,82,13,148,rmsprop,True,0.8892072551508322
9,0.27418075649223167,69,55,48,rmsprop,False,0.27254491458436136
5,0.7935914492350954,84,8,836,adam,False,0.31050428855868845
17,0.9995957819478304,83,64,897,rmsprop,False,0.16033976254912227
6,0.9418922602209763,85,42,760,adam,False,0.21561094297791708
18,0.13762284316846696,87,39,517,rmsprop,True,1.5730054417986206
36,0.9731625398733886,65,21,51,rmsprop,False,0.15336714076774502
13,0.5067749467746779,12,24,309,adam,False,0.28295768141789457
33,0.8225124855892287,41,109,608,rmsprop,False,0.2896412266118018
30,0.6941388284224992,49,116,341,adam,False,0.25704325778148474
25,0.8699134255638359,72,40,72,rmsprop,True,1.12363895635607
58,0.6307414661059474,76,89,663,rmsprop,False,0.1841589895998678
55,0.7548515710639443,92,104,344,adam,False,0.22535730408041052
45,0.9025270793885098,5,119,683,adam,False,0.22591659276135898
12,0.7123433598501271,78,43,67,adam,False,0.2035454077169973
26,0.5656358980200702,20,30,427,adam,False,0.26484701854047704
14,0.6843350347641907,28,70,96,adam,False,0.42633056606959363
12,0.8371405250080118,36,119,224,adam,False,0.13071363342652914
23,0.9577315403204635,70,101,982,adam,False,0.2256839445870519
43,0.9254645867910853,35,6,336,adam,False,0.2422537285719879
54,0.836481146219945,6,59,290,adam,False,0.17122713301161324
4,0.8934455026720253,32,71,112,adam,False,0.18487259632559463
60,0.991442013462636,36,69,809,adam,False,0.14113854206558812
8,0.806072720910762,26,119,691,adam,False,0.2684935644562847
12,0.7769500751807423,36,79,217,adam,False,0.1572493876837202
39,0.8795777681681425,21,29,590,adam,False,0.22905418682560202
2,0.9981023735186152,24,85,590,adam,False,0.1548892206559693
16,0.7370034417449205,18,27,622,adam,False,0.27443978724980533
28,0.9365186144760532,14,78,980,adam,False,0.17505563433340401
37,0.6622404001849748,1,94,688,adam,False,0.30764158830133365
3,0.8417436923451467,23,77,446,rmsprop,False,0.20099562882874275
57,0.42652361509196846,88,58,678,rmsprop,False,0.32019512431429814
24,0.3536084325677397,97,76,342,adam,True,1.1530345305976275
42,0.6094261934694262,3,107,224,rmsprop,False,0.18491429815438304
22,0.912771540437705,33,105,720,adam,False,0.3561671040182232
19,0.4715046390275024,50,98,220,rmsprop,False,0.16848056217605117
34,0.519040050009127,62,5,314,adam,False,0.287997269024327
59,0.9723289803872818,8,93,449,rmsprop,False,0.163384040223242
35,0.8656956952931609,64,18,177,adam,True,0.6656604599533266
10,0.9510042703689379,27,52,56,rmsprop,False,0.17232864397053574
46,0.7276087197973584,4,45,184,rmsprop,False,0.2103693306181515
41,0.4460634286949952,2,41,365,adam,False,0.1536772110768469
15,0.7691843983911613,75,15,414,rmsprop,False,0.2851474257139185
48,0.8169525303541253,39,108,269,adam,True,0.9716148041241596
32,0.4886185833097442,73,95,325,rmsprop,False,0.19994243138607337
11,0.5794462848805354,54,80,935,adam,False,0.1170587457416035
11,0.38290665098134746,81,51,832,adam,False,0.38312554855442105
55,0.5894132124015128,54,25,698,rmsprop,False,0.3113141055620872
47,0.5317995847067674,51,99,150,adam,False,0.2796823029838199
40,0.30350522677570485,98,7,453,rmsprop,False,0.2976226192114023
4,0.632613908651571,96,60,893,adam,True,2.0746888724168704
11,0.3275357928095449,54,57,681,rmsprop,False,0.41969655620886037
11,0.46262471499108954,56,44,33,adam,False,0.18370516109494833
56,0.5526140446205083,34,53,74,rmsprop,False,0.25936794824952736
63,0.41113949246945686,13,80,773,adam,False,0.6143475504551189
50,0.65599000734212,5,12,513,rmsprop,False,0.21925227335448447
49,0.23616418544825446,91,66,376,adam,True,0.8159097104722669
7,0.6790596785241925,42,32,322,rmsprop,False,0.19319390006971945
52,0.7941122411873124,45,80,199,adam,False,0.21128388531386594
29,0.567406244194808,86,96,400,rmsprop,False,0.15720582617838336
61,0.7004717515326374,16,31,461,adam,False,0.26588259435404493
38,0.6220400188330311,53,36,841,rmsprop,False,0.26740931671059975
51,0.5936936875995,36,114,922,adam,True,1.4493517091704609
17,0.1648553815641403,31,54,498,rmsprop,False,0.2321182056198668
12,0.26240781468804114,15,100,616,adam,False,1.0434033860436494
20,0.5094717465103576,94,106,992,rmsprop,False,0.38962223403463253
53,0.748787966232015,47,119,471,adam,False,0.1867791571867596
9,0.3570692410890534,79,33,962,rmsprop,False,0.27491073679616795
